mesh_idx,mesh_name,parent,local_T,local_S,world_T,world_T_r1_superseded,changed_vs_r1,bbox_local_min,bbox_local_max,bbox_world_min,bbox_world_max,nverts,ntris,props
82,B_Eu_b047_Object07:0,81,"[-2039.11669921875, 3.0517578125e-05, -65.0]",1.0,"[144.25463867187045, -6.843111376303414, 0.0]","[-1894.862060546875, -6.842772960662842, 65.0]",True,"[-1747.6568603515625, -1006.8433227539062, 30.0]","[2039.11669921875, 999.9999389648438, 100.0]","[-1894.8622115426729, -1006.8427424430847, 30.0]","[1891.9114069119235, 999.9999474887895, 100.0]",12,4,"[83, 18]"
86,dPVS_occ01:0,85,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1890.0001220703125, -1890.0, 0.0]","[1890.0, -1493.5272216796875, 4420.0]","[-1890.0001220703125, -1890.0, 0.0]","[1890.0, -1493.5272216796875, 4420.0]",36,18,[87]
90,dPVS_occ02:0,89,"[0.0, -7.895967428339645e-06, 4420.0]",1.0,"[0.0, -7.895967428339645e-06, 4420.0]","[0.0, 0.0, 0.0]",True,"[-1590.0, -1590.0, 0.0]","[1590.0, 1590.0, 3300.0]","[-1590.0, -1590.0000078959674, 4420.0]","[1590.0, 1589.9999921040326, 7720.0]",24,12,[91]
94,dPVS_occ03:0,93,"[0.0, -7.895967428339645e-06, 7720.0]",1.0,"[0.0, -7.895967428339645e-06, 7720.0]","[0.0, 0.0, 0.0]",True,"[-1255.0, -1255.0, 0.0]","[1255.0, 1255.0, 2170.0]","[-1255.0, -1255.0000078959674, 7720.0]","[1255.0, 1254.9999921040326, 9890.0]",20,10,[95]
98,dPVS_occ04:0,97,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1890.0001220703125, -1890.0, 0.0]","[-1890.0, 1890.0, 4420.0]","[-1890.0001220703125, -1890.0, 0.0]","[-1890.0, 1890.0, 4420.0]",6,2,[99]
102,dPVS_occ05:0,101,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1890.0, 1890.0, 0.0]","[1890.0, 1890.0, 4420.0]","[-1890.0, 1890.0, 0.0]","[1890.0, 1890.0, 4420.0]",6,2,[103]
106,dPVS_occ06:0,105,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[1890.0, -1890.0, 0.0]","[1890.0, 1890.0, 4420.0]","[1890.0, -1890.0, 0.0]","[1890.0, 1890.0, 4420.0]",4,2,[107]
110,dPVS_occ07:0,109,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1890.0001220703125, -1890.0, 4420.0]","[1890.0, 1890.0, 4420.0]","[-1890.0001220703125, -1890.0, 4420.0]","[1890.0, 1890.0, 4420.0]",6,2,[111]
115,B_Eu_b047_lens 1	01:0,113,"[0.0, 0.0, -534.6338500976562]",1.0,"[-1277.754638671875, -1274.89208984375, 10611.299743652344]","[-1277.754638671875, -1274.89208984375, 11145.93359375]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[-1450.1484840507467, -1458.2901762039596, 11145.933532714844]","[-1105.3607932930033, -1091.4940034835404, 11145.933532714844]",4,2,"[117, 116, 20]"
121,B_Eu_b047_lens 1	02:0,119,"[0.0, 0.0, -534.6338500976562]",1.0,"[1274.0029296875, -1273.4169921875, 10414.790954589844]","[1274.0029296875, -1273.4169921875, 10949.4248046875]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[1101.6090843086283, -1456.8150785477096, 10949.424743652344]","[1446.3967750663717, -1090.0189058272904, 10949.424743652344]",4,2,"[123, 122, 21]"
127,B_Eu_b047_lens 1	03:0,125,"[0.0, 0.0, -534.6338500976562]",1.0,"[1067.87353515625, -2015.923828125, 3859.6659545898438]","[1067.87353515625, -2015.923828125, 4394.2998046875]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[895.4796897773783, -2199.3219144852096, 4394.299743652344]","[1240.2673805351217, -1832.5257417647904, 4394.299743652344]",4,2,"[129, 128, 22]"
133,B_Eu_b047_lens 1	04:0,131,"[0.0, 0.0, -534.6338500976562]",1.0,"[-1030.3570556640625, -2015.923828125, 3859.6659545898438]","[-1030.3570556640625, -2015.923828125, 4394.2998046875]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[-1202.7509010429342, -2199.3219144852096, 4394.299743652344]","[-857.9632102851908, -1832.5257417647904, 4394.299743652344]",4,2,"[135, 134, 23]"
139,B_Eu_b047_lens 1	05:0,137,"[0.0, 0.0, -534.6338500976562]",1.0,"[1044.7760009765625, 2012.468505859375, 3859.6659545898438]","[1044.7760009765625, 2012.468505859375, 4394.2998046875]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[872.3821555976908, 1829.0704194991654, 4394.299743652344]","[1217.1698463554342, 2195.8665922195846, 4394.299743652344]",4,2,"[141, 140, 24]"
145,B_Eu_b047_lens 1	06:0,143,"[0.0, 0.0, -534.6338500976562]",1.0,"[-1030.3570556640625, 2012.468505859375, 3859.6659545898438]","[-1030.3570556640625, 2012.468505859375, 4394.2998046875]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[-1202.7509010429342, 1829.0704194991654, 4394.299743652344]","[-857.9632102851908, 2195.8665922195846, 4394.299743652344]",4,2,"[147, 146, 25]"
151,B_Eu_b047_lens 1	07:0,149,"[0.0, 0.0, -534.6338500976562]",1.0,"[1280.0499267578125, 1286.6641845703125, 9968.133728027344]","[1280.0499267578125, 1286.6641845703125, 10502.767578125]",True,"[-172.39382934570312, -183.3980712890625, 534.6337890625]","[172.39382934570312, 183.3980712890625, 534.6337890625]","[1107.6560813789408, 1103.2660982101029, 10502.767517089844]","[1452.4437721366842, 1470.0622709305221, 10502.767517089844]",4,2,"[153, 152, 26]"
