va,pattern,insn,base_or_dst,vtable_load_va,receiver_reg,classification,evidence,arg2_push,arg2_class,literal_va
7871682,P3,"00781CC2  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00781cc0,ecx,INSUFFICIENT_PROOF,"field read 00781CB9  8B 4F 1C                  mov ecx, dword ptr [edi + 0x1c] (offset 0x1c not a known SF holder slot)",,,
7877949,P3,"0078353D  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0078353b,ecx,INSUFFICIENT_PROOF,"field read 00783534  8B 4E 4C                  mov ecx, dword ptr [esi + 0x4c] (offset 0x4c not a known SF holder slot)",,,
7899628,P3,"007889EC  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007889ea,ecx,INSUFFICIENT_PROOF,"def form MEM_SIB: 007889E3  8B 0C B0                  mov ecx, dword ptr [eax + esi*4]",,,
7916516,P3,"0078CBE4  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0078cbde,eax,INSUFFICIENT_PROOF,receiver = result of call 0078CBD9  E8 62 3F 04 00            call 0x7d0b40 (target 8194880 not the SF ctor; result class unproven),,,
7925474,P3,"0078EEE2  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0078eee0,ecx,INSUFFICIENT_PROOF,"def form ZERO: 0078EED3  33 C9                     xor ecx, ecx",,,
7931875,P3,"007907E3  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007907c3,ecx,INSUFFICIENT_PROOF,"reg copy 007907E1  8B C8                     mov ecx, eax then L2 unresolved: AMBIGUOUS: multiple chains disagree on def of eax at ['0x7907d9', '0x7907da', '0x7907db']",,,
7933823,P3,"00790F7F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00790f7a,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x790f75', '0x790f78']",,,
7940046,P3,"007927CE  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007927cc,esi,INSUFFICIENT_PROOF,"reg copy 007927C8  8B F1                     mov esi, ecx then L2 unresolved: def form POP: 007927AE  59                        pop ecx",,,
7958501,P3,"00796FE5  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00796fc4,ecx,INSUFFICIENT_PROOF,no def of ecx in any backward chain (parameter/incoming),,,
7961055,P3,"007979DF  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007979b1,ecx,INSUFFICIENT_PROOF,"absolute memory read 007979D0  8B 0D B0 6C BA 00         mov ecx, dword ptr [0xba6cb0]",,,
7969600,P3,"00799B40  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00799b22,esi,INSUFFICIENT_PROOF,def form POP: 00799B15  5E                        pop esi,,,
8000521,P3,"007A1409  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007a1407,ecx,INSUFFICIENT_PROOF,"field read 007A1404  8B 4F 6C                  mov ecx, dword ptr [edi + 0x6c] (offset 0x6c not a known SF holder slot)",,,
8003960,P3,"007A2178  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007a2176,ecx,INSUFFICIENT_PROOF,"field read 007A2170  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8012760,P3,"007A43D8  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007a43d2,ecx,INSUFFICIENT_PROOF,"def form MEM_SIB: 007A43CC  8B 0C B0                  mov ecx, dword ptr [eax + esi*4]",,,
8022800,P3,"007A6B10  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007a6b0e,ecx,INSUFFICIENT_PROOF,"field read 007A6B08  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8024079,P3,"007A700F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007a700d,ecx,INSUFFICIENT_PROOF,"field read 007A7006  8B 4E 2C                  mov ecx, dword ptr [esi + 0x2c] (offset 0x2c not a known SF holder slot)",,,
8042903,P3,"007AB997  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ab97b,esi,INSUFFICIENT_PROOF,"reg copy 007AB976  8B F1                     mov esi, ecx then L2 unresolved: def form POP: 007AB95A  59                        pop ecx",,,
8045648,P3,"007AC450  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ac43c,esi,REJECTED_NOT_SF,"receiver = `this` of enclosing method 0x007ac2f0 = vtable slot function of classes ['.?AVNiD3DHLSLPixelShader@@', '.?AVNiD3DPixelShader@@'] (all non-SF) (no def of esi in window — incoming this)",,,
8045672,P3,"007AC468  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ac44a,esi,REJECTED_NOT_SF,"receiver = `this` of enclosing method 0x007ac2f0 = vtable slot function of classes ['.?AVNiD3DHLSLPixelShader@@', '.?AVNiD3DPixelShader@@'] (all non-SF) (no def of esi in window — incoming this)",,,
8046050,P3,"007AC5E2  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac5cb,esi,REJECTED_NOT_SF,"receiver = `this` of enclosing method 0x007ac2f0 = vtable slot function of classes ['.?AVNiD3DHLSLPixelShader@@', '.?AVNiD3DPixelShader@@'] (all non-SF) (no def of esi in window — incoming this)",,,
8046070,P3,"007AC5F6  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac5cb,esi,REJECTED_NOT_SF,"receiver = `this` of enclosing method 0x007ac2f0 = vtable slot function of classes ['.?AVNiD3DHLSLPixelShader@@', '.?AVNiD3DPixelShader@@'] (all non-SF) (no def of esi in window — incoming this)",,,
8046408,P3,"007AC748  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac731,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8046428,P3,"007AC75C  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac731,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8046733,P3,"007AC88D  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac876,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8046753,P3,"007AC8A1  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ac876,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8047176,P3,"007ACA48  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007aca46,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x7aca3c', '0x7aca45']",,,
8047341,P3,"007ACAED  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007acac1,eax,INSUFFICIENT_PROOF,"stack read 007ACAE7  8B 44 24 18               mov eax, dword ptr [esp + 0x18] ([esp+0x18] = parameter/local, not a container holder read)",,,
8047562,P3,"007ACBCA  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007acbc7,eax,INSUFFICIENT_PROOF,"stack read 007ACBBD  8B 44 24 1C               mov eax, dword ptr [esp + 0x1c] ([esp+0x1c] = parameter/local, not a container holder read)",,,
8047730,P3,"007ACC72  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007acc54,eax,INSUFFICIENT_PROOF,"stack read 007ACC6C  8B 44 24 1C               mov eax, dword ptr [esp + 0x1c] ([esp+0x1c] = parameter/local, not a container holder read)",,,
8049371,P3,"007AD2DB  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007ad2d9,eax,INSUFFICIENT_PROOF,"stack read 007AD2CF  8B 44 24 14               mov eax, dword ptr [esp + 0x14] ([esp+0x14] = parameter/local, not a container holder read)",,,
8049538,P3,"007AD382  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007ad356,eax,INSUFFICIENT_PROOF,"stack read 007AD37C  8B 44 24 14               mov eax, dword ptr [esp + 0x14] ([esp+0x14] = parameter/local, not a container holder read)",,,
8049762,P3,"007AD462  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ad45f,eax,INSUFFICIENT_PROOF,"stack read 007AD455  8B 44 24 24               mov eax, dword ptr [esp + 0x24] ([esp+0x24] = parameter/local, not a container holder read)",,,
8049938,P3,"007AD512  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x007ad4f4,eax,INSUFFICIENT_PROOF,"stack read 007AD50C  8B 44 24 24               mov eax, dword ptr [esp + 0x24] ([esp+0x24] = parameter/local, not a container holder read)",,,
8050311,P3,"007AD687  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ad670,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8050335,P3,"007AD69F  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ad69d,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8050778,P3,"007AD85A  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ad840,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8050799,P3,"007AD86F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007ad854,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8051203,P3,"007ADA03  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ad9ec,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8051227,P3,"007ADA1B  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007ad9fd,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8051612,P3,"007ADB9C  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007adb85,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8051633,P3,"007ADBB1  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007adb96,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
8060061,P3,"007AFC9D  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007afc9b,ecx,INSUFFICIENT_PROOF,"field read 007AFC94  8B 4E 4C                  mov ecx, dword ptr [esi + 0x4c] (offset 0x4c not a known SF holder slot)",,,
8061421,P3,"007B01ED  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007b01eb,ecx,INSUFFICIENT_PROOF,"field read 007B01E4  8B 4E 4C                  mov ecx, dword ptr [esi + 0x4c] (offset 0x4c not a known SF holder slot)",,,
8064016,P3,"007B0C10  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007b0c0e,ebx,INSUFFICIENT_PROOF,"stack read 007B0C0A  8B 5C 24 28               mov ebx, dword ptr [esp + 0x28] ([esp+0x28] = parameter/local, not a container holder read)",,,
8076185,P3,"007B3B99  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007b3b97,ecx,INSUFFICIENT_PROOF,"field read 007B3B91  8B 8E D4 00 00 00         mov ecx, dword ptr [esi + 0xd4] (offset 0xd4 not a known SF holder slot)",,,
8076260,P3,"007B3BE4  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007b3bb5,ecx,INSUFFICIENT_PROOF,"field read 007B3BD8  8B 8E E4 00 00 00         mov ecx, dword ptr [esi + 0xe4] (offset 0xe4 not a known SF holder slot)",,,
8076297,P3,"007B3C09  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007b3c07,ecx,INSUFFICIENT_PROOF,"field read 007B3BFD  8B 8E E4 00 00 00         mov ecx, dword ptr [esi + 0xe4] (offset 0xe4 not a known SF holder slot)",,,
8076760,P3,"007B3DD8  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007b3dd6,ecx,INSUFFICIENT_PROOF,"field read 007B3DD0  8B 4E 08                  mov ecx, dword ptr [esi + 8] (offset 0x8 not a known SF holder slot)",,,
8082463,P3,"007B541F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007b541d,ecx,INSUFFICIENT_PROOF,"def form MEM_SIB: 007B5416  8B 0C B0                  mov ecx, dword ptr [eax + esi*4]",,,
8090608,P3,"007B73F0  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007b73ee,ecx,INSUFFICIENT_PROOF,"def form MEM_SIB: 007B73EB  8B 0C BA                  mov ecx, dword ptr [edx + edi*4]",,,
8090639,P3,"007B740F  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007b73ee,ecx,INSUFFICIENT_PROOF,"reg copy 007B73F7  8B CD                     mov ecx, ebp then L2 unresolved: no def of ebp in any backward chain (parameter/incoming)",,,
8098718,P3,"007B939E  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007b939c,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x7b938e', '0x7b9392']",,,
8099545,P3,"007B96D9  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007b96d7,ecx,INSUFFICIENT_PROOF,"field read 007B96D1  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8117112,P3,"007BDB78  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007bdb72,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x7bdb58', '0x7bdb67']",,,
8117338,P3,"007BDC5A  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007bdc58,esi,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of esi at ['0x7bdc36', '0x7bdc45']",,,
8125651,P3,"007BFCD3  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007bfcd1,edi,INSUFFICIENT_PROOF,"field read 007BFCB7  8B 7E 08                  mov edi, dword ptr [esi + 8] (offset 0x8 not a known SF holder slot)",,,
8125800,P3,"007BFD68  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007bfd66,ebx,INSUFFICIENT_PROOF,"field read 007BFD58  8B 9B B0 00 00 00         mov ebx, dword ptr [ebx + 0xb0] (offset 0xb0 not a known SF holder slot)",,,
8135090,P3,"007C21B2  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c21b0,ecx,INSUFFICIENT_PROOF,"field read 007C21AA  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8135114,P3,"007C21CA  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c21b0,ecx,INSUFFICIENT_PROOF,"field read 007C21C2  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8136331,P3,"007C268B  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c2669,ecx,INSUFFICIENT_PROOF,"field read 007C2686  8B 49 2C                  mov ecx, dword ptr [ecx + 0x2c] (offset 0x2c not a known SF holder slot)",,,
8147261,P3,"007C513D  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c513b,ecx,INSUFFICIENT_PROOF,"field read 007C5135  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
8148496,P3,"007C5610  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c560e,ecx,INSUFFICIENT_PROOF,"field read 007C5608  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8148832,P3,"007C5760  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007c575e,ecx,INSUFFICIENT_PROOF,"field read 007C5758  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8175788,P3,"007CC0AC  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007cc0a4,ecx,INSUFFICIENT_PROOF,"field read 007CC09E  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8175826,P3,"007CC0D2  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007cc0a4,ecx,INSUFFICIENT_PROOF,"field read 007CC0C4  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8175845,P3,"007CC0E5  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007cc0b7,ecx,INSUFFICIENT_PROOF,"field read 007CC0D7  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8176160,P3,"007CC220  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007cc21e,ecx,INSUFFICIENT_PROOF,"field read 007CC218  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8176188,P3,"007CC23C  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007cc237,ecx,INSUFFICIENT_PROOF,"field read 007CC231  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8181737,P3,"007CD7E9  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007cd7e7,ecx,INSUFFICIENT_PROOF,"field read 007CD7E1  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8181801,P3,"007CD829  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007cd821,ecx,INSUFFICIENT_PROOF,"field read 007CD81B  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8181838,P3,"007CD84E  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007cd84c,ecx,INSUFFICIENT_PROOF,"field read 007CD846  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8197080,P3,"007D13D8  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007d13d6,ecx,INSUFFICIENT_PROOF,"field read 007D13D0  8B 89 94 01 00 00         mov ecx, dword ptr [ecx + 0x194] (offset 0x194 not a known SF holder slot)",,,
8201308,P3,"007D245C  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007d245a,ecx,INSUFFICIENT_PROOF,"field read 007D2454  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8201328,P3,"007D2470  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007d245a,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x7d2464', '0x7d2468']",,,
8202111,P3,"007D277F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007d277c,ecx,INSUFFICIENT_PROOF,"field read 007D2776  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8206666,P3,"007D394A  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007d392b,ecx,INSUFFICIENT_PROOF,"field read 007D3941  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
8225226,P3,"007D81CA  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007d81c4,ebp,INSUFFICIENT_PROOF,no def of ebp in any backward chain (parameter/incoming),,,
8230567,P3,"007D96A7  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007d969f,ecx,INSUFFICIENT_PROOF,"field read 007D9699  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
8230647,P3,"007D96F7  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007d96f5,ecx,INSUFFICIENT_PROOF,"field read 007D96E1  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
8230682,P3,"007D971A  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007d9718,ecx,INSUFFICIENT_PROOF,"field read 007D9712  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
