index,file_offset,id,size,ver,crc32_field,crc32_calc,crc_ok,id2,A,B,C,param_f32_0x20,param2_f32_0x24,pad_len,pad_all_zero,anomaly
44,3184,601,28,1,A7FCFFCD,A7FCFFCD,True,601,130850,130851,0,6.820100,0.000000,28,True,False
45,3256,603,28,1,A9EC1495,A9EC1495,True,603,130867,130868,0,5.226370,0.000000,28,True,False
46,3328,661,28,1,9BDA61D8,9BDA61D8,True,661,131834,131835,0,6.889150,0.000000,28,True,False
47,3400,662,28,1,DF110F78,DF110F78,True,662,131879,131880,0,4.373180,0.000000,28,True,False
48,3472,664,28,1,D9D23416,D9D23416,True,664,131895,131896,0,3.424420,0.000000,28,True,False
49,3544,666,28,1,76D8B43B,76D8B43B,True,666,131911,131912,0,6.694180,0.000000,28,True,False
50,3616,674,28,1,C3387CEC,C3387CEC,True,674,131929,131930,0,4.479500,0.000000,28,True,False
51,3688,679,28,1,C833225B,C833225B,True,679,131945,131946,0,3.406600,0.000000,28,True,False
52,3760,709,28,1,E976EF1F,E976EF1F,True,709,131960,131961,0,7.868610,0.000000,28,True,False
53,3832,710,28,1,56277F43,56277F43,True,710,131979,131980,0,10.088400,0.000000,28,True,False
54,3904,725,28,1,4D66DCBA,4D66DCBA,True,725,131995,131996,0,9.263750,0.000000,28,True,False
55,3976,727,28,1,8F664CDD,8F664CDD,True,727,132012,132013,0,7.719650,0.000000,28,True,False
56,4048,829,28,1,197E338C,197E338C,True,829,16161,28069,0,10.050300,0.000000,28,True,False
57,4120,833,28,1,4EC9E0CD,4EC9E0CD,True,833,23113,30472,0,3.857890,0.000000,28,True,False
58,4192,904,28,1,BC5C83FC,BC5C83FC,True,904,6124,6128,0,3.845500,0.000000,28,True,False
59,4264,935,28,1,BFE05BDC,BFE05BDC,True,935,186156,186175,0,12.822700,0.000000,28,True,False
60,4336,945,28,1,ABEE3438,ABEE3438,True,945,16343,28685,0,1.878070,0.000000,28,True,False
61,4408,987,28,1,028BD8C8,028BD8C8,True,987,166377,166378,0,5.085960,0.000000,28,True,False
62,4480,1081,28,1,56744213,56744213,True,1081,166405,166406,0,0.859779,0.000000,28,True,False
63,4552,1096,28,1,2339ABC0,2339ABC0,True,1096,166421,166422,0,0.887898,0.000000,28,True,False
64,4624,1126,28,1,2D9205DA,2D9205DA,True,1126,189767,190939,0,8.649630,0.000000,28,True,False
65,4696,1130,28,1,F53D814F,F53D814F,True,1130,189771,190945,0,13.621300,0.000000,28,True,False
66,4768,1132,28,1,54BB2D75,54BB2D75,True,1132,189774,190948,0,7.350430,0.000000,28,True,False
67,4840,1152,28,1,A8B4D8AA,A8B4D8AA,True,1152,109147,109148,0,2.289830,0.000000,28,True,False
68,4912,1154,28,1,AFE01F79,AFE01F79,True,1154,109163,109164,0,2.383000,0.000000,28,True,False
69,4984,1156,28,1,6E6CA869,6E6CA869,True,1156,109179,109180,0,2.545110,0.000000,28,True,False
70,5056,1169,28,1,B84B13F6,B84B13F6,True,1169,109240,109241,0,3.535340,0.000000,28,True,False
71,5128,1173,28,1,CF613FD7,CF613FD7,True,1173,189813,191170,0,7.558310,0.000000,28,True,False
72,5200,1177,28,1,22D3BA2B,22D3BA2B,True,1177,109487,109488,0,3.136920,0.000000,28,True,False
73,5272,1178,28,1,D754894C,D754894C,True,1178,109491,109492,0,3.295320,0.000000,28,True,False
74,5344,1179,28,1,2EA36D9B,2EA36D9B,True,1179,109495,109496,0,1.880150,0.000000,28,True,False
75,5416,1182,28,1,ACD65FA4,ACD65FA4,True,1182,189817,191175,0,6.236090,0.000000,28,True,False
76,5488,1191,28,1,D0278AF6,D0278AF6,True,1191,104130,104132,0,3.797370,0.000000,28,True,False
77,5560,1199,28,1,DBC1619F,DBC1619F,True,1199,104154,104155,0,4.315810,0.000000,28,True,False
78,5632,1231,28,1,D72B8408,D72B8408,True,1231,104176,104177,0,2.100890,0.000000,28,True,False
79,5704,1256,28,1,B1C66785,B1C66785,True,1256,27893,28937,0,0.810765,0.000000,28,True,False
80,5776,1293,28,1,D6972216,D6972216,True,1293,27894,37795,0,0.506337,0.000000,28,True,False
81,5848,1332,28,1,122FD4F6,122FD4F6,True,1332,104197,104198,0,2.784660,0.000000,28,True,False
82,5920,1349,28,1,5F8C0C78,5F8C0C78,True,1349,16163,28098,0,11.598500,0.000000,28,True,False
83,5992,1350,28,1,B1AB4303,B1AB4303,True,1350,16178,28138,0,14.953800,0.000000,28,True,False
84,6064,1352,28,1,1CCE8B6D,1CCE8B6D,True,1352,16180,28145,0,16.586201,0.000000,28,True,False
85,6136,1353,28,1,8069B77F,8069B77F,True,1353,246,1702,0,4.169220,0.000000,28,True,False
86,6208,1354,28,1,D064B73D,D064B73D,True,1354,4785,7612,0,4.613880,0.000000,28,True,False
87,6280,1355,28,1,52DC3ED8,52DC3ED8,True,1355,4895,7957,0,5.070940,0.000000,28,True,False
88,6352,1359,28,1,92D74606,92D74606,True,1359,4899,25714,0,2.712760,0.000000,28,True,False
89,6424,1362,28,1,DC127706,DC127706,True,1362,4907,26098,0,2.083400,0.000000,28,True,False
90,6496,1437,28,1,A99D0DCC,A99D0DCC,True,1437,104213,104214,0,3.193960,0.000000,28,True,False
91,6568,1481,28,1,BD212902,BD212902,True,1481,189844,191178,0,15.113200,0.000000,28,True,False
92,6640,1497,28,1,C1025BAC,C1025BAC,True,1497,189848,191183,0,13.851400,0.000000,28,True,False
93,6712,1501,28,1,E938D568,E938D568,True,1501,189877,190954,0,11.768900,0.000000,28,True,False
94,6784,1502,28,1,21489FC4,21489FC4,True,1502,189881,191164,0,11.505100,0.000000,28,True,False
95,6856,1503,28,1,7E4AAA1E,7E4AAA1E,True,1503,189884,191167,0,8.243540,0.000000,28,True,False
96,6928,1532,28,1,6C566669,6C566669,True,1532,104229,104230,0,1.636790,0.000000,28,True,False
97,7000,1684,28,1,9245F102,9245F102,True,1684,23142,28432,0,1.759310,0.000000,28,True,False
98,7072,1744,28,1,688718EB,688718EB,True,1744,16424,28432,0,1.354840,0.000000,28,True,False
99,7144,1745,28,1,1E480477,1E480477,True,1745,23199,17789,0,6.447480,0.000000,28,True,False
100,7216,1746,28,1,B45D8515,B45D8515,True,1746,23893,30548,0,2.802020,0.000000,28,True,False
101,7288,1759,28,1,A0C86F37,A0C86F37,True,1759,23895,30575,0,2.179300,0.000000,28,True,False
102,7360,1761,28,1,9C0FA474,9C0FA474,True,1761,33355,28066,0,11.035100,0.000000,28,True,False
103,7432,1762,28,1,D9787665,D9787665,True,1762,30493,30498,0,5.444850,0.000000,28,True,False
104,7504,1763,28,1,6EA9951A,6EA9951A,True,1763,23182,23143,0,9.700540,0.000000,28,True,False
105,7576,1768,28,1,1D7E7E95,1D7E7E95,True,1768,23897,30584,0,0.677527,0.000000,28,True,False
106,7648,1779,28,1,206CB887,206CB887,True,1779,27884,24777,0,20.000000,0.000000,28,True,False
107,7720,1782,28,1,74ECFE4F,74ECFE4F,True,1782,7467,26169,0,14.827000,0.000000,28,True,False
108,7792,1783,28,1,734047BD,734047BD,True,1783,54312,54324,0,12.408100,0.000000,28,True,False
109,7864,1794,28,1,AC3D95F5,AC3D95F5,True,1794,27896,30679,0,6.152840,0.000000,28,True,False
110,7936,1801,28,1,DA28ADCF,DA28ADCF,True,1801,27885,33047,0,20.000000,0.000000,28,True,False
111,8008,1811,28,1,2B7CDBF4,2B7CDBF4,True,1811,27888,33607,0,20.000000,0.000000,28,True,False
112,8080,1812,28,1,E5CCB92C,E5CCB92C,True,1812,27886,33351,0,20.000000,0.000000,28,True,False
113,8152,1813,28,1,66A21546,66A21546,True,1813,474333,0,0,20.000000,0.000000,28,True,False
114,8224,1822,28,1,9C48B56D,9C48B56D,True,1822,26382,31193,0,9.210210,0.000000,28,True,False
115,8296,1845,28,1,C0188885,C0188885,True,1845,25081,30979,0,12.607700,0.000000,28,True,False
116,8368,1847,28,1,545ADB91,545ADB91,True,1847,27875,31901,0,4.071640,0.000000,28,True,False
117,8440,1848,28,1,F2674AEE,F2674AEE,True,1848,18082,28746,0,7.345300,0.000000,28,True,False
118,8512,1852,28,1,E5DB01DB,E5DB01DB,True,1852,27876,32283,0,13.847200,0.000000,28,True,False
119,8584,1853,28,1,CA86F10E,CA86F10E,True,1853,27856,31528,0,6.029410,0.000000,28,True,False
120,8656,1861,28,1,4ACEA6B8,4ACEA6B8,True,1861,27897,37811,0,5.409830,0.000000,28,True,False
121,8728,1862,28,1,09303DA5,09303DA5,True,1862,27898,37814,0,4.668230,0.000000,28,True,False
122,8800,1863,28,1,B069D115,B069D115,True,1863,27899,37817,0,3.290420,0.000000,28,True,False
123,8872,1864,28,1,BF7CE499,BF7CE499,True,1864,27900,37823,0,4.743520,0.000000,28,True,False
124,8944,1878,28,1,4D78BC1E,4D78BC1E,True,1878,22975,29568,0,9.343370,0.000000,28,True,False
125,9016,1879,28,1,C16B21A1,C16B21A1,True,1879,22979,29788,0,12.283200,0.000000,28,True,False
126,9088,1880,28,1,5FB2D22A,5FB2D22A,True,1880,23096,30090,0,10.113500,0.000000,28,True,False
127,9160,1881,28,1,10EED688,10EED688,True,1881,23098,30458,0,12.494600,0.000000,28,True,False
128,9232,1944,28,1,39B9D090,39B9D090,True,1944,27889,34033,0,7.309810,0.000000,28,True,False
129,9304,1948,28,1,3F5F7B3A,3F5F7B3A,True,1948,27890,2873,0,6.117960,0.000000,28,True,False
130,9376,1949,28,1,2255C8AF,2255C8AF,True,1949,27891,2873,0,4.729840,0.000000,28,True,False
131,9448,1950,28,1,230D9E8B,230D9E8B,True,1950,27892,33552,0,3.232830,0.000000,28,True,False
132,9520,1954,28,1,11CD3A34,11CD3A34,True,1954,1294,6007,0,2.901610,0.000000,28,True,False
133,9592,1955,28,1,484B780C,484B780C,True,1955,4928,20843,0,3.908200,0.000000,28,True,False
134,9664,1956,28,1,D2CFDA49,D2CFDA49,True,1956,4930,17468,0,4.509680,0.000000,28,True,False
135,9736,1966,28,1,4606CD11,4606CD11,True,1966,16315,190796,0,3.382140,0.000000,28,True,False
136,9808,1967,28,1,95CB4A96,95CB4A96,True,1967,23184,17789,0,6.033370,0.000000,28,True,False
137,9880,1968,28,1,FA41C851,FA41C851,True,1968,6978,19616,0,2.714370,0.000000,28,True,False
138,9952,1969,28,1,C9AF1005,C9AF1005,True,1969,7353,20070,0,1.778750,0.000000,28,True,False
139,10024,1970,28,1,CF20A2DD,CF20A2DD,True,1970,7423,20084,0,1.683470,0.000000,28,True,False
140,10096,1971,28,1,3CF56245,3CF56245,True,1971,7457,20203,0,1.007770,0.000000,28,True,False
141,10168,2001,28,1,EE7F1C64,EE7F1C64,True,2001,16273,190791,0,3.810880,0.000000,28,True,False
142,10240,2002,28,1,9B152930,9B152930,True,2002,16317,190801,0,3.598410,0.000000,28,True,False
143,10312,2291,28,1,420A8377,420A8377,True,2291,27879,32845,0,1.292680,0.000000,28,True,False
144,10384,2292,28,1,056EE9E6,056EE9E6,True,2292,27880,37303,0,1.107240,0.000000,28,True,False
145,10456,2293,28,1,4A35F5D6,4A35F5D6,True,2293,27881,37307,0,0.867902,0.000000,28,True,False
146,10528,2294,28,1,7A31E1CC,7A31E1CC,True,2294,27882,37310,0,0.508025,0.000000,28,True,False
147,10600,2295,28,1,25C2573B,25C2573B,True,2295,27883,37314,0,0.850219,0.000000,28,True,False
148,10672,2424,28,1,03160069,03160069,True,2424,112894,112895,0,8.564080,0.000000,28,True,False
149,10744,2449,28,1,9232E4CF,9232E4CF,True,2449,190166,190167,0,1.618230,0.000000,28,True,False
150,10816,2518,28,1,49528872,49528872,True,2518,16182,28216,0,5.473090,0.000000,28,True,False
151,10888,2520,28,1,1151C45A,1151C45A,True,2520,16231,28227,0,11.593700,0.000000,28,True,False
152,10960,2522,28,1,4F296DEB,4F296DEB,True,2522,16233,28233,0,5.257000,0.000000,28,True,False
153,11032,2523,28,1,51088A8B,51088A8B,True,2523,16265,22850,0,7.677630,0.000000,28,True,False
154,11104,2524,28,1,A4C74D08,A4C74D08,True,2524,16263,28352,0,7.396060,0.000000,28,True,False
155,11176,2590,28,1,25EADFA7,25EADFA7,True,2590,27895,34228,0,53.675301,0.000000,28,True,False
156,11248,2674,28,1,8B13871E,8B13871E,True,2674,183540,183541,0,6.567660,0.000000,28,True,False
157,11320,2692,28,1,5BA9EF31,5BA9EF31,True,2692,183920,183921,0,9.752330,0.000000,28,True,False
158,11392,2906,28,1,35261AF1,35261AF1,True,2906,31654,30788,0,4.806890,0.000000,28,True,False
159,11464,2907,28,1,E575F4D8,E575F4D8,True,2907,45233,30810,0,6.827230,0.000000,28,True,False
160,11536,2908,28,1,AB9D6A8D,AB9D6A8D,True,2908,45244,30864,0,6.651660,0.000000,28,True,False
161,11608,2909,28,1,14136328,14136328,True,2909,45255,30901,0,4.912160,0.000000,28,True,False
162,11680,2914,28,1,D23426F5,D23426F5,True,2914,45312,30597,0,8.655370,0.000000,28,True,False
163,11752,2915,28,1,469BFECB,469BFECB,True,2915,45326,30637,0,6.200340,0.000000,28,True,False
164,11824,2916,28,1,239C8B48,239C8B48,True,2916,45338,30680,0,3.701780,0.000000,28,True,False
165,11896,2917,28,1,92472A9E,92472A9E,True,2917,45350,30774,0,3.430510,0.000000,28,True,False
166,11968,2934,28,1,0EB71A6E,0EB71A6E,True,2934,5548,4961,0,2.800080,0.000000,28,True,False
167,12040,2935,28,1,790EB206,790EB206,True,2935,45659,45664,0,2.784270,0.000000,28,True,False
168,12112,2936,28,1,FA6503F8,FA6503F8,True,2936,45661,5122,0,2.828330,0.000000,28,True,False
169,12184,2937,28,1,4C6F0169,4C6F0169,True,2937,45663,5153,0,2.862280,0.000000,28,True,False
170,12256,2938,28,1,32E7A520,32E7A520,True,2938,5164,5240,0,3.145710,0.000000,28,True,False
171,12328,2942,28,1,6873C21B,6873C21B,True,2942,45674,470582,0,26.776699,0.000000,28,True,False
172,12400,2943,28,1,CF6B0DEA,CF6B0DEA,True,2943,45689,470583,0,23.143801,0.000000,28,True,False
173,12472,2944,28,1,2045E900,2045E900,True,2944,45701,470584,0,17.930201,0.000000,28,True,False
174,12544,2946,28,1,27FEEE1C,27FEEE1C,True,2946,45561,30923,0,3.677700,0.000000,28,True,False
175,12616,2950,28,1,8B164315,8B164315,True,2950,45814,28058,0,2.390810,0.000000,28,True,False
176,12688,2951,28,1,B4334EBC,B4334EBC,True,2951,30921,28031,0,2.294340,0.000000,28,True,False
177,12760,2952,28,1,32E01F83,32E01F83,True,2952,30671,27933,0,2.021930,0.000000,28,True,False
178,12832,2957,28,1,0447C69E,0447C69E,True,2957,190171,190172,0,1.208580,0.000000,28,True,False
179,12904,2964,28,1,0106A505,0106A505,True,2964,45878,30522,0,10.927700,0.000000,28,True,False
180,12976,2994,28,1,2A947112,2A947112,True,2994,7461,22976,0,3.493600,0.000000,28,True,False
181,13048,3031,28,1,41BB80CD,41BB80CD,True,3031,190175,190176,0,1.718330,0.000000,28,True,False
182,13120,3150,28,1,F753F486,F753F486,True,3150,23639,23672,0,3.908200,0.000000,28,True,False
183,13192,3151,28,1,5A9B2AB3,5A9B2AB3,True,3151,647,650,0,4.821120,0.000000,28,True,False
184,13264,3152,28,1,70917DF5,70917DF5,True,3152,3236,2240,0,2.713600,0.000000,28,True,False
185,13336,3153,28,1,0591AAE2,0591AAE2,True,3153,3234,3237,0,1.778750,0.000000,28,True,False
186,13408,3154,28,1,EB2F99CD,EB2F99CD,True,3154,4123,4571,0,1.683370,0.000000,28,True,False
187,13480,3155,28,1,E779C461,E779C461,True,3155,4750,4756,0,1.007770,0.000000,28,True,False
188,13552,3170,28,1,4F47E482,4F47E482,True,3170,34345,34353,0,12.314800,0.000000,28,True,False
189,13624,3172,28,1,8CC192F9,8CC192F9,True,3172,34366,34368,0,10.253900,0.000000,28,True,False
190,13696,3173,28,1,8E8BBC59,8E8BBC59,True,3173,34522,34523,0,10.252200,0.000000,28,True,False
191,13768,3174,28,1,6EDF8859,6EDF8859,True,3174,27667,28296,0,13.440800,0.000000,28,True,False
192,13840,3175,28,1,D78E9FFF,D78E9FFF,True,3175,34532,34533,0,9.346420,0.000000,28,True,False
193,13912,3176,28,1,4FE6BD65,4FE6BD65,True,3176,34536,34537,0,5.107540,0.000000,28,True,False
194,13984,3177,28,1,4E534078,4E534078,True,3177,34536,34537,0,5.107540,0.000000,28,True,False
195,14056,3250,28,1,60406D89,60406D89,True,3250,186448,186449,0,16.417299,0.000000,28,True,False
196,14128,3252,28,1,48393B0E,48393B0E,True,3252,190221,190222,0,19.707899,0.000000,28,True,False
197,14200,3253,28,1,64A7DEAA,64A7DEAA,True,3253,190225,190226,0,23.931999,0.000000,28,True,False
198,14272,3262,28,1,6387DAE4,6387DAE4,True,3262,190229,190230,0,14.400600,0.000000,28,True,False
199,14344,3294,28,1,FC029BAC,FC029BAC,True,3294,190505,0,0,3.194100,0.000000,28,True,False
200,14416,3295,28,1,2A712C07,2A712C07,True,3295,190509,0,0,3.190890,0.000000,28,True,False
201,14488,3296,28,1,9E26B8A2,9E26B8A2,True,3296,190512,0,0,2.223700,0.000000,28,True,False
202,14560,3579,28,1,C61EFF1B,C61EFF1B,True,3579,282821,282822,0,16.012400,0.000000,28,True,False
203,14632,3607,28,1,3F5B38C6,3F5B38C6,True,3607,62346,62347,0,6.824170,0.000000,28,True,False
204,14704,3609,28,1,E17A2853,E17A2853,True,3609,62350,62351,0,7.522520,0.000000,28,True,False
205,14776,3610,28,1,DC1A3037,DC1A3037,True,3610,62354,62355,0,6.185010,0.000000,28,True,False
206,14848,3611,28,1,F01CAE8C,F01CAE8C,True,3611,62359,62360,0,5.918440,0.000000,28,True,False
207,14920,3652,28,1,717A3C67,717A3C67,True,3652,209586,254579,0,32.102699,0.000000,28,True,False
208,14992,3670,28,1,1EA13AC1,1EA13AC1,True,3670,210182,0,0,52.357201,0.000000,28,True,False
209,15064,3700,28,1,9E86132D,9E86132D,True,3700,210203,210207,0,56.936298,0.000000,28,True,False
210,15136,3728,28,1,CBE04D73,CBE04D73,True,3728,210232,210233,0,46.965401,0.000000,28,True,False
211,15208,3762,28,1,353DAA00,353DAA00,True,3762,211481,0,0,37.444099,0.000000,28,True,False
212,15280,3860,28,1,10CAECB8,10CAECB8,True,3860,74258,74265,0,3.198540,0.000000,28,True,False
213,15352,3861,28,1,894174D6,894174D6,True,3861,74269,74270,0,3.433950,0.000000,28,True,False
214,15424,3862,28,1,214A627C,214A627C,True,3862,74281,74282,0,3.952100,0.000000,28,True,False
215,15496,3997,28,1,6ADA71FE,6ADA71FE,True,3997,76012,76013,0,6.927130,0.000000,28,True,False
216,15568,3999,28,1,518B82AE,518B82AE,True,3999,76038,76139,0,6.052310,0.000000,28,True,False
217,15640,4000,28,1,CFE2F277,CFE2F277,True,4000,76078,76079,0,5.089830,0.000000,28,True,False
218,15712,4001,28,1,2D9A6479,2D9A6479,True,4001,76082,76083,0,2.864910,0.000000,28,True,False
219,15784,4002,28,1,1BE5D6B0,1BE5D6B0,True,4002,76086,76087,0,1.293510,0.000000,28,True,False
220,15856,4003,28,1,C08FBF29,C08FBF29,True,4003,76090,76091,0,0.815873,0.000000,28,True,False
221,15928,4004,28,1,E36D397C,E36D397C,True,4004,76094,76095,0,0.815873,0.000000,28,True,False
222,16000,4014,28,1,C457E663,C457E663,True,4014,76319,76320,0,26.014099,0.000000,28,True,False
223,16072,4015,28,1,AC49D6B4,AC49D6B4,True,4015,76324,76325,0,26.305201,0.000000,28,True,False
224,16144,4016,28,1,7B2EE635,7B2EE635,True,4016,76328,76329,0,24.620899,0.000000,28,True,False
225,16216,4017,28,1,71C27D6D,71C27D6D,True,4017,76332,76333,0,17.867901,0.000000,28,True,False
226,16288,4018,28,1,203F78E8,203F78E8,True,4018,76336,76337,0,14.013300,0.000000,28,True,False
227,16360,4019,28,1,F394D08A,F394D08A,True,4019,76340,76341,0,6.829080,0.000000,28,True,False
228,16432,4020,28,1,28D7DB40,28D7DB40,True,4020,76344,76345,0,8.827690,0.000000,28,True,False
229,16504,4069,28,1,A6143322,A6143322,True,4069,77871,77872,0,13.034200,0.000000,28,True,False
230,16576,4070,28,1,31CC0221,31CC0221,True,4070,77878,77879,0,12.061500,0.000000,28,True,False
231,16648,4071,28,1,AA03CAB0,AA03CAB0,True,4071,77883,77884,0,16.562300,0.000000,28,True,False
232,16720,4072,28,1,09435DDE,09435DDE,True,4072,77888,77889,0,8.385030,0.000000,28,True,False
233,16792,4073,28,1,86D4BE86,86D4BE86,True,4073,77893,77894,0,8.086190,0.000000,28,True,False
234,16864,4082,28,1,08DE2832,08DE2832,True,4082,78131,78132,0,15.034700,0.000000,28,True,False
235,16936,4083,28,1,2FF72F75,2FF72F75,True,4083,78138,78139,0,16.531500,0.000000,28,True,False
236,17008,4084,28,1,C481C67C,C481C67C,True,4084,78142,78143,0,11.939400,0.000000,28,True,False
237,17080,4085,28,1,9021D0F7,9021D0F7,True,4085,78146,78147,0,14.066200,0.000000,28,True,False
238,17152,4086,28,1,D02103C6,D02103C6,True,4086,78150,78151,0,10.983200,0.000000,28,True,False
239,17224,4199,28,1,3005AD9A,3005AD9A,True,4199,291482,291492,0,3.824160,0.000000,28,True,False
240,17296,4200,28,1,9D666117,9D666117,True,4200,291488,291497,0,2.761220,0.000000,28,True,False
241,17368,4262,28,1,01541F8B,01541F8B,True,4262,291600,291601,0,32.369400,0.000000,28,True,False
242,17440,4263,28,1,A2AF1A6B,A2AF1A6B,True,4263,291608,291609,0,20.530800,0.000000,28,True,False
243,17512,4266,28,1,45AA7BDF,45AA7BDF,True,4266,291667,291668,0,3.133520,0.000000,28,True,False
244,17584,4267,28,1,C1857B6D,C1857B6D,True,4267,291672,291673,0,2.652380,0.000000,28,True,False
245,17656,4319,28,1,EC687241,EC687241,True,4319,291724,291726,0,3.509620,0.000000,28,True,False
246,17728,4320,28,1,73E1FBCE,73E1FBCE,True,4320,291733,291734,0,0.999728,0.000000,28,True,False
247,17800,4321,28,1,CB1F1889,CB1F1889,True,4321,291737,291738,0,1.714180,0.000000,28,True,False
248,17872,4328,28,1,5C7F4125,5C7F4125,True,4328,291785,291786,0,17.409100,0.000000,28,True,False
249,17944,4329,28,1,9DBB09C8,9DBB09C8,True,4329,291790,291791,0,22.347799,0.000000,28,True,False
250,18016,4389,28,1,01C55804,01C55804,True,4389,295805,295806,0,23.709700,0.000000,28,True,False
251,18088,4391,28,1,21BA1C0A,21BA1C0A,True,4391,295822,301631,0,17.046101,0.000000,28,True,False
252,18160,4397,28,1,756697F0,756697F0,True,4397,93916,93917,0,52.088100,0.000000,28,True,False
253,18232,4398,28,1,D3CC135B,D3CC135B,True,4398,93921,94003,0,44.045101,0.000000,28,True,False
254,18304,4399,28,1,792C26E0,792C26E0,True,4399,93925,93926,0,34.455601,0.000000,28,True,False
255,18376,4400,28,1,0772E827,0772E827,True,4400,93929,93930,0,19.882700,0.000000,28,True,False
