"source_path_full","role","sha256","snapshot_time_scope"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\04_RUNTIME\NOT_RUN.md","runtime out-of-scope declaration","bd4e2f800c86fe9a5dfca3644c02ef80a81140a6cee0e9e1926aa95aa8f63fc4","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\CLAIM_MATRIX.csv","core deliverable: 43 atomic claims, 14 columns, single knowledge status per row","b6648cab04766b4d53d3dcb8d48651444e1f5f2b5f5157e5589a5c8f0771d183","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\ALLEGATION_DISPOSITIONS.csv","23 auditor allegations with ACCEPTED/REFUTED/UNRESOLVED + evidence","11d59c30cc20589b3bb0b9926b8d3ae9a56a0a951f00db93a9994d6b1659fdbc","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\DENOMINATORS.json","21 explicit denominators with definitions and non-interchangeability warnings","68bc7cf859790091647ec31138d5e77dcb151c27d9cf7923f31ab8c974328880","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\COUNTEREXAMPLES.json","12 bounding counterexamples (CE-1..CE-12)","65217d21990e766674903f7dabc64b40439ff708fe2dd87051ae877986c9525a","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\06_REPORT\00_FINAL_REPORT.md","primary final report","0051ec30b1448df0aa213ed78a21821a369eea40e2607a18929811d9d2d5411c","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\06_REPORT\PROPOSED_DOC_CORRECTIONS.md","document-scope corrections â€” PROPOSALS ONLY (P1-P7), not applied","5e8a44c4ce3bab23dbaea9328414e82b0589219ca22cf4b91e0b44d68924ae87","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\REPORT.md","pointer to the primary report","16d5f30bb3f2780abe96c8588849a9d621126f0e9e79a532c84aa08d8ca86f18","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\STAGE_ACCEPTANCE_GATES.csv","16 gates + OVERALL (all PASS)","960bf69b552f630857616923cf71ff424299114bc5d128d15d9c6a81b1525b57","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\HANDOFF.md","handoff with the mandatory final block","fed9a264ddffe03371c29587895a7a87a9202e7606c3239fb93fee17c95cec22","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_CROSS_ERA_R35_20260904_170224.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","b23bf795787f0eba03a4971de10b9d6f88d8b6f7fe5553d17ed7ed7827b7d30d","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_FIELD_D_R36_20260904_171903.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","72c691eface76a39765ffb6b433945832bc462e860cf22a17381d9ad71d3419e","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_G3B_VARIABLE_R30_20260904_152304.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","46fac82d4fbffc768c66ccfbb4b38725e659c642b5c2edea5f4a614317c484cd","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_G3D_CLASS_ROLE_R37_20260904_173625.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","aff2b3557a3675bd190320830d43169fac3ed089f96e9d5c0a2c8b85b71e68bd","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_IMPORTER_HEADER_R29_20260904_150900.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","b443e26ec1fb1d74c7d92bc0ee4c40e6d12ee9ebab3e526fd6433e387af82232","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","63da611084683ed5634e3d798de663a366a1485e56d40e236d45325de4d9324d","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_MORPH_IDS_R33_20260904_162507.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","29c0dce1fa64162ecb784e3f03a00b8167cefc079932befc3e1df93852aaf1d6","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_MORPH_QUANT_R34_20260904_164538.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","2b7535c139cfd17968d68e78245e53f947da8ed0c8f8db27bdcacadf79be0856","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_RARE_VARIANTS_R31_20260904_154509.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","08be3cca6a52342bf4969785577e53309973813f30ae68fe446c3642d084d4fc","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","bb9330cff2afa91bcb325a1d103047657470f450210ba5d30de09a176c284094","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_TEXT_MODES_R38_20260904_175053.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","55751d8738bc371fd37b9c96eb04f4c64420992cf21dcc2307695d2d120e568e","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\05_ANALYSIS\NORMALIZED_MANIFESTS\PE_NIF_WIKI_AUDIT_R39_20260904_180213.artifact_index.normalized.csv","normalized sidecar of the named historical manifest (original path + SHA + row-exact recovery + hash verification + scope class)","1a1a32224cab26841d95f971ed954d837f1d0be706c1bcd11ddd6e8e917b6373","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ITER29_40_EXTERNAL_AUDIT_20260904_233119\NEXT_OPENCODE_PROMPT.md","this round prompt (SHA verified pre-execution)","bfdb1d23e42904fb29cbdb5995d072b8c793ab5d4e241e28bf7f3efa8eeba562","prompt of this run"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ITER29_40_EXTERNAL_AUDIT_20260904_233119\06_REPORT\00_FINAL_REPORT.md","external audit report (input, read-only)","d16c209f073869275ef3604ec613b64d95c520cea62c18d8bf84398d7f6b197c","external audit 2026-09-04 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ITER29_40_EXTERNAL_AUDIT_20260904_233119\01_RAW\probe.json","auditor probe (input, read-only; NOT copied â€” all its allegations re-derived)","ad50f392f584e5ffbfcbf28ff6a8ed3cd7b2799dd3d5a6aec302ae7a9814ef81","external audit 2026-09-04 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ITER29_40_EXTERNAL_AUDIT_20260904_233119\00_CONTROL\probe.cjs","auditor method (input, read-only)","9b0e4e77662363204c6807a64c5a6b9e9571f34e98eb8e4ccfe199e4779b4bf0","external audit 2026-09-04 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\ANIM_FRAME_CHECK.json","R32 raw evidence (f1 recount source)","b293d84401150e0465f835487ff82be0381d7a3b64b891a6690fba8b461af8ae","historical run R32 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MORPH_QUANT_R34_20260904_164538\02_results\REAL_SPARSE_GRAMMAR.json","R34 raw evidence (denominators + k=1 examples)","2c26ba86db44ad7a58322c136112fec36e23efab1db1fafea1c976311eba007e","historical run R34 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MORPH_QUANT_R34_20260904_164538\01_source\morph_quant_r34.py","R34 driver source (parse_variable inspection)","8d788a9a37c4ab2b1d9f76f3d0fb1e3cab9b2a9bda0432089f694f41598d490e","historical run R34 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CROSS_ERA_R35_20260904_170224\02_results\FORMAT_EVOLUTION.json","R35 raw evidence (21 claims)","bfd2a3e0bb8f2cc25c8c554c649300c7ef134d0989a47181beb477049101def9","historical run R35 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CROSS_ERA_R35_20260904_170224\02_results\GRAMMAR_VALIDATION.json","R35 raw evidence (per-family 2003 results)","2f15df0d14dd03e1ee49d6f3d69cc4f7249ed7067800ffccc5174b8bdfa62d80","historical run R35 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CROSS_ERA_R35_20260904_170224\02_results\ERA_CENSUS.json","R35 raw evidence (era census)","cfc8a0232d8f10b2342be7c2d398d9b866ec10a1d86bc38fd50210bae3650e12","historical run R35 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\02_results\FIELD_D_TESTS.json","R36 raw evidence (T1-T5, formula range)","2af4cd39d36db96a2013a6de75983469aa6e2e7856a40061de6c86c6d54ee043","historical run R36 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_IMPORTER_HEADER_R29_20260904_150900\02_results\PATTERNS.json","R29 raw evidence (patterns + era matrix)","d6d42801818205754ab84af2d2a0bc97d72cd6b491295b6d777df17cc121cd88","historical run R29 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_G3D_CLASS_ROLE_R37_20260904_173625\02_results\CLASS_SEQUENCES.json","R37 raw evidence (root-last)","2e1826fd9cf2e85c62e5ae4ed6f8cf255eff22731d29e15fe45ce90a6067d29c","historical run R37 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_TEXT_MODES_R38_20260904_175053\02_results\MODE_ANALYSIS.json","R38 raw evidence (mode census + twin pair)","cc77c608c089bc131fd9d8c503a581edb6b82dbb6a65ef0374e8afd25d1e281d","historical run R38 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_WIKI_AUDIT_R39_20260904_180213\02_results\EDIT_PROPOSALS.json","R39 raw evidence (45 proposals)","206e56aacdb8066e370b3d548c6ed7ff8cfbbb32228da8b0a454bd6a3d1dcca6","historical run R39 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\README_PROPOSALS.json","R40 raw evidence (README proposals)","b0077505f9139efa4c0cdaab8a5ea3ad3c498582df503b2b343e9b36fa5f38b5","historical run R40 (immutable)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\SEMANTICS_PROPOSALS.json","R40 raw evidence (ch09 proposals)","82fde5918b6084c3340b4c816752cec0b2b9ca64b4a90c51192144da71f69e18","historical run R40 (immutable)"
"D:\Eudoria_Reconstruction\01_Original_Files\BNT_Models\Models.bnt","2003 ORIGINAL container (read-only; direct re-parse this round)","1322adf2919b1b24a8b4fda9618347e00c5a2b35dbb54516e353f1cefd3524a6","original game file (immutable)"
"D:\Eudoria_Reconstruction\pcg_install\Data\Models\Models.bnt","9.3.5 container (read-only; direct re-parse this round)","c950a8c26f2063f4dd748d88c95bd769aac77a2f5f76face7e969be0b3d3bee0","pcg_install corpus (read-only)"
"D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\README.md","wiki target (post-apply @ 077b8a4 == HEAD 8cd0bc3; READ-ONLY)","4f9765814e82b91762d4d1bc4ec608dbe75c020665c7f564b5f147983bc6400e","wiki @ commit 077b8a4 (reference == current)"
"D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\09-semantics.md","wiki target (post-apply @ 077b8a4 == HEAD 8cd0bc3; READ-ONLY)","bb22d51823e10c92e132db6f4c388b50c6dd10b0de9accccd3b973b561a83606","wiki @ commit 077b8a4 (reference == current)"
"D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\10-containers-corpus.md","wiki chapter (READ-ONLY; iff + never-GRAMMAR sites)","0b197ed46a5461ab4224b521f7c8351f0350ceb7ecc4c5fca657aa76ab5da094","wiki @ commit 077b8a4 (reference == current)"
"D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\11-open-problems.md","wiki chapter (READ-ONLY; iff + completeness sites)","5fd138f2a71a77a1652b800df13efe15c2d44b5d2b6bad1f879612e868f1421c","wiki @ commit 077b8a4 (reference == current)"
"D:\Eudoria_Reconstruction\00_PROJECT_CONTEXT\PE_AUTO_LOOP.json","loop state (READ-ONLY; +236-lines site; WRITER-scope - not written)","4422e08084160301ba9014c4c288437039c8286437ecab4d930471732d616d85","mutable live state (hash valid at read time only)"
