a_value,hit,models_entry_index,models_offset,packed_size,template_ids,template_count
30493,True,3236,286822700,22951,1762,1
30671,True,3124,281858741,9999,2952,1
30906,True,3629,312981052,119108,13708,1
30921,True,3125,281868740,9999,2951,1
31042,True,3559,300417532,127130,13564,1
31079,True,3569,301932036,90891,13568,1
31094,True,3580,303483929,79688,13704,1
31119,True,3583,304071227,132237,13702,1
31134,True,3582,303976390,94837,13703,1
31489,True,3551,299450455,143614,13557,1
31654,True,3281,287714743,15678,2906,1
31657,True,2829,271975820,4237,2901,1
32479,True,3748,321675248,49115,11882;11883;11884;11885;11886;11887,6
33213,True,3592,305197383,102885,13706,1
33251,True,461,75545482,170770,2859,1
33355,True,2970,275689230,33319,1761,1
34345,True,3257,287357257,5054,3170,1
34366,True,3258,287362311,5054,3172,1
34522,True,3259,287367365,6342,3173,1
34532,True,3261,287380057,5256,3175,1
34536,True,3262,287385313,5252,3176;3177,2
34758,True,3605,305900889,47832,13714,1
34762,True,3604,305870635,30254,13712,1
34763,True,3603,305827953,42682,13713,1
35043,True,3594,305326870,62304,13751,1
35044,True,3596,305409094,24734,13739,1
35283,True,3107,281292170,7744,3182,1
35288,True,3108,281299914,7744,3183,1
35401,True,3106,281284424,7746,3181,1
35527,True,2825,271957672,3441,2893,1
36718,True,1956,207716459,28621,1814,1
36719,True,1957,207745080,27857,1816,1
36720,True,1958,207772937,36225,1817,1
37551,True,2826,271961113,3447,2895,1
37864,True,3554,300055160,59614,13711,1
38117,True,2425,262601498,18171,1930,1
38118,True,2426,262619669,13778,1931,1
38166,True,2427,262633447,13925,1937,1
38167,True,2428,262647372,8782,718,1
38168,True,2429,262656154,8782,1940,1
38169,True,2430,262664936,8182,1943,1
38170,True,2431,262673118,10684,1951,1
38171,True,2432,262683802,10701,1952,1
38172,True,2433,262694503,10709,1953,1
38505,True,2449,263195347,16127,519,1
38506,True,2466,264041129,11108,335,1
38507,True,2467,264052237,11808,348,1
38508,True,2468,264064045,12138,522,1
38509,True,2469,264076183,12792,621,1
38510,True,2485,264507376,45882,719,1
38511,True,2486,264553258,45060,720,1
38555,True,2505,264933513,2817,2279,1
38556,True,2501,264872226,20961,1375,1
38557,True,2500,264865223,7003,1929,1
38558,True,2499,264845920,19303,1701,1
38575,True,2565,266381796,33032,1781,1
38576,True,2572,266468928,7725,1399,1
38577,True,2573,266476653,4597,1400,1
38578,True,2575,266485729,6427,1356,1
38580,True,2578,266499506,3792,404,1
38700,True,2700,268549004,16946,971,1
38701,True,2701,268565950,107318,973,1
38736,True,2703,268702173,18830,2029,1
38737,True,2704,268721003,25182,1865,1
38738,True,2705,268746185,39934,1866,1
38750,True,2862,272704675,9052,2265,1
38751,True,2863,272713727,9052,2266,1
38762,True,2924,274095210,25344,2275,1
38763,True,2925,274120554,35017,2276,1
38764,True,2927,274190588,35017,2277,1
38765,True,2935,274404287,16695,1858,1
38766,True,2936,274420982,19985,1860,1
38767,True,2937,274440967,16695,1859,1
38768,True,2957,274941922,4636,1712,1
38769,True,2926,274155571,35017,905,1
40148,True,783,116365177,89855,550,1
40151,True,1968,208391903,8130,1818,1
40324,True,170,44780393,20800,567,1
40350,True,825,120131055,145158,496,1
40611,True,1969,208400033,13459,1819,1
40613,True,1977,209001824,52867,1298,1
40614,True,1978,209054691,42659,1463,1
40615,True,1979,209097350,52855,1830,1
40616,True,1987,210197573,41603,1821,1
40617,True,1988,210239176,42715,1823,1
40618,True,1999,212066072,46134,1824,1
41076,True,1853,203653447,18082,12348,1
41090,True,1847,203371059,16428,11879;11880,2
41379,True,1855,203720864,52803,12226;12227,2
41719,True,2509,264973264,6931,15061,1
41722,True,2512,265016938,18172,8254,1
41728,True,2510,264980195,17438,15062,1
41816,True,2511,264997633,19305,12878,1
41821,True,2516,265089924,31229,8251,1
43738,True,457,74988134,125957,2858,1
43828,True,456,74640743,347391,2857,1
45052,True,2827,271964560,6383,2897,1
45080,True,2828,271970943,4877,2899,1
45233,True,3282,287730421,17711,2907,1
45244,True,3283,287748132,17711,2908,1
45255,True,3284,287765843,15678,2909,1
45312,True,3277,287673165,8307,2914,1
45326,True,3278,287681472,8989,2915,1
45338,True,3279,287690461,8953,2916,1
45350,True,3280,287699414,15329,2917,1
45388,True,2537,265620695,26007,2925,1
45547,True,3790,323369940,15090,11862,1
45561,True,3285,287781521,17719,2946,1
45566,True,3789,323361775,8165,11864,1
45570,True,331,69671561,10272,11866;12394,2
45659,True,3370,290593995,8484,2935,1
45661,True,3371,290602479,5122,2936,1
45663,True,3372,290607601,5118,2937,1
45674,True,3313,288642220,9077,2942,1
45689,True,3314,288651297,9191,2943,1
45701,True,3315,288660488,9075,2944,1
45814,True,3126,281878739,11641,2950,1
45872,True,3103,281261194,7742,2981,1
45874,True,3104,281268936,7744,2980,1
45876,True,3105,281276680,7744,2979,1
45878,True,3256,287352203,5054,2964,1
46227,True,1466,191629360,44635,2975,1
46433,True,1464,191567521,39950,2343,1
47068,True,2394,259502346,107817,2990,1
47949,True,831,121384414,15961,1299,1
48001,True,785,116490576,66355,1230,1
49463,True,454,74190438,205548,3769,1
50113,True,1889,204908522,65431,10321,1
50126,True,1896,205292240,65365,10319,1
50138,True,1890,204973953,57697,10320,1
50189,True,3766,322595207,49138,12237;12238;12239;12240;12241,5
50201,True,3759,322218143,40852,12233,1
50230,True,3760,322258995,82223,12235,1
52294,True,782,116280836,84341,3204,1
52343,True,784,116455032,35544,3205,1
52377,True,787,116624720,119023,3206,1
52422,True,794,117155337,199991,3207,1
52513,True,795,117355328,104536,3209,1
52517,True,796,117459864,12282,3210,1
52544,True,798,117500387,10096,3212,1
52552,True,790,116984300,85768,3208,1
52555,True,799,117510483,38115,3213,1
54312,True,3071,280051113,121090,1783,1
59222,True,169,44759596,20797,564,1
59275,True,797,117472146,28241,3211,1
59572,True,2045,213462406,18085,3502,1
59584,True,2046,213480491,17784,3503,1
59592,True,2047,213498275,22564,3504,1
59600,True,2048,213520839,21369,3505,1
59608,True,2049,213542208,20986,3506,1
59616,True,2050,213563194,18744,3507,1
59629,True,2052,213600716,2907,3508,1
59633,True,2053,213603623,6535,3509,1
59639,True,2054,213610158,3937,3510,1
59644,True,2055,213614095,20457,3511,1
59651,True,2056,213634552,3608,3512,1
59655,True,2057,213638160,2054,3513,1
59659,True,2058,213640214,4160,3514,1
59669,True,1865,204066731,7191,3499,1
59673,True,1866,204073922,6136,3500,1
59715,True,1864,204060526,6205,3498,1
59720,True,1867,204080058,6060,3501,1
62346,True,3264,287396407,5842,3607,1
62350,True,3265,287402249,5642,3609,1
62354,True,3266,287407891,5248,3610,1
62359,True,3267,287413139,5252,3611,1
62855,True,2474,264135463,11108,3639,1
62884,True,2475,264146571,11808,3640,1
62889,True,2476,264158379,12138,3641,1
62974,True,2477,264170517,12792,3642,1
63380,True,2463,263942353,13364,3659,1
63905,True,1671,197658098,45994,3682,1
63914,True,1670,197641431,16667,3684,1
63923,True,1669,197628916,12515,3685,1
64467,True,802,117596515,65450,3714,1
64495,True,806,117733940,14793,3718,1
64501,True,804,117671835,7384,3716,1
64512,True,805,117679219,54721,3717,1
64531,True,803,117661965,9870,3715,1
64553,True,800,117548598,6269,3713,1
64609,True,1723,199498120,25901,4483,1
64618,True,1724,199524021,22413,4484,1
64623,True,1722,199496139,1981,4482,1
64862,True,480,76421606,34319,3569,1
65665,True,166,44684952,13409,3709,1
65672,True,167,44698361,14006,3710,1
65678,True,168,44712367,47229,3711,1
68336,True,1389,186313414,102985,11977;11978,2
68840,True,463,75749849,1218,3564,1
68845,True,464,75751067,1218,3722,1
68849,True,465,75752285,1932,3723,1
72465,True,175,44884269,22040,543,1
72956,True,347,72348007,3207,3821,1
73072,True,348,72351214,3207,3823,1
73115,True,349,72354421,3207,3826,1
73117,True,350,72357628,3207,3827,1
73295,True,2051,213581938,18778,3831,1
74258,True,3009,278082746,25719,3860,1
74269,True,3010,278108465,38443,3861,1
74281,True,3011,278146908,34969,3862,1
74331,True,3343,289466346,7742,3873,1
74337,True,3344,289474088,7742,3874,1
74443,True,3345,289481830,7742,3875,1
74449,True,3346,289489572,5310,3876,1
74454,True,3347,289494882,5918,3877,1
74555,True,2785,271182192,11169,3882,1
74574,True,2786,271193361,11169,3883,1
74591,True,2787,271204530,11169,3884,1
74608,True,2788,271215699,11169,3885,1
74670,True,3157,283195787,4096,3891,1
74676,True,3158,283199883,3182,3892,1
74682,True,3159,283203065,4098,3893,1
74687,True,3160,283207163,3294,3894,1
74692,True,3161,283210457,3186,3895,1
75021,True,2802,271451017,30949,3903,1
75029,True,2804,271509021,30017,3904,1
75034,True,2803,271481966,27055,3905,1
75075,True,2741,270129286,29210,3908,1
75080,True,2743,270187706,29219,3909,1
75118,True,2745,270246144,63235,3913,1
75125,True,2746,270309379,26179,3914,1
75130,True,2747,270335558,6319,3915,1
75187,True,2538,265646702,16065,3920,1
75192,True,2539,265662767,38339,3921,1
75196,True,2540,265701106,40407,3922,1
75200,True,2541,265741513,40407,3923,1
75281,True,2748,270341877,6086,3928,1
75286,True,2749,270347963,6084,3929,1
75290,True,2750,270354047,5218,3930,1
75330,True,2839,272258207,33151,3938,1
75335,True,2841,272324509,13847,3939,1
75339,True,2842,272338356,12261,3940,1
75343,True,2843,272350617,33155,3941,1
75347,True,2844,272383772,16421,3942,1
75351,True,2845,272400193,21867,3943,1
75355,True,2846,272422060,12303,3944,1
75599,True,2450,263211474,67907,3952,1
75607,True,2451,263279381,73987,3955,1
75614,True,2452,263353368,16127,3956,1
75620,True,2453,263369495,67964,3957,1
75625,True,2454,263437459,69167,3958,1
75706,True,2455,263506626,16127,3962,1
75712,True,2456,263522753,67907,3963,1
75717,True,2457,263590660,73987,3964,1
75763,True,2460,263751757,67907,3968,1
75774,True,2461,263819664,73987,3969,1
75779,True,2462,263893651,48702,3970,1
75832,True,2464,263955717,47927,3973,1
75837,True,2465,264003644,37485,3974,1
75867,True,2470,264088975,11108,3978,1
75872,True,2471,264100083,12138,3979,1
75878,True,2472,264112221,11104,3980,1
75920,True,2487,264598318,47464,3983,1
75931,True,2488,264645782,46874,3984,1
75968,True,2498,264843665,2255,3986,1
76012,True,3022,278707266,26675,3997,1
76038,True,3023,278733941,25227,3999,1
76078,True,3024,278759168,20579,4000,1
76082,True,3025,278779747,14575,4001,1
76086,True,3026,278794322,7855,4002,1
76090,True,3027,278802177,5013,4003,1
76094,True,3028,278807190,5405,4004,1
76319,True,3013,278418410,17468,4014,1
76324,True,3014,278435878,17472,4015,1
76328,True,3015,278453350,17472,4016,1
76332,True,3016,278470822,17472,4017,1
76336,True,3017,278488294,17476,4018,1
76340,True,3018,278505770,17476,4019,1
76344,True,3019,278523246,17476,4020,1
76707,True,789,116805872,178428,4030,1
77852,True,2833,272035938,15408,4061,1
77871,True,3030,278831222,31940,4069,1
77878,True,3031,278863162,28744,4070,1
77883,True,3032,278891906,31942,4071,1
77888,True,3033,278923848,28740,4072,1
77893,True,3034,278952588,28816,4073,1
77992,True,3606,305948721,351302,13726;13768,2
78012,True,3613,307668702,124897,13727,1
78131,True,3186,284202708,34150,4082,1
78138,True,3187,284236858,34150,4083,1
78142,True,3188,284271008,34150,4084,1
78146,True,3189,284305158,27498,4085,1
78150,True,3190,284332656,16013,4086,1
78416,True,2534,265540586,9269,463,1
78430,True,2535,265549855,23527,4094,1
78444,True,2536,265573382,47313,4097,1
78464,True,2542,265781920,40407,4099,1
78478,True,2543,265822327,47031,4101,1
78491,True,2544,265869358,39303,4103,1
78505,True,2545,265908661,54633,4105,1
78519,True,2546,265963294,24931,4107,1
78533,True,2547,265988225,39338,4109,1
78547,True,2548,266027563,26223,4111,1
78561,True,2549,266053786,40405,4113,1
78575,True,2550,266094191,55864,4115,1
78592,True,2551,266150055,41561,4117,1
78606,True,2552,266191616,56077,4119,1
78620,True,2553,266247693,28923,4121,1
78634,True,2554,266276616,9554,4123,1
78648,True,2555,266286170,9554,4125,1
78662,True,2556,266295724,9554,4127,1
78676,True,2557,266305278,9496,4129,1
78691,True,2558,266314774,9556,4131,1
78705,True,2559,266324330,9558,4133,1
78719,True,2560,266333888,9558,4135,1
78742,True,2561,266343446,9554,4137,1
87972,True,2580,266509649,3600,4271,1
88642,True,2562,266353000,2909,4287,1
90637,True,2931,274246739,38783,2409,1
90648,True,2932,274285522,50645,2874,1
90657,True,2933,274336167,51505,3133,1
90666,True,2934,274387672,16615,3134,1
91771,True,3548,298696798,259343,13728,1
93916,True,3143,282537908,106263,4397,1
93921,True,3144,282644171,99417,4398,1
93925,True,3145,282743588,95259,4399,1
93929,True,3146,282838847,98135,4400,1
93981,True,3238,286868058,28727,4402,1
93997,True,3002,277948076,37654,4406,1
94018,True,3003,277985730,37674,4407,1
94022,True,3004,278023404,31808,4408,1
94606,True,2608,266609390,2738,1576,1
94609,True,2609,266612128,2738,1577,1
94619,True,2610,266614866,2738,1579,1
94639,True,2611,266617604,2738,1580,1
94675,True,2612,266620342,2738,1581,1
94678,True,2613,266623080,2738,1583,1
94682,True,2614,266625818,2738,1584,1
98237,True,2615,266628556,2736,4237,1
98240,True,2616,266631292,2736,4238,1
98243,True,2617,266634028,2736,4242,1
98246,True,2618,266636764,2736,4243,1
98249,True,2619,266639500,2736,4244,1
98252,True,2620,266642236,2736,4245,1
98255,True,2621,266644972,2736,4251,1
98659,True,2622,266647708,2736,4252,1
98662,True,2623,266650444,2736,4256,1
98665,True,2624,266653180,2736,4257,1
98669,True,2625,266655916,2736,4258,1
98672,True,2626,266658652,2736,4259,1
98675,True,2627,266661388,2736,4442,1
98678,True,2628,266664124,2736,4450,1
98681,True,2629,266666860,2736,4451,1
98684,True,2630,266669596,2736,4452,1
98688,True,2631,266672332,2736,4453,1
98691,True,2632,266675068,2736,4454,1
99063,True,1717,199398590,15783,4478,1
99070,True,1718,199414373,7375,4479,1
99077,True,1719,199421748,10313,4480,1
99082,True,1721,199490767,5372,4481,1
101358,True,2043,213245588,112233,4500,1
101374,True,2044,213357821,104585,4501,1
103241,True,2445,263106998,12138,2213,1
103247,True,2447,263148381,12138,2214,1
103278,True,2459,263735630,16127,2216,1
103296,True,2473,264123325,12138,2220,1
103328,True,2581,266513249,2804,2224,1
103341,True,2582,266516053,3600,2226,1
103357,True,2583,266519653,3598,2441,1
103370,True,2584,266523251,3377,2863,1
103383,True,2585,266526628,3598,3000,1
103396,True,2586,266530226,3596,3002,1
103409,True,2587,266533822,3598,3005,1
103422,True,2588,266537420,3596,3020,1
103435,True,2589,266541016,3602,3055,1
103698,True,2590,266544618,3598,760,1
103711,True,2591,266548216,3600,771,1
103724,True,2592,266551816,3598,777,1
103738,True,2593,266555414,3598,783,1
103751,True,2594,266559012,3598,788,1
103764,True,2595,266562610,3596,819,1
103777,True,2596,266566206,3600,831,1
103790,True,2597,266569806,3600,838,1
103803,True,2598,266573406,3596,840,1
103838,True,2599,266577002,3598,862,1
103852,True,2600,266580600,3600,865,1
103866,True,2601,266584200,3600,880,1
103879,True,2602,266587800,3602,882,1
103895,True,2603,266591402,3598,885,1
103909,True,2604,266595000,3598,887,1
103922,True,2605,266598598,3598,898,1
103936,True,2606,266602196,3600,932,1
103949,True,2607,266605796,3594,934,1
103994,True,2706,268786119,28246,979,1
104014,True,2707,268814365,47045,1020,1
104130,True,3091,281113934,15370,1191,1
104154,True,3092,281129304,15298,1199,1
104176,True,3093,281144602,15300,1231,1
104197,True,3094,281159902,15298,1332,1
104213,True,3095,281175200,15302,1437,1
104229,True,3096,281190502,15300,1532,1
105623,True,3109,281307658,7672,203,1
105641,True,3110,281315330,7742,206,1
105660,True,3111,281323072,7742,220,1
105677,True,3112,281330814,7742,246,1
105694,True,3113,281338556,7746,248,1
105710,True,3114,281346302,9266,250,1
105726,True,3176,283996692,11306,253,1
105746,True,3177,284007998,11304,257,1
105762,True,3178,284019302,11304,259,1
105778,True,3179,284030606,11304,261,1
105794,True,2815,271839761,17915,266,1
105811,True,2816,271857676,26069,268,1
105828,True,2817,271883745,26069,272,1
105844,True,2818,271909814,9755,274,1
105860,True,2819,271919569,6232,276,1
105876,True,2820,271925801,5733,278,1
105894,True,2821,271931534,5733,283,1
105911,True,2822,271937267,5733,289,1
105927,True,2823,271943000,5834,291,1
107707,True,2699,268316395,232609,420,1
107734,True,2566,266414828,4022,1038,1
107749,True,2567,266418850,3550,1040,1
108587,True,2871,272897176,27441,1058,1
108592,True,2872,272924617,27445,1059,1
108597,True,2873,272952062,27447,1060,1
108601,True,2874,272979509,9639,1061,1
108605,True,2875,272989148,9251,1062,1
108674,True,2876,272998399,9309,759,1
108804,True,3521,293846627,294143,13561,1
109106,True,1900,205497137,38969,8202,1
109125,True,2892,273268307,102738,1150,1
109147,True,3127,281890380,9999,1152,1
109163,True,3128,281900379,9997,1154,1
109179,True,3129,281910376,8069,1156,1
109240,True,3005,278055212,7435,1169,1
109386,True,2879,273034784,13541,1137;1139,2
109487,True,3006,278062647,7435,1177,1
109491,True,3007,278070082,7437,1178,1
109495,True,3008,278077519,5227,1179,1
111124,True,2958,274946558,21074,1367,1
111143,True,2959,274967632,16038,1369,1
111160,True,2960,274983670,14316,1374,1
112372,True,1714,199306720,24959,8204,1
112894,True,3138,282324191,33319,2424,1
117224,True,2878,273021247,13537,1138,1
121672,True,1945,206488091,53675,9358,1
121728,True,1944,206405749,82342,9359,1
122681,True,3707,317758579,22051,12003,1
126740,True,222,57733445,104139,4752,1
127427,True,213,56443181,265125,4755,1
127561,True,214,56708306,135144,4757,1
127603,True,215,56843450,190007,4759,1
127723,True,216,57033457,144483,4762,1
127759,True,217,57177940,156547,4764,1
127797,True,218,57334487,65280,4766,1
127856,True,219,57399767,166134,4768,1
127908,True,220,57565901,98953,4770,1
127957,True,221,57664854,68591,4772,1
128078,True,228,58881234,177657,4778,1
128145,True,230,59313222,195946,4782,1
128752,True,184,45262174,2275,4784,1
128762,True,212,56141550,301631,4753,1
128816,True,225,58045763,193125,4774,1
128849,True,226,58238888,326430,4776,1
128877,True,229,59058891,254331,4780,1
128915,True,185,45264449,3376,4786,1
128932,True,186,45267825,5017,4788,1
128949,True,187,45272842,3680,4790,1
128966,True,188,45276522,5017,4792,1
128983,True,189,45281539,7367,4794,1
129001,True,190,45288906,2527,4796,1
129020,True,191,45291433,9783,4798,1
129043,True,193,45312939,14310,4800,1
129063,True,194,45327249,22978,4802,1
129085,True,195,45350227,8997,4804,1
129104,True,196,45359224,5844,4806,1
129123,True,197,45365068,24842,4808,1
129143,True,198,45389910,13905,4810,1
129184,True,467,75770995,61774,4814,1
129210,True,468,75832769,22538,4816,1
129232,True,469,75855307,22654,4818,1
129256,True,470,75877961,34582,4820,1
129281,True,310,67323804,75993,4822,1
129311,True,311,67399797,66964,4824,1
129338,True,312,67466761,52162,4826,1
129375,True,273,61336217,47093,4829,1
129408,True,292,63498076,61934,4831,1
130077,True,3593,305300268,26602,13729,1
130198,True,2948,274749753,37311,610,1
130553,True,3119,281593616,56283,585,1
130582,True,3120,281649899,53649,587,1
130637,True,3121,281703548,51453,589,1
130659,True,3122,281755001,52823,591,1
130681,True,3123,281807824,50917,593,1
130702,True,3130,281918445,53493,595,1
130750,True,3131,281971938,54323,597,1
130801,True,3132,282026261,53571,599,1
130850,True,3133,282079832,52397,601,1
130867,True,3134,282132229,44257,603,1
131116,True,265,60324202,95784,583,1
131221,True,2949,274787064,49471,612,1
131242,True,2950,274836535,50157,614,1
131263,True,2951,274886692,16525,616,1
131380,True,275,61419418,28862,623,1
131436,True,276,61448280,58743,625,1
131463,True,203,55462330,70508,627,1
131495,True,204,55532838,58501,630,1
131525,True,205,55591339,68799,632,1
131556,True,206,55660138,60150,639,1
131586,True,207,55720288,67894,640,1
131623,True,277,61507023,126874,648,1
131653,True,278,61633897,130994,652,1
131670,True,279,61764891,39023,654,1
131688,True,280,61803914,66927,656,1
131705,True,267,60514961,94817,644,1
131729,True,268,60609778,123785,659,1
131834,True,3064,279486992,61470,661,1
131879,True,3065,279548462,61470,662,1
131895,True,3066,279609932,61468,664,1
131911,True,3067,279671400,61470,666,1
131929,True,3068,279732870,61470,674,1
131945,True,3069,279794340,61470,679,1
131960,True,3085,280856174,40929,709,1
131979,True,3086,280897103,41127,710,1
131995,True,3087,280938230,47849,725,1
132012,True,3088,280986079,34193,727,1
132148,True,286,62702610,11677,909,1
132168,True,283,62333149,59547,1080,1
132199,True,208,55788182,69003,1112,1
132228,True,209,55857185,57375,1800,1
132255,True,287,62714287,77492,2438,1
132275,True,284,62392696,140961,4835,1
132428,True,285,62533657,168953,4839,1
132518,True,298,63741309,41734,4841,1
132551,True,261,59551081,246761,4843,1
132593,True,271,60956318,198712,4845,1
132642,True,272,61155030,181187,4847,1
132683,True,274,61383310,36108,4849,1
132721,True,289,63088923,210467,618,1
132755,True,290,63299390,36722,4851,1
132780,True,1095,165030046,149048,4853,1
132870,True,472,75958757,59367,4855,1
132890,True,474,76049338,35805,4857,1
132910,True,476,76196769,111881,4859,1
132936,True,477,76308650,57304,4861,1
132995,True,478,76365954,41206,4863,1
133020,True,479,76407160,14446,4865,1
133047,True,192,45301216,11723,4867,1
133072,True,305,67104821,19869,4869,1
133101,True,306,67124690,17289,4871,1
133127,True,307,67141979,26106,4873,1
133148,True,308,67168085,28570,4875,1
133172,True,481,76455925,31323,4877,1
133221,True,262,59797842,234091,4880,1
133267,True,291,63336112,161964,4882,1
134162,True,259,59539875,5687,4912;10318,2
134204,True,260,59545562,5519,4914;4995,2
134423,True,362,72455401,9771,4924,1
135016,True,199,45403815,3840,4643,1
135094,True,354,72387833,10522,4951,1
135152,True,355,72398355,10522,4970,1
135235,True,356,72408877,10522,4966,1
135247,True,357,72419399,10522,4974,1
135250,True,358,72429921,6370,4975,1
135359,True,359,72436291,6370,4976,1
135363,True,361,72449031,6370,4978,1
135391,True,294,63612515,46383,4972,1
135520,True,360,72442661,6370,4977,1
135545,True,363,72465172,9771,4980,1
135778,True,281,61870841,457494,4983,1
136048,True,269,60733563,112030,609,1
136182,True,323,67537763,13852,11868,1
136191,True,325,67576990,15269,11870,1
136423,True,263,60031933,239174,4994,1
136983,True,3544,297831445,121721,13732,1
136991,True,372,72616462,41115,4898,1
137017,True,370,72553006,47011,4998,1
137043,True,373,72657577,48836,5003,1
137071,True,377,72737387,46998,5006,1
137178,True,378,72784385,47024,4996,1
137240,True,3529,295496056,135677,13730,1
137260,True,3538,296590187,105812,13733,1
137275,True,3703,317715055,5026,5023,1
137286,True,3696,317665555,4572,12001,1
137296,True,3718,317982496,4986,5026,1
137304,True,3578,303363001,105197,13731,1
137734,True,3532,295792196,147159,13734,1
137751,True,3542,297256763,310442,13736,1
137767,True,3530,295631733,52813,13710,1
139058,True,3536,296289717,103349,13735,1
141388,True,466,75754217,16778,5091,1
141921,True,735,111409954,182301,5114,1
141998,True,745,112688885,262732,5115,1
142101,True,756,113204697,55337,5119,1
142147,True,739,111976157,95648,5116,1
142168,True,742,112263747,142156,5118,1
142195,True,748,112970643,34958,5120,1
142219,True,751,113089744,9400,5121,1
142232,True,752,113099144,14269,5122,1
142246,True,753,113113413,56369,5123,1
142475,True,746,112951617,2308,5127,1
142480,True,747,112953925,16718,5126,1
142508,True,761,113519126,61910,5129,1
142536,True,282,62328335,4814,5131,1
142575,True,460,75416717,128765,5134,1
142839,True,297,63717539,23770,5136,1
