b_value,hit,volumes_entry_index,volumes_offset,packed_size,template_ids,template_count
166422,True,1615,3634672,76,1096,1
166724,True,1508,3612104,40,1423,1
166742,True,1509,3612144,76,1425,1
166759,True,1510,3612220,112,1487,1
166775,True,1511,3612332,112,1489,1
166791,True,1512,3612444,40,1512,1
166807,True,1513,3612484,40,1652,1
166824,True,1514,3612524,40,1654,1
166879,True,1515,3612564,76,1660,1
166898,True,1516,3612640,40,2340,1
168083,True,642,1715122,760,4341,1
168134,True,643,1715882,256,4412,1
168158,True,644,1716138,220,4414,1
168196,True,1185,3284258,40,4418,1
168212,True,1190,3284458,148,4420,1
168228,True,1197,3285350,40,4422,1
168245,True,1147,3280758,256,4424,1
168392,True,670,1804202,760,4538,1
168408,True,1199,3285430,112,4717,1
169212,True,1141,3280446,112,5611,1
169331,True,1142,3280558,40,5615,1
169348,True,1143,3280598,40,5617,1
169362,True,1144,3280638,40,5619,1
169382,True,1145,3280678,40,5621,1
169397,True,1146,3280718,40,5623,1
169848,True,1375,3334150,976,5648,1
171902,True,1849,3693736,76,5755,1
172446,True,1263,3307064,112,10324,1
173246,True,267,1043372,76,5763,1
173289,True,258,1037360,1048,5767,1
173467,True,303,1053128,796,5768,1
173911,True,280,1044180,40,5781,1
173974,True,283,1044444,40,5784,1
173979,True,277,1043916,40,5785,1
174384,True,306,1056956,1048,5757,1
178209,True,1271,3307564,40,8938,1
179709,True,307,1058004,868,1633,1
179982,True,1277,3307840,76,10329,1
180322,True,297,1045292,76,1640,1
180749,True,901,2670222,148,1650,1
181923,True,1517,3612680,76,1711,1
181937,True,1518,3612756,76,2031,1
182030,True,1519,3612832,112,2102,1
182049,True,1520,3612944,76,2104,1
182082,True,1521,3613020,76,2106,1
182101,True,1522,3613096,112,2109,1
182276,True,1376,3335126,7672,2394,1
182328,True,1466,3607400,76,2397,1
182352,True,1467,3607476,76,2399,1
182370,True,1468,3607552,76,2407,1
183294,True,1227,3302708,40,2663,1
183329,True,1228,3302748,148,2665,1
183360,True,1229,3302896,40,2667,1
183386,True,1231,3302976,40,2669,1
183412,True,1232,3303016,76,2671,1
183541,True,1825,3667840,148,2674,1
183921,True,1826,3667988,112,2692,1
184016,True,1469,3607628,40,2696,1
185023,True,285,1044632,148,3218,1
185161,True,291,1044980,40,3230,1
185165,True,292,1045020,40,3232,1
185169,True,293,1045060,40,3231,1
185224,True,294,1045100,40,3233,1
186175,True,1568,3622784,76,935,1
186449,True,1813,3665668,76,3250,1
186796,True,1354,3332194,40,409,1
188364,True,726,1875130,436,512,1
188625,True,724,1874942,112,793,1
188655,True,1855,3694048,220,836,1
188683,True,725,1875054,76,929,1
189958,True,1470,3607668,40,1670,1
189963,True,1471,3607708,40,1797,1
189967,True,1472,3607748,40,1885,1
190013,True,1473,3607788,40,1935,1
190018,True,1474,3607828,40,1941,1
190167,True,1688,3647384,76,2449,1
190172,True,1689,3647460,76,2957,1
190176,True,1690,3647536,76,3031,1
190222,True,1819,3666952,40,3252,1
190226,True,1820,3666992,40,3253,1
190230,True,1821,3667032,40,3262,1
190278,True,1418,3383126,184,3270,1
190283,True,1419,3383310,148,3271,1
190288,True,1420,3383458,148,3273,1
190293,True,1421,3383606,112,3274,1
190298,True,1422,3383718,40,3275,1
190303,True,1423,3383758,76,3276,1
190308,True,1424,3383834,40,3279,1
190411,True,1429,3385474,76,3285,1
190416,True,1430,3385550,76,3286,1
190421,True,1431,3385626,112,3287,1
190426,True,1432,3385738,76,3289,1
190431,True,1433,3385814,40,3290,1
190607,True,1180,3283806,112,3300,1
190635,True,1484,3609344,40,2893,1
190639,True,1485,3609384,40,2895,1
190646,True,1459,3607120,40,3908,1
190649,True,1461,3607200,40,3909,1
190666,True,1487,3609752,40,3938,1
190669,True,1489,3609832,40,3939,1
190672,True,1490,3609872,40,3940,1
190677,True,1181,3283918,112,3302,1
190758,True,1179,3283694,112,3304,1
190763,True,1491,3609912,40,3941,1
190784,True,1492,3609952,40,3942,1
190791,True,1681,3644368,436,2001,1
190796,True,1682,3644804,436,1966,1
190801,True,1683,3645240,436,2002,1
190808,True,1137,3280214,112,3306,1
190827,True,1138,3280326,40,3308,1
190855,True,1139,3280366,40,3310,1
190863,True,1140,3280406,40,3312,1
190881,True,630,1699666,1336,3314,1
190939,True,1632,3639204,40,1126,1
190945,True,1633,3639244,40,1130,1
190948,True,1634,3639284,40,1132,1
190954,True,1709,3648548,40,1501,1
191164,True,1710,3648588,40,1502,1
191167,True,1711,3648628,40,1503,1
191170,True,1738,3651472,40,1173,1
191175,True,1739,3651512,40,1182,1
191178,True,1798,3664924,40,1481,1
191183,True,1799,3664964,40,1497,1
191418,True,195,975512,76,3323,1
191439,True,687,1827850,3388,3325,1
191463,True,634,1702454,40,3327,1
191509,True,1184,3284218,40,3331,1
191535,True,665,1802130,220,3333,1
191558,True,650,1756458,40,3335,1
191624,True,652,1756538,40,3339,1
191645,True,649,1756418,40,3341,1
191704,True,654,1756618,40,3351,1
192003,True,376,1381306,364,338,1
192060,True,380,1382330,364,352,1
192080,True,377,1381670,184,955,1
192102,True,381,1382694,184,1245,1
192236,True,640,1713278,256,1485,1
192320,True,373,1380538,292,1693,1
192343,True,378,1381854,40,1707,1
192554,True,1198,3285390,40,1728,1
192597,True,379,1381894,436,1773,1
192619,True,374,1380830,400,1710,1
192859,True,1301,3313192,256,2634,1
192883,True,1302,3313448,256,2635,1
192892,True,1303,3313704,400,2636,1
192901,True,1304,3314104,400,2637,1
192910,True,1305,3314504,184,2638,1
192918,True,1307,3314872,184,2639,1
192925,True,1308,3315056,184,2640,1
192930,True,1309,3315240,220,2641,1
193051,True,1306,3314688,184,2643,1
193079,True,1162,3282474,112,2273,1
193135,True,1106,3276994,40,2645,1
193169,True,1149,3281054,112,2647,1
193287,True,1168,3282966,76,2206,1
193328,True,375,1381230,76,2041,1
193379,True,1148,3281014,40,2271,1
193392,True,1166,3282850,76,3007,1
193596,True,1172,3283270,76,3052,1
193838,True,1483,3609304,40,2891,1
194014,True,1123,3277782,40,3366,1
194533,True,1507,3612064,40,1337,1
194785,True,1186,3284298,40,1519,1
194801,True,1187,3284338,40,1559,1
194805,True,1188,3284378,40,1788,1
194809,True,1189,3284418,40,1790,1
194813,True,1191,3284606,148,3136,1
194816,True,1192,3284754,148,3317,1
194819,True,1193,3284902,148,3318,1
194822,True,1194,3285050,148,3370,1
197704,True,1164,3282626,112,3383,1
197726,True,1160,3282250,112,3385,1
198482,True,1336,3325032,364,3391,1
198529,True,1337,3325396,760,3392,1
198536,True,1338,3326156,508,3393,1
202234,True,727,1875566,40,3400,1
203281,True,1315,3316560,184,3427,1
203290,True,1316,3316744,148,3428,1
203318,True,1317,3316892,184,3429,1
203330,True,1321,3318420,220,3430,1
203342,True,1322,3318640,184,3431,1
203352,True,1323,3318824,220,3432,1
203362,True,1324,3319044,580,3433,1
206198,True,1333,3321204,1300,3404,1
206205,True,1334,3322504,1156,3410,1
206209,True,1335,3323660,1372,3412,1
208053,True,1325,3319624,220,3631,1
208062,True,1326,3319844,220,3633,1
208071,True,1327,3320064,220,3634,1
209437,True,570,1614686,1732,3650,1
209929,True,659,1759302,904,3662,1
209970,True,660,1760206,904,3664,1
210005,True,661,1761110,904,3666,1
210207,True,1661,3641120,76,3700,1
210233,True,1662,3641196,76,3728,1
212125,True,257,1036168,1192,3440,1
215029,True,160,943244,40,4031,1
215060,True,161,943284,40,4033,1
215083,True,162,943324,40,4035,1
216668,True,1249,3305172,508,4042,1
217351,True,1125,3278834,40,8758;8759,2
218585,True,641,1713534,1588,4054,1
218758,True,608,1672904,652,4057,1
219543,True,165,961964,40,4151,1
219565,True,166,962004,40,4153,1
219590,True,167,962044,40,4155,1
221468,True,1534,3617068,148,4620,1
221501,True,1533,3616812,256,1859,1
221525,True,1535,3617216,112,4625,1
221530,True,1536,3617328,148,4626,1
221535,True,1537,3617476,112,4627,1
221541,True,1538,3617588,112,4628,1
222146,True,1312,3315612,40,4368,1
222155,True,1314,3316520,40,4366,1
223625,True,1829,3692324,256,4650,1
223670,True,1830,3692580,256,4654,1
224275,True,1288,3310476,292,4927,1
224305,True,1289,3310768,292,4928,1
224313,True,1290,3311060,292,4929,1
224321,True,1291,3311352,292,4930,1
224513,True,1313,3315652,868,4933,1
226926,True,1332,3320912,292,3559,1
227239,True,1295,3311764,40,4941,1
227335,True,1296,3311804,40,4944,1
227427,True,1294,3311724,40,4939,1
227812,True,1292,3311644,40,4947,1
227822,True,1293,3311684,40,4949,1
238040,True,1265,3307288,40,10326,1
238530,True,1215,3301760,40,9176,1
240773,True,1107,3277034,40,5874,1
246471,True,1219,3301920,40,9079,1
254579,True,1579,3626140,220,3652,1
255897,True,255,1034900,184,6131,1
265896,True,1268,3307408,76,15439,1
272096,True,159,943204,40,543,1
273046,True,153,942964,40,564,1
273088,True,154,943004,40,567,1
275365,True,226,1016640,796,330,1
275421,True,247,1030260,760,437,1
275546,True,249,1031528,472,444,1
275610,True,222,1013312,472,448,1
276371,True,645,1716358,580,496,1
276584,True,610,1674712,1156,550,1
277329,True,316,1063224,1408,1143,1
277452,True,318,1066076,400,1382,1
277500,True,320,1066912,1336,1386,1
277738,True,589,1626426,148,1391,1
277812,True,571,1616418,1732,1396,1
278166,True,1132,3279510,40,1846,1
278454,True,207,992768,652,2249,1
278535,True,211,996240,1228,2360,1
280544,True,1161,3282362,112,3140,1
280747,True,1165,3282738,112,3277,1
281105,True,1150,3281166,112,3348,1
282589,True,612,1676556,652,1230,1
282822,True,1660,3641044,76,3579,1
283120,True,1171,3283158,112,3583,1
283155,True,651,1756498,40,1299,1
283490,True,1272,3307604,40,10322,1
284181,True,220,1012440,400,3597,1
284443,True,1174,3283422,112,3617,1
284449,True,1175,3283534,40,3618,1
284457,True,1176,3283574,40,3619,1
284469,True,1177,3283614,40,3620,1
285843,True,607,1671136,1768,2440,1
285938,True,1128,3279170,184,2918,1
286528,True,1151,3281278,112,3739,1
287476,True,1105,3276738,256,3767,1
288532,True,1170,3283118,40,3795,1
289284,True,1178,3283654,40,3798,1
291492,True,1698,3647964,40,4199,1
291497,True,1699,3648004,40,4200,1
291601,True,1639,3639916,76,4262,1
291609,True,1640,3639992,76,4263,1
291668,True,1700,3648044,40,4266,1
291673,True,1701,3648084,40,4267,1
291726,True,1780,3660316,40,4319,1
291734,True,1781,3660356,40,4320,1
291738,True,1782,3660396,40,4321,1
291786,True,1719,3649416,112,4328,1
291791,True,1720,3649528,112,4329,1
295806,True,1809,3665508,40,4389,1
295875,True,1630,3639124,40,4463,1
295880,True,1631,3639164,40,4464,1
296009,True,1808,3665324,184,4469,1
296289,True,1493,3609992,40,4504,1
296298,True,1494,3610032,40,4505,1
296446,True,208,993420,760,4508,1
297171,True,286,1044780,40,4908,1
300298,True,256,1035084,1084,6221,1
300342,True,263,1040296,760,6220,1
301159,True,1159,3282138,112,6231,1
301631,True,1810,3665548,40,4391,1
302910,True,963,2967210,904,6273,1
305938,True,1152,3281390,112,6321,1
305942,True,1153,3281502,112,6322,1
305944,True,1154,3281614,112,6323,1
305946,True,1155,3281726,76,6324,1
