name,size,sha256,version,parse_status,num_blocks,num_meshes,total_vertices,total_triangles,max_uv_sets,skinned_meshes,max_bones,num_materials,materials,num_textures,textures,keyframe_controllers,num_text_keys,text_keys,ark_anim_variant,num_lights,particle_systems,texture_effects,morph_blocks,cameras,block_histogram
505058.nif,289895,e22596196b1cc81252946663701a030e74b5a971c68f7db76fe7dbf3acb9225f,10.1.0.0,PASS,21,2,7501,4358,2,0,0,2,14 - Default;dome blue glass,3,Nameless0_ENVIRONMENT;Object05_0_BASE;Sphere01_0_GLOSS,0,0,,V10_BASE_0B,0,0,1,0,0,"{""NiNode"":4,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":1,""NiTexturingProperty"":2,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":2,""NiZBufferProperty"":1,""NiVertexColorProperty"":2,""NiTriShape"":2,""NiTriShapeData"":2,""NiAlphaProperty"":1}"
505074.nif,368691,4ba6496dab20efe4e60cdac27012d92dfc6ec7a077fc2f205aad318aabf12224,10.1.0.0,PASS,205,38,8376,7365,2,0,0,28,02 - Default;Material #4;Material #3;Material #3;Material #11;blue glass;Material #26;Material #26;Material #4;19 - Default;Material #11;blue glass;Material #26;Material #26;Material #4;19 - Default;Material #11;blue glass;Material #26;Material #26,74,Box01_0_BASE;Box01_0_GLOSS;Box01_16_BASE;Box01_16_GLOSS;Box02_0_BASE;Box02_0_GLOSS;Box02_16_BASE;Box02_16_GLOSS;Box03_0_BASE;Box03_0_GLOSS;Box03_16_BASE;Box03_16_GLOSS;Box04_0_BASE;Box04_0_GLOSS;Box04_16_BASE;Box04_16_GLOSS;Nameless0_ENVIRONMENT;Nameless1011_ENVIRONMENT;Nameless1112_ENVIRONMENT;Nameless1213_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;Nameless67_ENVIRONMENT;Nameless78_ENVIRONMENT;Nameless89_ENVIRONMENT;Nameless910_ENVIRONMENT;corridor_left_10_GLOSS;corridor_left_13_BASE;corridor_left_13_GLOSS;corridor_left_14_BASE;corridor_left_14_GLOSS;corridor_left_14_GLOW;corridor_left_2_BASE;corridor_left_2_GLOSS;corridor_left_6_BASE;corridor_left_6_GLOSS;corridor_left_9_BASE;corridor_left_9_GLOSS;corridor_right_10_GLOSS;corridor_right_13_BASE;corridor_right_13_GLOSS;corridor_right_14_BASE;corridor_right_14_GLOSS;corridor_right_14_GLOW;corridor_right_2_BASE;corridor_right_2_GLOSS;corridor_right_6_BASE;corridor_right_6_GLOSS;corridor_right_9_BASE;corridor_right_9_GLOSS;hallway_0_BASE;hallway_0_GLOSS;hallway_10_GLOSS;hallway_13_BASE;hallway_13_GLOSS;hallway_14_BASE;hallway_14_GLOSS;hallway_14_GLOW;hallway_16_BASE;hallway_16_GLOSS;hallway_17_BASE;hallway_17_GLOSS;hallway_2_BASE;hallway_2_GLOSS;hallway_4_BASE;hallway_4_GLOSS;hallway_4_GLOW;hallway_6_BASE;hallway_6_GLOSS;hallway_9_BASE;hallway_9_GLOSS,0,0,,V10_BASE_0B,3,0,13,0,0,"{""NiNode"":27,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":30,""NiTextureEffect"":13,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":28,""NiZBufferProperty"":1,""NiVertexColorProperty"":23,""NiTriShape"":38,""NiTriShapeData"":38,""NiPointLight"":3}"
504936.nif,624132,0c9021c80f57f9e3b5340804ad5c59655a9cafb4bdbcd1b0df11689334a3e87b,10.1.0.0,PASS,267,57,11204,8261,3,0,0,42,11 - Default;red glass;red glass alf;red glass;red glass alf;Material #3;Material #4;Material #3;Material #3;Material #3;Material #3;Material #3;Material #10;Material #11;blue glass;Material #24;Material #25;Material #26;Material #26;Material #26,80,Box01_0_BASE;Box02_0_BASE;Box02_0_GLOW;Box03_0_BASE;Box03_0_GLOW;Box04_0_BASE;Box05_0_BASE;Box05_0_GLOW;Box06_0_BASE;Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;blue_glass_0_GLOSS;glass_balcony_0_GLOSS;glass_floor_0_GLOSS;glass_out_0_GLOSS;green_effect02_0_BASE;green_effect03_0_BASE;green_effect_02_BASE;green_effect_0_BASE;main_0_BASE;main_0_DARK;main_0_GLOSS;main_10_GLOSS;main_11_BASE;main_11_DARK;main_11_GLOSS;main_12_BASE;main_12_DARK;main_12_GLOSS;main_13_BASE;main_13_DARK;main_13_GLOSS;main_14_BASE;main_14_DARK;main_14_GLOSS;main_14_GLOW;main_15_BASE;main_15_GLOSS;main_16_BASE;main_16_DARK;main_16_GLOSS;main_17_BASE;main_17_DARK;main_17_GLOSS;main_18_BASE;main_18_GLOSS;main_19_BASE;main_19_GLOW;main_1_BASE;main_1_DARK;main_1_GLOSS;main_2_BASE;main_2_DARK;main_2_GLOSS;main_3_BASE;main_3_DARK;main_3_GLOSS;main_4_BASE;main_4_DARK;main_4_GLOSS;main_4_GLOW;main_5_BASE;main_5_DARK;main_5_GLOSS;main_6_BASE;main_6_DARK;main_6_GLOSS;main_7_BASE;main_7_DARK;main_7_GLOSS;main_8_BASE;main_8_DARK;main_8_GLOSS;main_9_BASE;main_9_DARK;main_9_GLOSS,0,0,,G3C,0,0,6,0,0,"{""NiNode"":41,""NiArkAnimationExtraData"":1,""NiStringExtraData"":1,""NiTriShape"":57,""NiTriShapeData"":57,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":34,""NiTextureEffect"":6,""NiTextureTransformController"":8,""NiFloatData"":8,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":42,""NiZBufferProperty"":1,""NiAlphaProperty"":8}"
505062.nif,1236,bd79d2d85c1c8c6c209c970b426b2810ef5b677dcd2c47c8eb7068aac0ae62ce,10.1.0.0,PASS,12,1,4,2,1,0,0,1,15 - Default,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
508623.nif,1225,a721919e94f139cad9f9a20624bfd8fbd88bbce7f2471930f99b127163ccca5f,10.1.0.0,PASS,12,1,4,2,1,0,0,1,B,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
508626.nif,1225,cd027bcc63da6ec9e45f5c53c60c08108938147062fdcb64aaae88f29a5d89e3,10.1.0.0,PASS,12,1,4,2,1,0,0,1,B,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
508629.nif,1225,c5689e8ac927af88ad264056a736f3f7aebd888fa272967f9fa0cd1833462469,10.1.0.0,PASS,12,1,4,2,1,0,0,1,B,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
508632.nif,1225,1e36eb1281e6ff421e019b7eec154f6b1f3de0559205383852b91782b1cb99a7,10.1.0.0,PASS,12,1,4,2,1,0,0,1,B,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
508635.nif,1225,a5115adf7119b934af9668dc2eef7ff33b15ac97f42849db16fe528392d20a4a,10.1.0.0,PASS,12,1,4,2,1,0,0,1,B,1,BLOCK_A_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1,""NiTriShape"":1,""NiAlphaProperty"":1,""NiTriShapeData"":1}"
505072.nif,1705,678aa936ed2d21ece7b7dfd82122dc011cea9827301c61a6077fe8b5fb5c96cd,10.1.0.0,PASS,12,1,16,12,1,0,0,2,sign2,1,Box01_0_BASE,0,0,,V10_BASE_0B,0,0,0,0,0,"{""NiNode"":2,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":2,""NiZBufferProperty"":1,""NiTriShape"":1,""NiTriShapeData"":1}"
505066.nif,188708,21ff9e69b742ef348dbce29f0bff40718e1de3a21b105f79b42b53bb44eb1d0b,10.1.0.0,PASS,18,2,4374,6174,1,0,0,2,07 - Default;07 - Default,4,Cylinder04_0_GLOSS;Cylinder04_1_BASE;Cylinder04_1_GLOSS;Nameless0_ENVIRONMENT,0,0,,V10_BASE_0B,0,0,1,0,0,"{""NiNode"":3,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":2,""NiTextureEffect"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":2,""NiZBufferProperty"":1,""NiTriShape"":2,""NiTriShapeData"":2,""NiAlphaProperty"":1}"
508654.nif,189865,9eb606ce5dacbd8a49d7758341d3e2e674726f63c13d1c32204bb2aefd832a5e,10.1.0.0,PASS,22,3,4398,6186,1,0,0,3,07 - Default;07 - Default,4,Cylinder04_0_GLOSS;Cylinder04_1_BASE;Cylinder04_1_GLOSS;Nameless0_ENVIRONMENT,0,0,,V10_BASE_0B,0,0,1,0,0,"{""NiNode"":4,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":2,""NiTextureEffect"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":3,""NiZBufferProperty"":1,""NiTriShape"":3,""NiTriShapeData"":3,""NiAlphaProperty"":1}"
