nif,texturing_property_block,flip_controller_block,kind
543494.nif,139,140,NITEXPROP_CONTROLLER
543494.nif,159,160,NITEXPROP_CONTROLLER
543494.nif,181,182,NITEXPROP_CONTROLLER
545266.nif,23,24,NITEXPROP_CONTROLLER
546120.nif,23,24,NITEXPROP_CONTROLLER
549118.nif,30,31,NITEXPROP_CONTROLLER
554178.nif,16,17,NITEXPROP_CONTROLLER
554178.nif,18,19,NITEXPROP_CONTROLLER
554178.nif,20,21,NITEXPROP_CONTROLLER
554178.nif,22,23,NITEXPROP_CONTROLLER
565167.nif,21,22,NITEXPROP_CONTROLLER
581707.nif,10,11,NITEXPROP_CONTROLLER
591185.nif,12,13,NITEXPROP_CONTROLLER
72465.nif,6,5,NITEXPROP_CONTROLLER
