nif,version,grammar,block_index,entry_idx,name,slot,f1,f2,ref,anim_flag,frame_index,bnt2_id,resolved
505775.nif,10.1.0.0,v10,3,23,Room_13_BASE,BASE,0,-1,20,0,4294967295,504965,1
505775.nif,10.1.0.0,v10,3,24,Room_13_GLOSS,GLOSS,3,-1,20,0,4294967295,353638,1
505775.nif,10.1.0.0,v10,3,25,Room_17_BASE,BASE,0,-1,21,0,4294967295,492932,1
505775.nif,10.1.0.0,v10,3,26,Room_17_GLOSS,GLOSS,3,-1,21,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,27,Room_18_BASE,BASE,0,-1,22,0,4294967295,42389,1
505775.nif,10.1.0.0,v10,3,28,Room_18_GLOSS,GLOSS,3,-1,22,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,29,Room_19_BASE,BASE,0,-1,23,0,4294967295,42298,1
505775.nif,10.1.0.0,v10,3,30,Room_19_GLOSS,GLOSS,3,-1,23,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,31,Room_19_GLOW,GLOW,4,-1,23,0,4294967295,42300,1
505775.nif,10.1.0.0,v10,3,32,Room_1_BASE,BASE,0,-1,24,0,4294967295,504982,1
505775.nif,10.1.0.0,v10,3,33,Room_1_GLOSS,GLOSS,3,-1,24,0,4294967295,29597,1
505775.nif,10.1.0.0,v10,3,34,Room_20_BASE,BASE,0,-1,25,0,4294967295,499466,1
505775.nif,10.1.0.0,v10,3,35,Room_20_GLOSS,GLOSS,3,-1,25,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,36,Room_20_GLOW,GLOW,4,-1,25,0,4294967295,499469,1
505775.nif,10.1.0.0,v10,3,37,Room_4_BASE,BASE,0,-1,26,0,4294967295,504990,1
505775.nif,10.1.0.0,v10,3,38,Room_4_GLOSS,GLOSS,3,-1,26,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,39,Room_4_GLOW,GLOW,4,-1,26,0,4294967295,504993,1
505775.nif,10.1.0.0,v10,3,40,Room_7_BASE,BASE,0,-1,27,0,4294967295,189553,1
505775.nif,10.1.0.0,v10,3,41,Room_7_GLOSS,GLOSS,3,-1,27,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,42,Room_9_BASE,BASE,0,-1,28,0,4294967295,504734,1
505775.nif,10.1.0.0,v10,3,43,Room_9_GLOSS,GLOSS,3,-1,28,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,44,glassfloor2_0_GLOSS,GLOSS,3,-1,29,0,4294967295,29610,1
505775.nif,10.1.0.0,v10,3,45,glassfloor_0_GLOSS,GLOSS,3,-1,30,0,4294967295,29610,1
505775.nif,10.1.0.0,v10,3,46,windows_0_GLOSS,GLOSS,3,-1,31,0,4294967295,29610,1
505813.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,180013,1
505813.nif,10.1.0.0,v10,3,1,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
505813.nif,10.1.0.0,v10,3,2,Room_0_BASE,BASE,0,-1,6,0,4294967295,504957,1
505813.nif,10.1.0.0,v10,3,3,Room_0_GLOSS,GLOSS,3,-1,6,0,4294967295,31592,1
505813.nif,10.1.0.0,v10,3,4,Room_11_BASE,BASE,0,-1,7,0,4294967295,353627,1
505813.nif,10.1.0.0,v10,3,5,Room_11_GLOSS,GLOSS,3,-1,7,0,4294967295,491950,1
505813.nif,10.1.0.0,v10,3,6,Room_1_BASE,BASE,0,-1,8,0,4294967295,504982,1
505813.nif,10.1.0.0,v10,3,7,Room_1_GLOSS,GLOSS,3,-1,8,0,4294967295,29597,1
505813.nif,10.1.0.0,v10,3,8,Room_3_BASE,BASE,0,-1,9,0,4294967295,504987,1
505813.nif,10.1.0.0,v10,3,9,Room_3_GLOSS,GLOSS,3,-1,9,0,4294967295,491950,1
505813.nif,10.1.0.0,v10,3,10,Room_3_GLOW,GLOW,4,-1,9,0,4294967295,505635,1
505813.nif,10.1.0.0,v10,3,11,Room_4_BASE,BASE,0,-1,10,0,4294967295,504990,1
505813.nif,10.1.0.0,v10,3,12,Room_4_GLOSS,GLOSS,3,-1,10,0,4294967295,491950,1
505813.nif,10.1.0.0,v10,3,13,Room_4_GLOW,GLOW,4,-1,10,0,4294967295,504993,1
505813.nif,10.1.0.0,v10,3,14,Room_5_BASE,BASE,0,-1,11,0,4294967295,504995,1
505813.nif,10.1.0.0,v10,3,15,Room_5_GLOSS,GLOSS,3,-1,11,0,4294967295,491950,1
505813.nif,10.1.0.0,v10,3,16,Room_7_BASE,BASE,0,-1,12,0,4294967295,189553,1
505813.nif,10.1.0.0,v10,3,17,Room_7_GLOSS,GLOSS,3,-1,12,0,4294967295,491950,1
508854.nif,10.1.0.0,v10,15,0,Geo_Sharjtoperatordisplay_0_BASE,BASE,0,-1,10,0,4294967295,508856,1
508854.nif,10.1.0.0,v10,15,1,Geo_Sharjtoperatordisplay_0_GLOW,GLOW,4,-1,10,0,4294967295,508858,1
508854.nif,10.1.0.0,v10,15,2,Geo_keyboard_0_BASE,BASE,0,-1,6,0,4294967295,508856,1
508854.nif,10.1.0.0,v10,15,3,Geo_keyboard_0_GLOW,GLOW,4,-1,6,0,4294967295,508858,1
508947.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,180013,1
508947.nif,10.1.0.0,v10,3,1,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
508947.nif,10.1.0.0,v10,3,2,boutique_0_BASE,BASE,0,-1,6,0,4294967295,504957,1
508947.nif,10.1.0.0,v10,3,3,boutique_0_GLOSS,GLOSS,3,-1,6,0,4294967295,31592,1
508947.nif,10.1.0.0,v10,3,4,boutique_2_BASE,BASE,0,-1,7,0,4294967295,505231,1
508947.nif,10.1.0.0,v10,3,5,boutique_2_GLOSS,GLOSS,3,-1,7,0,4294967295,491950,1
508947.nif,10.1.0.0,v10,3,6,boutique_3_BASE,BASE,0,-1,8,0,4294967295,492911,1
508947.nif,10.1.0.0,v10,3,7,boutique_3_GLOSS,GLOSS,3,-1,8,0,4294967295,353638,1
505007.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,180013,1
505007.nif,10.1.0.0,v10,3,1,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
505007.nif,10.1.0.0,v10,3,2,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,6,0,4294967295,504732,1
505007.nif,10.1.0.0,v10,3,3,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,7,0,4294967295,504732,1
505007.nif,10.1.0.0,v10,3,4,Nameless45_ENVIRONMENT,ENVIRONMENT,9,0,8,0,4294967295,180013,1
505007.nif,10.1.0.0,v10,3,5,Nameless56_ENVIRONMENT,ENVIRONMENT,9,0,9,0,4294967295,180013,1
505007.nif,10.1.0.0,v10,3,6,boutiques_left_0_BASE,BASE,0,-1,10,0,4294967295,506538,1
505007.nif,10.1.0.0,v10,3,7,boutiques_left_0_GLOSS,GLOSS,3,-1,10,0,4294967295,29597,1
505007.nif,10.1.0.0,v10,3,8,boutiques_left_0_GLOW,GLOW,4,-1,10,0,4294967295,506539,1
505007.nif,10.1.0.0,v10,3,9,boutiques_left_10_GLOSS,GLOSS,3,-1,11,0,4294967295,29749,1
505007.nif,10.1.0.0,v10,3,10,boutiques_left_13_BASE,BASE,0,-1,12,0,4294967295,504965,1
505007.nif,10.1.0.0,v10,3,11,boutiques_left_13_GLOSS,GLOSS,3,-1,12,0,4294967295,353638,1
505007.nif,10.1.0.0,v10,3,12,boutiques_left_14_BASE,BASE,0,-1,13,0,4294967295,504968,1
505007.nif,10.1.0.0,v10,3,13,boutiques_left_14_GLOSS,GLOSS,3,-1,13,0,4294967295,504970,1
505007.nif,10.1.0.0,v10,3,14,boutiques_left_14_GLOW,GLOW,4,-1,13,0,4294967295,504972,1
505007.nif,10.1.0.0,v10,3,15,boutiques_left_16_BASE,BASE,0,-1,14,0,4294967295,492911,1
505007.nif,10.1.0.0,v10,3,16,boutiques_left_16_DARK,DARK,1,-1,14,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,17,boutiques_left_16_GLOSS,GLOSS,3,-1,14,0,4294967295,29597,1
505007.nif,10.1.0.0,v10,3,18,boutiques_left_17_BASE,BASE,0,-1,15,0,4294967295,505241,1
505007.nif,10.1.0.0,v10,3,19,boutiques_left_17_DARK,DARK,1,-1,15,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,20,boutiques_left_17_GLOSS,GLOSS,3,-1,15,0,4294967295,491950,1
505007.nif,10.1.0.0,v10,3,21,boutiques_left_1_BASE,BASE,0,-1,16,0,4294967295,504982,1
505007.nif,10.1.0.0,v10,3,22,boutiques_left_1_DARK,DARK,1,-1,16,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,23,boutiques_left_1_GLOSS,GLOSS,3,-1,16,0,4294967295,29597,1
505007.nif,10.1.0.0,v10,3,24,boutiques_left_20_BASE,BASE,0,-1,17,0,4294967295,511100,1
505007.nif,10.1.0.0,v10,3,25,boutiques_left_20_DARK,DARK,1,-1,17,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,26,boutiques_left_20_GLOSS,GLOSS,3,-1,17,0,4294967295,491950,1
505007.nif,10.1.0.0,v10,3,27,boutiques_left_2_BASE,BASE,0,-1,18,0,4294967295,504982,1
505007.nif,10.1.0.0,v10,3,28,boutiques_left_2_DARK,DARK,1,-1,18,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,29,boutiques_left_2_GLOSS,GLOSS,3,-1,18,0,4294967295,353638,1
505007.nif,10.1.0.0,v10,3,30,boutiques_left_4_BASE,BASE,0,-1,19,0,4294967295,504990,1
505007.nif,10.1.0.0,v10,3,31,boutiques_left_4_GLOSS,GLOSS,3,-1,19,0,4294967295,491950,1
505007.nif,10.1.0.0,v10,3,32,boutiques_left_4_GLOW,GLOW,4,-1,19,0,4294967295,504993,1
505007.nif,10.1.0.0,v10,3,33,boutiques_left_6_BASE,BASE,0,-1,20,0,4294967295,504998,1
505007.nif,10.1.0.0,v10,3,34,boutiques_left_6_DARK,DARK,1,-1,20,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,35,boutiques_left_6_GLOSS,GLOSS,3,-1,20,0,4294967295,491950,1
505007.nif,10.1.0.0,v10,3,36,boutiques_left_8_BASE,BASE,0,-1,21,0,4294967295,32252,1
505007.nif,10.1.0.0,v10,3,37,boutiques_left_8_DARK,DARK,1,-1,21,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,38,boutiques_left_8_GLOSS,GLOSS,3,-1,21,0,4294967295,491950,1
505007.nif,10.1.0.0,v10,3,39,boutiques_left_9_BASE,BASE,0,-1,22,0,4294967295,504734,1
505007.nif,10.1.0.0,v10,3,40,boutiques_left_9_DARK,DARK,1,-1,22,0,4294967295,510802,1
505007.nif,10.1.0.0,v10,3,41,boutiques_left_9_GLOSS,GLOSS,3,-1,22,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,180013,1
505031.nif,10.1.0.0,v10,3,1,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
505031.nif,10.1.0.0,v10,3,2,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,6,0,4294967295,504732,1
505031.nif,10.1.0.0,v10,3,3,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,7,0,4294967295,504732,1
505031.nif,10.1.0.0,v10,3,4,Nameless45_ENVIRONMENT,ENVIRONMENT,9,0,8,0,4294967295,180013,1
505031.nif,10.1.0.0,v10,3,5,boutiques_left_0_BASE,BASE,0,-1,9,0,4294967295,506538,1
505031.nif,10.1.0.0,v10,3,6,boutiques_left_0_GLOSS,GLOSS,3,-1,9,0,4294967295,29597,1
505031.nif,10.1.0.0,v10,3,7,boutiques_left_0_GLOW,GLOW,4,-1,9,0,4294967295,506539,1
505031.nif,10.1.0.0,v10,3,8,boutiques_left_10_GLOSS,GLOSS,3,-1,10,0,4294967295,29749,1
505031.nif,10.1.0.0,v10,3,9,boutiques_left_13_BASE,BASE,0,-1,11,0,4294967295,504965,1
505031.nif,10.1.0.0,v10,3,10,boutiques_left_13_GLOSS,GLOSS,3,-1,11,0,4294967295,353638,1
505031.nif,10.1.0.0,v10,3,11,boutiques_left_14_BASE,BASE,0,-1,12,0,4294967295,504968,1
505031.nif,10.1.0.0,v10,3,12,boutiques_left_14_GLOSS,GLOSS,3,-1,12,0,4294967295,504970,1
505031.nif,10.1.0.0,v10,3,13,boutiques_left_14_GLOW,GLOW,4,-1,12,0,4294967295,504972,1
505031.nif,10.1.0.0,v10,3,14,boutiques_left_16_BASE,BASE,0,-1,13,0,4294967295,492911,1
505031.nif,10.1.0.0,v10,3,15,boutiques_left_16_DARK,DARK,1,-1,13,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,16,boutiques_left_16_GLOSS,GLOSS,3,-1,13,0,4294967295,29597,1
505031.nif,10.1.0.0,v10,3,17,boutiques_left_17_BASE,BASE,0,-1,14,0,4294967295,505241,1
505031.nif,10.1.0.0,v10,3,18,boutiques_left_17_DARK,DARK,1,-1,14,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,19,boutiques_left_17_GLOSS,GLOSS,3,-1,14,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,20,boutiques_left_20_BASE,BASE,0,-1,15,0,4294967295,511100,1
505031.nif,10.1.0.0,v10,3,21,boutiques_left_20_DARK,DARK,1,-1,15,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,22,boutiques_left_20_GLOSS,GLOSS,3,-1,15,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,23,boutiques_left_2_BASE,BASE,0,-1,16,0,4294967295,504982,1
505031.nif,10.1.0.0,v10,3,24,boutiques_left_2_DARK,DARK,1,-1,16,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,25,boutiques_left_2_GLOSS,GLOSS,3,-1,16,0,4294967295,353638,1
505031.nif,10.1.0.0,v10,3,26,boutiques_left_4_BASE,BASE,0,-1,17,0,4294967295,504990,1
505031.nif,10.1.0.0,v10,3,27,boutiques_left_4_GLOSS,GLOSS,3,-1,17,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,28,boutiques_left_4_GLOW,GLOW,4,-1,17,0,4294967295,504993,1
505031.nif,10.1.0.0,v10,3,29,boutiques_left_6_BASE,BASE,0,-1,18,0,4294967295,504998,1
505031.nif,10.1.0.0,v10,3,30,boutiques_left_6_DARK,DARK,1,-1,18,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,31,boutiques_left_6_GLOSS,GLOSS,3,-1,18,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,32,boutiques_left_8_BASE,BASE,0,-1,19,0,4294967295,32252,1
505031.nif,10.1.0.0,v10,3,33,boutiques_left_8_DARK,DARK,1,-1,19,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,34,boutiques_left_8_GLOSS,GLOSS,3,-1,19,0,4294967295,491950,1
505031.nif,10.1.0.0,v10,3,35,boutiques_left_9_BASE,BASE,0,-1,20,0,4294967295,504734,1
505031.nif,10.1.0.0,v10,3,36,boutiques_left_9_DARK,DARK,1,-1,20,0,4294967295,510802,1
505031.nif,10.1.0.0,v10,3,37,boutiques_left_9_GLOSS,GLOSS,3,-1,20,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,0,Box01_2_BASE,BASE,0,-1,4,0,4294967295,492911,1
505225.nif,10.1.0.0,v10,3,1,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,2,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,6,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,3,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,7,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,4,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,8,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,5,Nameless45_ENVIRONMENT,ENVIRONMENT,9,0,9,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,6,Nameless56_ENVIRONMENT,ENVIRONMENT,9,0,10,0,4294967295,180013,1
505225.nif,10.1.0.0,v10,3,7,bars_1_GLOSS,GLOSS,3,-1,11,0,4294967295,29597,1
505225.nif,10.1.0.0,v10,3,8,bars_2_BASE,BASE,0,-1,12,0,4294967295,505231,1
505225.nif,10.1.0.0,v10,3,9,bars_2_GLOSS,GLOSS,3,-1,12,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,10,planes_02_GLOSS,GLOSS,3,-1,13,0,4294967295,29597,1
505225.nif,10.1.0.0,v10,3,11,planes_0_GLOSS,GLOSS,3,-1,14,0,4294967295,29597,1
505225.nif,10.1.0.0,v10,3,12,room_0_BASE,BASE,0,-1,15,0,4294967295,504957,1
505225.nif,10.1.0.0,v10,3,13,room_0_GLOSS,GLOSS,3,-1,15,0,4294967295,31592,1
505225.nif,10.1.0.0,v10,3,14,room_1_GLOSS,GLOSS,3,-1,16,0,4294967295,29597,1
505225.nif,10.1.0.0,v10,3,15,room_2_BASE,BASE,0,-1,17,0,4294967295,505231,1
505225.nif,10.1.0.0,v10,3,16,room_2_GLOSS,GLOSS,3,-1,17,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,17,room_3_BASE,BASE,0,-1,18,0,4294967295,492911,1
505225.nif,10.1.0.0,v10,3,18,room_3_GLOSS,GLOSS,3,-1,18,0,4294967295,353638,1
505225.nif,10.1.0.0,v10,3,19,room_4_BASE,BASE,0,-1,19,0,4294967295,504990,1
505225.nif,10.1.0.0,v10,3,20,room_4_GLOSS,GLOSS,3,-1,19,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,21,room_4_GLOW,GLOW,4,-1,19,0,4294967295,504993,1
505225.nif,10.1.0.0,v10,3,22,room_5_BASE,BASE,0,-1,20,0,4294967295,504995,1
505225.nif,10.1.0.0,v10,3,23,room_5_GLOSS,GLOSS,3,-1,20,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,24,room_6_BASE,BASE,0,-1,21,0,4294967295,505241,1
505225.nif,10.1.0.0,v10,3,25,room_6_GLOSS,GLOSS,3,-1,21,0,4294967295,491950,1
505225.nif,10.1.0.0,v10,3,26,stairs_2_BASE,BASE,0,-1,22,0,4294967295,492911,1
505225.nif,10.1.0.0,v10,3,27,stairs_3_BASE,BASE,0,-1,23,0,4294967295,492932,1
505209.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,1,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,5,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,2,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,6,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,3,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,7,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,4,Nameless45_ENVIRONMENT,ENVIRONMENT,9,0,8,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,5,Nameless56_ENVIRONMENT,ENVIRONMENT,9,0,9,0,4294967295,180013,1
505209.nif,10.1.0.0,v10,3,6,Object01_1_GLOSS,GLOSS,3,-1,10,0,4294967295,29597,1
505209.nif,10.1.0.0,v10,3,7,Object02_1_GLOSS,GLOSS,3,-1,11,0,4294967295,29597,1
505209.nif,10.1.0.0,v10,3,8,Object03_1_GLOSS,GLOSS,3,-1,12,0,4294967295,29597,1
505209.nif,10.1.0.0,v10,3,9,boutique_0_BASE,BASE,0,-1,13,0,4294967295,504957,1
505209.nif,10.1.0.0,v10,3,10,boutique_0_GLOSS,GLOSS,3,-1,13,0,4294967295,31592,1
505209.nif,10.1.0.0,v10,3,11,boutique_1_GLOSS,GLOSS,3,-1,14,0,4294967295,29597,1
505209.nif,10.1.0.0,v10,3,12,boutique_3_BASE,BASE,0,-1,15,0,4294967295,492911,1
505209.nif,10.1.0.0,v10,3,13,boutique_3_GLOSS,GLOSS,3,-1,15,0,4294967295,353638,1
505209.nif,10.1.0.0,v10,3,14,boutique_4_BASE,BASE,0,-1,16,0,4294967295,504990,1
505209.nif,10.1.0.0,v10,3,15,boutique_4_GLOSS,GLOSS,3,-1,16,0,4294967295,491950,1
505209.nif,10.1.0.0,v10,3,16,boutique_4_GLOW,GLOW,4,-1,16,0,4294967295,504993,1
505209.nif,10.1.0.0,v10,3,17,boutique_5_BASE,BASE,0,-1,17,0,4294967295,504995,1
505209.nif,10.1.0.0,v10,3,18,boutique_5_GLOSS,GLOSS,3,-1,17,0,4294967295,491950,1
505055.nif,10.1.0.0,v10,3,0,Cylinder01_0_BASE,BASE,0,-1,4,0,4294967295,504957,1
505055.nif,10.1.0.0,v10,3,1,Cylinder01_0_GLOSS,GLOSS,3,-1,4,0,4294967295,491950,1
505055.nif,10.1.0.0,v10,3,2,Cylinder01_1_BASE,BASE,0,-1,5,0,4294967295,506538,1
505055.nif,10.1.0.0,v10,3,3,Cylinder01_1_GLOSS,GLOSS,3,-1,5,0,4294967295,491950,1
505055.nif,10.1.0.0,v10,3,4,Cylinder01_1_GLOW,GLOW,4,-1,5,0,4294967295,506539,1
505055.nif,10.1.0.0,v10,3,5,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,6,0,4294967295,504732,1
505055.nif,10.1.0.0,v10,3,6,Sphere01_0_GLOSS,GLOSS,3,-1,7,0,4294967295,29610,1
505058.nif,10.1.0.0,v10,3,0,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,4,0,4294967295,504732,1
505058.nif,10.1.0.0,v10,3,1,Object05_0_BASE,BASE,0,-1,5,0,4294967295,506470,1
505058.nif,10.1.0.0,v10,3,2,Sphere01_0_GLOSS,GLOSS,3,-1,6,0,4294967295,29610,1
505074.nif,10.1.0.0,v10,3,0,Box01_0_BASE,BASE,0,-1,4,0,4294967295,508927,1
505074.nif,10.1.0.0,v10,3,1,Box01_0_GLOSS,GLOSS,3,-1,4,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,2,Box01_16_BASE,BASE,0,-1,5,0,4294967295,492911,1
505074.nif,10.1.0.0,v10,3,3,Box01_16_GLOSS,GLOSS,3,-1,5,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,4,Box02_0_BASE,BASE,0,-1,6,0,4294967295,508927,1
505074.nif,10.1.0.0,v10,3,5,Box02_0_GLOSS,GLOSS,3,-1,6,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,6,Box02_16_BASE,BASE,0,-1,7,0,4294967295,492911,1
505074.nif,10.1.0.0,v10,3,7,Box02_16_GLOSS,GLOSS,3,-1,7,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,8,Box03_0_BASE,BASE,0,-1,8,0,4294967295,508927,1
505074.nif,10.1.0.0,v10,3,9,Box03_0_GLOSS,GLOSS,3,-1,8,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,10,Box03_16_BASE,BASE,0,-1,9,0,4294967295,492911,1
505074.nif,10.1.0.0,v10,3,11,Box03_16_GLOSS,GLOSS,3,-1,9,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,12,Box04_0_BASE,BASE,0,-1,10,0,4294967295,508927,1
505074.nif,10.1.0.0,v10,3,13,Box04_0_GLOSS,GLOSS,3,-1,10,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,14,Box04_16_BASE,BASE,0,-1,11,0,4294967295,492911,1
505074.nif,10.1.0.0,v10,3,15,Box04_16_GLOSS,GLOSS,3,-1,11,0,4294967295,491950,1
505074.nif,10.1.0.0,v10,3,16,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,12,0,4294967295,180013,1
505074.nif,10.1.0.0,v10,3,17,Nameless1011_ENVIRONMENT,ENVIRONMENT,9,0,13,0,4294967295,504732,1
505074.nif,10.1.0.0,v10,3,18,Nameless1112_ENVIRONMENT,ENVIRONMENT,9,0,14,0,4294967295,180013,1
505074.nif,10.1.0.0,v10,3,19,Nameless1213_ENVIRONMENT,ENVIRONMENT,9,0,15,0,4294967295,180013,1
505074.nif,10.1.0.0,v10,3,20,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,16,0,4294967295,504732,1
505074.nif,10.1.0.0,v10,3,21,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,17,0,4294967295,504732,1
505074.nif,10.1.0.0,v10,3,22,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,18,0,4294967295,180013,1
