va,section,mangled
0x00B6D00C,.data,.?AVGameClient@@
0x00B6D028,.data,.?AV?$ArkSingleton@VGameClient@@@@
0x00B6D06C,.data,.?AVArkCommunicatorListenerInterface@@
0x00B6D09C,.data,.?AVCommunicationSubsystem@@
0x00B6D0C4,.data,.?AV?$ArkSingleton@VCommunicationSubsystem@@@@
0x00B6D100,.data,.?AV?$bind_t@XV?$mf3@XVCommunicationSubsystem@@_NHH@_mfi@boost@@V?$list4@V?$value@PAVCommunicationSubsystem@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@@_bi@3@@_bi@boost@@
0x00B6D1C0,.data,.?AV?$bind_t@XV?$mf1@XVCommunicationSubsystem@@_N@_mfi@boost@@V?$list2@V?$value@PAVCommunicationSubsystem@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6D260,.data,.?AV?$bind_t@XV?$mf1@XVCommunicationSubsystem@@ABVArkChannelID@@@_mfi@boost@@V?$list2@V?$value@PAVCommunicationSubsystem@@@_bi@boost@@V?$value@VArkChannelID@@@23@@_bi@3@@_bi@boost@@
0x00B6D324,.data,.?AVArkInputSubsystem@@
0x00B6D344,.data,.?AV?$ArkSingleton@VArkInputSubsystem@@@@
0x00B6D53C,.data,.?AVArkResourceItemFactoryInterface@@
0x00B6D56C,.data,.?AVArkImageResourceItemFactory@@
0x00B6D598,.data,.?AVArkResourceItemStoreInterface@@
0x00B6D5C4,.data,.?AVArkFileNameResourceItemFactory@@
0x00B6D5F8,.data,.?AV?$sp_counted_impl_p@VArkResourceDataStoreBunt@@@detail@boost@@
0x00B6D648,.data,.?AV?$sp_counted_impl_p@VArkResourceDataStoreVFS@@@detail@boost@@
0x00B6D698,.data,.?AV?$sp_counted_impl_p@VArkResourceDataStoreAudio@@@detail@boost@@
0x00B6D6E8,.data,.?AV?$sp_counted_impl_p@VArkResourceDataStoreFile@@@detail@boost@@
0x00B6D738,.data,.?AV?$sp_counted_impl_p@VArkResourceDataStoreFileName@@@detail@boost@@
0x00B6D788,.data,.?AV?$sp_counted_impl_p@VArkResourceItemStoreFixedCount@@@detail@boost@@
0x00B6D7E0,.data,.?AV?$sp_counted_impl_p@V?$ArkResourceItemStoreCache@VUIDKey@ArkResourceItem@@@@@detail@boost@@
0x00B6D848,.data,.?AV?$sp_counted_impl_p@VArkModelResourceItemFactory@@@detail@boost@@
0x00B6D898,.data,.?AV?$sp_counted_impl_p@VArkImageResourceItemFactory@@@detail@boost@@
0x00B6D8E8,.data,.?AV?$sp_counted_impl_p@VArkBoundResourceItemFactory@@@detail@boost@@
0x00B6D938,.data,.?AV?$sp_counted_impl_p@VArkPortalResourceItemFactory@@@detail@boost@@
0x00B6D988,.data,.?AV?$sp_counted_impl_p@VArkVegetationClimateFactory@@@detail@boost@@
0x00B6D9D8,.data,.?AV?$sp_counted_impl_p@VArkTerrainEditZoneFactory@@@detail@boost@@
0x00B6DA28,.data,.?AV?$sp_counted_impl_p@VArkEffectSequenceFactory@@@detail@boost@@
0x00B6DA78,.data,.?AV?$sp_counted_impl_p@VArkAudioResourceItemFactory@@@detail@boost@@
0x00B6DAC8,.data,.?AV?$sp_counted_impl_p@VArkTerrainPatchFactory@@@detail@boost@@
0x00B6DB18,.data,.?AV?$sp_counted_impl_p@VArkAudioScriptResourceItemFactory@@@detail@boost@@
0x00B6DB70,.data,.?AV?$sp_counted_impl_p@VArkImageResourceItemFactoryJPG@@@detail@boost@@
0x00B6DBC8,.data,.?AV?$sp_counted_impl_p@VArkImageResourceItemFactoryCustom@@@detail@boost@@
0x00B6DC20,.data,.?AV?$sp_counted_impl_p@VArkFileNameResourceItemFactory@@@detail@boost@@
0x00B6DC78,.data,.?AV?$sp_counted_impl_p@VArkResourceItemStringFactory@@@detail@boost@@
0x00B6DCC8,.data,.?AVArkAudioScriptResourceItemFactory@@
0x00B6DCF8,.data,.?AV?$ArkResourceItemStoreCache@VUIDKey@ArkResourceItem@@@@
0x00B6DD40,.data,.?AV?$bind_t@_NV?$mf1@_NVArkChatSubsystem@@I@_mfi@boost@@V?$list2@V?$value@PAVArkChatSubsystem@@@_bi@boost@@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B6DDD8,.data,.?AV?$bind_t@_NV?$mf2@_NVArkChatSubsystem@@IABV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@_mfi@boost@@V?$list3@V?$value@PAVArkChatSubsystem@@@_bi@boost@@V?$value@I@23@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6DEC8,.data,.?AV?$bind_t@XV?$mf2@XVArkChatSubsystem@@I_N@_mfi@boost@@V?$list3@V?$value@PAVArkChatSubsystem@@@_bi@boost@@V?$value@I@23@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6DF70,.data,.?AV?$bind_t@XV?$mf0@XVArkChatSubsystem@@@_mfi@boost@@V?$list1@V?$value@PAVArkChatSubsystem@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6DFF8,.data,.?AV?$bind_t@XV?$mf1@XVArkChatSubsystem@@I@_mfi@boost@@V?$list2@V?$value@PAVArkChatSubsystem@@@_bi@boost@@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B6E08C,.data,.?AVComponent@ArkUI@@
0x00B6E0AC,.data,.?AV?$ComponentImpl@VArkChatSessionUI_Impl@@@ArkUI@@
0x00B6E0EC,.data,.?AV?$WindowImpl@VArkChatSessionUI_Impl@@@ArkUI@@
0x00B6E128,.data,.?AVArkChatSessionUI@@
0x00B6E150,.data,.?AVArkUIListenerInterface@@
0x00B6E178,.data,.?AV?$bind_t@XV?$mf0@XVArkClientUILogicManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientUILogicManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6E210,.data,.?AV?$bind_t@V?$NiPointer@VNiPixelData@@@@V?$mf1@V?$NiPointer@VNiPixelData@@@@VArkClientUIUtility_Icon@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientUIUtility_Icon@@@_bi@boost@@U?$arg@$00@3@@_bi@4@@_bi@boost@@
0x00B6E2F0,.data,.?AV?$bind_t@XV?$mf1@XVArkClientUILogicManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientUILogicManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6E398,.data,.?AV?$bind_t@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@V?$mf1@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@VArkClientUILogicManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientUILogicManager@@@_bi@boost@@U?$arg@$00@3@@_bi@5@@_bi@boost@@
0x00B6E4C8,.data,.?AV?$bind_t@XV?$mf1@XVArkClientUILogicManager@@ABVArkSetAction@@@_mfi@boost@@V?$list2@V?$value@PAVArkClientUILogicManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6E580,.data,.?AV?$bind_t@XV?$mf1@XVArkClientUILogicManager@@_N@_mfi@boost@@V?$list2@V?$value@PAVArkClientUILogicManager@@@_bi@boost@@V?$value@_N@23@@_bi@3@@_bi@boost@@
0x00B6E624,.data,.?AVArkClientUILogicManager@@
0x00B6E64C,.data,.?AV?$ArkSingleton@VArkClientUILogicManager@@@@
0x00B6E688,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientUIContainerManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientUIContainerManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6E738,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientUIContainerManager@@PAVArkUIObjectItem@@@_mfi@boost@@V?$list2@V?$value@PAVArkClientUIContainerManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6E800,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientDragAndDropManager@@ABVArkUIDropData@@@_mfi@boost@@V?$list2@V?$value@PAVArkClientDragAndDropManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6E8C0,.data,.?AV?$bind_t@XV?$mf3@XVArkClientDragAndDropManager@@I_NABVArkMonetary@@@_mfi@boost@@V?$list4@V?$value@PAVArkClientDragAndDropManager@@@_bi@boost@@V?$value@I@23@U?$arg@$00@3@U?$arg@$01@3@@_bi@3@@_bi@boost@@
0x00B6E998,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientUIContainerManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientUIContainerManager@@@_bi@boost@@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B6EA44,.data,.?AVArkClientDragAndDropManager@@
0x00B6EA70,.data,.?AV?$ArkSingleton@VArkClientDragAndDropManager@@@@
0x00B6EAB0,.data,.?AV?$bind_t@XV?$mf2@XVArkClientGameLogicManager@@ABV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@H@_mfi@boost@@V?$list3@V?$value@PAVArkClientGameLogicManager@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@@_bi@3@@_bi@boost@@
0x00B6EBB0,.data,.?AV?$bind_t@XV?$mf1@XVArkClientGameLogicManager@@_N@_mfi@boost@@V?$list2@V?$value@PAVArkClientGameLogicManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6EC58,.data,.?AV?$bind_t@XV?$mf1@XVArkClientGameLogicManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientGameLogicManager@@@_bi@boost@@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B6ED10,.data,.?AV?$bind_t@XV?$mf2@XVArkClientHumanModelManager@@II@_mfi@boost@@V?$list3@V?$value@PAVArkClientHumanModelManager@@@_bi@boost@@V?$value@I@23@V423@@_bi@3@@_bi@boost@@
0x00B6EDC0,.data,.?AV?$bind_t@_NP6A_NIAAVArkCustomMaterials@@@ZV?$list2@U?$arg@$00@boost@@U?$arg@$01@2@@_bi@boost@@@_bi@boost@@
0x00B6EE38,.data,.?AV?$bind_t@_NP6A_NIAAM@ZV?$list2@U?$arg@$00@boost@@U?$arg@$01@2@@_bi@boost@@@_bi@boost@@
0x00B6EEA0,.data,.?AV?$bind_t@XP6AXIAAVArkUID@@0@ZV?$list3@U?$arg@$00@boost@@U?$arg@$01@2@U?$arg@$02@2@@_bi@boost@@@_bi@boost@@
0x00B6EF18,.data,.?AV?$bind_t@XP6AXII@ZV?$list2@U?$arg@$00@boost@@U?$arg@$01@2@@_bi@boost@@@_bi@boost@@
0x00B6EF78,.data,.?AV?$bind_t@_NV?$mf2@_NVArkClientHumanModelManager@@IAAV?$vector@VArkEyeTarget@@V?$allocator@VArkEyeTarget@@@stlp_std@@@stlp_std@@@_mfi@boost@@V?$list3@V?$value@PAVArkClientHumanModelManager@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@@_bi@3@@_bi@boost@@
0x00B6F080,.data,.?AV?$bind_t@_NV?$mf3@_NVArkClientHumanModelManager@@IIAAVArkEyeTarget@@@_mfi@boost@@V?$list4@V?$value@PAVArkClientHumanModelManager@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@U?$arg@$02@3@@_bi@3@@_bi@boost@@
0x00B6F158,.data,.?AV?$bind_t@XV?$mf0@XVArkHumanModelManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkHumanModelManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6F1E8,.data,.?AV?$bind_t@XV?$mf2@XVArkClientHumanModelManager@@IABV?$function@$$A6AXXZV?$allocator@X@stlp_std@@@boost@@@_mfi@boost@@V?$list3@V?$value@PAVArkClientHumanModelManager@@@_bi@boost@@V?$value@I@23@V?$value@V?$function@$$A6AXXZV?$allocator@X@stlp_std@@@boost@@@23@@_bi@3@@_bi@boost@@
0x00B6F310,.data,.?AV?$bind_t@_NV?$mf3@_NVArkHumanGarmentBuilder@@PAVNiNode@@ABVArkHumanModelGarment@@H@_mfi@boost@@V?$list4@V?$value@PAVArkHumanGarmentBuilder@@@_bi@boost@@V?$value@PAVNiNode@@@23@V?$value@VArkHumanModelGarment@@@23@V?$value@H@23@@_bi@3@@_bi@boost@@
0x00B6F418,.data,.?AV?$bind_t@_NV?$mf2@_NVArkClientHumanModelManager@@IABV?$function@$$A6AXXZV?$allocator@X@stlp_std@@@boost@@@_mfi@boost@@V?$list3@V?$value@PAVArkClientHumanModelManager@@@_bi@boost@@V?$value@I@23@V?$value@V?$function@$$A6AXXZV?$allocator@X@stlp_std@@@boost@@@23@@_bi@3@@_bi@boost@@
0x00B6F544,.data,.?AVNiProperty@@
0x00B6F560,.data,.?AVNiObjectNET@@
0x00B6F57C,.data,.?AVNiObject@@
0x00B6F594,.data,.?AVNiRefObject@@
0x00B6F5B0,.data,.?AVSoundScapeElementInit@@
0x00B6F5D4,.data,.?AVNiZBufferProperty@@
0x00B6F5F4,.data,.?AVSoundScapeBackgroundInit@@
0x00B6F61C,.data,.?AVSoundScapeSpotInit@@
0x00B6F640,.data,.?AVSoundInit@@
0x00B6F660,.data,.?AV?$bind_t@XV?$mf1@XVArkTerrainRenderer@@M@_mfi@boost@@V?$list2@V?$bind_t@PAVArkTerrainRenderer@@V?$cmf0@PAVArkTerrainRenderer@@VArkClientTerrainManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientTerrainManager@@@_bi@boost@@@_bi@4@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6F780,.data,.?AV?$bind_t@XV?$mf2@XVArkNxPhysicsManager@@ABV?$ArkVector2D_T@H@@ABVArkAABB@@@_mfi@boost@@V?$list3@V?$value@PAVArkNxPhysicsManager@@@_bi@boost@@U?$arg@$00@3@U?$arg@$01@3@@_bi@3@@_bi@boost@@
0x00B6F848,.data,.?AV?$bind_t@XV?$mf1@XVArkNxPhysicsManager@@ABV?$ArkVector2D_T@H@@@_mfi@boost@@V?$list2@V?$value@PAVArkNxPhysicsManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6F900,.data,.?AVbad_weak_ptr@boost@@
0x00B6F928,.data,.?AV?$bind_t@XV?$mf0@XVArkClientWorldObjectManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientWorldObjectManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6F9C8,.data,.?AV?$bind_t@IV?$mf1@IVArkClientWorldObjectManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkClientWorldObjectManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6FA78,.data,.?AV?$bind_t@XP6AXAAVArkInstanceProxy@@@ZV?$list1@U?$arg@$00@boost@@@_bi@boost@@@_bi@boost@@
0x00B6FAE0,.data,.?AV?$bind_t@XP6AXI@ZV?$list1@V?$value@I@_bi@boost@@@_bi@boost@@@_bi@boost@@
0x00B6FB44,.data,.?AV?$ComponentImpl@VArkUIWindow@@@ArkUI@@
0x00B6FB78,.data,.?AV?$bind_t@XV?$mf1@XVArkClientCameraController@@_N@_mfi@boost@@V?$list2@V?$value@PAVArkClientCameraController@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6FC24,.data,.?AV?$WindowImpl@VArkUIWindow@@@ArkUI@@
0x00B6FC54,.data,.?AVArkClientCameraController@@
0x00B6FC7C,.data,.?AV?$ArkSingleton@VArkClientCameraController@@@@
0x00B6FCE0,.data,.?AV?$ComponentImpl@VPlayerList_Impl@ArkUI@@@ArkUI@@
0x00B6FD20,.data,.?AVPlayerList@ArkUI@@
0x00B6FD48,.data,.?AV?$bind_t@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@V?$mf1@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@VArkResourceStringManager@@I@_mfi@boost@@V?$list2@V?$value@PAVArkResourceStringManager@@@_bi@boost@@U?$arg@$00@3@@_bi@5@@_bi@boost@@
0x00B6FE80,.data,.?AV?$bind_t@XV?$mf1@XVArkClientGameActionManager@@ABVArkIconBookUIEntry@@@_mfi@boost@@V?$list2@V?$value@PAVArkClientGameActionManager@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B6FF40,.data,.?AV?$bind_t@_NP6A_NIAAVArkPackedColor@@@ZV?$list2@U?$arg@$00@boost@@U?$arg@$01@2@@_bi@boost@@@_bi@boost@@
0x00B6FFB8,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientGameActionManager@@VPerformActionArgs@1@@_mfi@boost@@V?$list2@V?$value@PAVArkClientGameActionManager@@@_bi@boost@@V?$value@VPerformActionArgs@ArkClientGameActionManager@@@23@@_bi@3@@_bi@boost@@
0x00B700A8,.data,.?AVListener@ArkGenericSelectUI@@
0x00B700D4,.data,.?AVArkClientMindForceManager@@
0x00B700FC,.data,.?AV?$ArkSingleton@VArkClientMindForceManager@@@@
0x00B70138,.data,.?AV?$bind_t@XV?$mf5@XVArkClientMindForceManager@@IIIMPAVNiAVObject@@@_mfi@boost@@V?$list6@V?$value@PAVArkClientMindForceManager@@@_bi@boost@@V?$value@I@23@V423@V423@V?$value@M@23@V?$value@PAVNiAVObject@@@23@@_bi@3@@_bi@boost@@
0x00B70228,.data,.?AV?$bind_t@_NV?$mf0@_NVArkClientMailboxManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B702C0,.data,.?AV?$bind_t@_NV?$mf1@_NVArkClientMailboxManager@@W4BoxType@1@@_mfi@boost@@V?$list2@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@V?$value@W4BoxType@ArkClientMailboxManager@@@23@@_bi@3@@_bi@boost@@
0x00B70398,.data,.?AV?$bind_t@XV?$mf2@XVArkClientMailboxManager@@W4BoxType@1@I@_mfi@boost@@V?$list3@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@V?$value@W4BoxType@ArkClientMailboxManager@@@23@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B70478,.data,.?AV?$bind_t@_NV?$mf2@_NVArkClientMailboxManager@@I_N@_mfi@boost@@V?$list3@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@V?$value@I@23@V?$value@_N@23@@_bi@3@@_bi@boost@@
0x00B70530,.data,.?AV?$bind_t@XV?$mf2@XVArkClientMailboxManager@@HI@_mfi@boost@@V?$list3@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@U?$arg@$00@3@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B705E0,.data,.?AV?$bind_t@XV?$mf0@XVArkClientMailboxManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientMailboxManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B70674,.data,.?AVArkClientMailboxManager@@
0x00B7069C,.data,.?AV?$ArkSingleton@VArkClientMailboxManager@@@@
0x00B706D4,.data,.?AVArkMessageBoxUIObserver@@
0x00B70704,.data,.?AVArkSoundAreaCone@@
0x00B70724,.data,.?AVArkSoundArea@@
0x00B70740,.data,.?AV?$ArkClientObjectImpl@VArkMediaObject@@@@
0x00B70778,.data,.?AVArkClientDefaultObjectImpl@@
0x00B707A4,.data,.?AVArkObjectClassInterface@@
0x00B707CC,.data,.?AV?$ArkSingleton@VArkClientMediaImpl@@@@
0x00B70800,.data,.?AV?$bind_t@XV?$mf1@XVArkClientMediaImpl@@M@_mfi@boost@@V?$list2@V?$value@PAVArkClientMediaImpl@@@_bi@boost@@U?$arg@$00@3@@_bi@3@@_bi@boost@@
0x00B70898,.data,.?AV?$bind_t@XV?$mf1@XVArkClientMediaImpl@@_K@_mfi@boost@@V?$list2@V?$value@PAVArkClientMediaImpl@@@_bi@boost@@V?$value@_K@23@@_bi@3@@_bi@boost@@
0x00B70938,.data,.?AV?$bind_t@XV?$mf2@XVArkClientMediaImpl@@ABVArkUID@@I@_mfi@boost@@V?$list3@V?$value@PAVArkClientMediaImpl@@@_bi@boost@@V?$value@VArkUID@@@23@V?$value@I@23@@_bi@3@@_bi@boost@@
0x00B709F8,.data,.?AV?$bind_t@XV?$mf2@XVArkClientMediaImpl@@ABV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@ABV23@@_mfi@boost@@V?$list3@V?$value@PAVArkClientMediaImpl@@@_bi@boost@@V?$value@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@23@V423@@_bi@3@@_bi@boost@@
0x00B70B30,.data,.?AV?$bind_t@XV?$mf3@XVArkClientMediaImpl@@_KABVArkUID@@ABV?$set@VArkUID@@U?$less@VArkUID@@@stlp_std@@V?$allocator@VArkUID@@@3@@stlp_std@@@_mfi@boost@@V?$list4@V?$value@PAVArkClientMediaImpl@@@_bi@boost@@V?$value@_K@23@V?$value@VArkUID@@@23@V?$value@V?$set@VArkUID@@U?$less@VArkUID@@@stlp_std@@V?$allocator@VArkUID@@@3@@stlp_std@@@23@@_bi@3@@_bi@boost@@
0x00B70C9C,.data,.?AVArkClientMediaImpl@@
0x00B70CC8,.data,.?AV?$bind_t@XV?$mf0@XVArkMassiveManager@@@_mfi@boost@@V?$list1@V?$value@PAVArkMassiveManager@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B70D50,.data,.?AV?$bind_t@XV?$mf2@XVArkMassiveManager@@ABV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@ABV23@@_mfi@boost@@V?$list3@V?$value@PAVArkMassiveManager@@@_bi@boost@@V?$value@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@23@V423@@_bi@3@@_bi@boost@@
0x00B70E90,.data,.?AV?$ArkClientObjectImpl@VArkInteractiveWorldObject@@@@
0x00B70ED8,.data,.?AV?$ArkSingleton@VArkClientInteractiveWorldObjectImpl@@@@
0x00B70F1C,.data,.?AVArkClientInteractiveWorldObjectImpl@@
