source_path_full,role,sha256,size_bytes,snapshot_time_scope,publication_scope,claims_supported
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\PRIMITIVE_VALUE_COMPARISON.json,R3 run artifact (01_RAW/PRIMITIVE_VALUE_COMPARISON.json),86dcd486e7a017975efa0a1685bd19ff99a0f6a52d65ad666c5208f9cb2d3c12,919217,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-05, R3C-06, R3C-09"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\R2_HELPER_PROBE.json,R3 run artifact (01_RAW/R2_HELPER_PROBE.json),05f3fc2a84ce64749587a3865967f4539e9053845b9a56ccd2f96e771f383c0a,1862980,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-01, R3C-03"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\R2_STATE_RESUM.json,R3 run artifact (01_RAW/R2_STATE_RESUM.json),af00d785da47dd5cb5156f4e6f7ce0569f703431b01680b4f0ae5c37aa70635f,1066,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-12, R3C-13"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\R34_RESUM.json,R3 run artifact (01_RAW/R34_RESUM.json),013a7e42272cf347c39bb5547ff87ade7439ca1a1cf6d26edc2106c4abe982b2,2176,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3C-10
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\R35_CLAIM_TABLE_PRESERVED.json,R3 run artifact (01_RAW/R35_CLAIM_TABLE_PRESERVED.json),e379599e7e746f94e1f7211f034e0f80f241e00f0fa901efad2ac49f24800fcf,7797,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3C-11
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\SIDECAR_BARE_CR_ANALYSIS.json,R3 run artifact (01_RAW/SIDECAR_BARE_CR_ANALYSIS.json),033075bebd4d04cf49d89f4197baf125a5d0ec39b70c604f6b09ba9a16a00723,7561,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3C-14
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_corrected.json,R3 run artifact (02_LOGS/kat_corrected.json),72ce0d24e0b045ed0240dcdba539cc00260d069fd14c1ec077978258fe281427,8807,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_oracle_self_vectors.json,R3 run artifact (02_LOGS/kat_oracle_self_vectors.json),58cddd4141c815e4aa52957211934aed37a686ac392117646781371b65c16580,1343,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_r2_literal_python.json,R3 run artifact (02_LOGS/kat_r2_literal_python.json),97f1235bbbe8774d50f00810db95c5efc3224d0abf8f8068eb0586e87e05aa59,8046,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_three_state_corrected.json,R3 run artifact (02_LOGS/kat_three_state_corrected.json),ddab3bdfdcd9da4b19c1c7693be9958eb1823bdf757a160377bf4ff572c819be,368,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_three_state_r2_coercion.json,R3 run artifact (02_LOGS/kat_three_state_r2_coercion.json),ee4752f9548a7e4e83008707948cadcd2c27df7986e6768bf495de2d5ea69813,545,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\kat_wrong_value_controls.json,R3 run artifact (02_LOGS/kat_wrong_value_controls.json),9a09b07da7b78bf74c294ed564e45e8154f13e1fc5e40614df0593ce53baa40b,8225,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),"R3C-04, R3C-09, R3C-12 (KAT evidence)"
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\LOGS.md,R3 run artifact (02_LOGS/LOGS.md),008d48bc56139cfdab691bfca0fe6c42c7f8e771ba83193568a5ea2584761f6d,3351,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\02_LOGS\TEST_RESULTS.json,R3 run artifact (02_LOGS/TEST_RESULTS.json),1d7502459a4b84be81ff87393d6e918b1b6fa96280f065a6b8bc489da43c0ad1,21336,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3C-01..R3C-15; all gates
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\03_STATIC\SOURCE_QUOTES.md,R3 run artifact (03_STATIC/SOURCE_QUOTES.md),1b3ffb708150f3dec6075e6d36d0daa2b7aca8f0d47497644f904a4f4aadfb82,13031,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\04_RUNTIME\NOT_RUN.md,R3 run artifact (04_RUNTIME/NOT_RUN.md),e632cc9186bc82b9023ba33d71d2c08967bef1b5ddf1cea84ac89c542ac6d264,1329,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\05_ANALYSIS\CLAIM_MATRIX.csv,R3 run artifact (05_ANALYSIS/CLAIM_MATRIX.csv),90868935e5e618f6e54bd5865be6dbb06defe3c77c3da64a8547afa6d4bce85a,15943,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3 claim matrix (tally CONFIRMED 14 REJECTED (as worded) 1)
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\05_ANALYSIS\FINDING_DISPOSITIONS.csv,R3 run artifact (05_ANALYSIS/FINDING_DISPOSITIONS.csv),067a73c9f72be53bdef2d89c413c8f0ff06f98789febf4bd778d7671c9216887,2745,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),F1/F2/F2b/F3/F5/N1/N2
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\05_ANALYSIS\SUPERSESSION_MAP.csv,R3 run artifact (05_ANALYSIS/SUPERSESSION_MAP.csv),8770bd37de1a64713281fff31af9ba23e3e05d251a570ce063c86bef2077aa90,4243,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),S-01..S-12
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\06_REPORT\00_FINAL_REPORT.md,R3 run artifact (06_REPORT/00_FINAL_REPORT.md),642061465ee12e9ab043404a7a81fcfd9867e6e2bc9fef0b462334d18834c922,12779,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\06_REPORT\PROPOSED_DOC_CORRECTIONS_R3.md,R3 run artifact (06_REPORT/PROPOSED_DOC_CORRECTIONS_R3.md),84b3d05db719ab09a6ceece8300bbee059655b5443f6b5cfc1090b4c8b7ec8e6,6624,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\HANDOFF.md,R3 run artifact (HANDOFF.md),a5bef3c5fb6fa0f3494b3140392f2a9786245ae4478a064d7dc0a8166c762e5a,7466,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\REPORT.md,R3 run artifact (REPORT.md),bfa263507b9dfe241d0626f4781cbe5ac11e5c7378ff1168de940bf5d99a45ab,1733,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
