evidence_path,role_in_run,sha256,size_bytes
00_CONTROL/PRE_EDIT/06_REPORT/MANIFEST_SHA256.csv.pre,"package file",69114E25010B386D0599BC65E8194FD34D64382949041A4EE90B189C6F4942FB,3160
00_CONTROL/PRE_EDIT/06_REPORT/REPORT.md.pre,"package file",986182BE8837106FB3403336060D177B634EF4FBCD72E5E5FEACCA8D841DC2DE,9935
00_CONTROL/PRE_EDIT/06_REPORT/STAGE_ACCEPTANCE_GATES.csv.pre,"package file",BF451C544297AD76DACC3F2EB0B86A3DDADF200267C9107328233EF2AF119B5A,4871
00_CONTROL/scripts/census_triple_writes.py,"Correction-pass census generator (P1-1): whole-image write census of the origin triple",5777F559101CFAC2CAEACC6ADA23291E412F046909D52677E2E751A2E98C734B,50894
00_CONTROL/scripts/decode_lib.py,"Shared PE loader (S0 fail-closed) + capstone decode/census helpers",EA9945223714349B2742D0DC3D429023422531C039E802F19D91ABDE50AA0D51,7516
00_CONTROL/scripts/gen_manifest.py,"Builds this evidence index + manifest (L12 self-exclusion; README written before the index per QC P1-2)",A88E730C0C039046AF9D8E820858D24B0494A109CA169111EFC7EF23D1964BD2,9505
00_CONTROL/scripts/gen_raw_evidence.py,"Generates the mechanical raw disasm/census files (Phases A-D)",389C82C889F32E10C3C3F65E067E8C615BFF669CE3B741F890DEE0E0881E4C7C,36775
00_CONTROL/scripts/patch_utf8.py,"One-shot UTF-8 encoding patch helper (documented in AMEND_LOG_R1.md AMEND-2)",2D8117033E2E8A37CE0E03935E80116937FC181179BDB80725BD2723DE92EABE,666
01_RAW/AT_RUN_END_GIT_OBSERVATION.md,"Executor run-end git verification (HEAD unchanged; untracked census; zero mutations) + correction-pass appendix",A98153CA89F7DC6BF94FB58BF2806A765C54B6DDDE1A497B24201AE2D97433FC,4968
01_RAW/AT_RUN_START_GIT_OBSERVATION.md,"SECTION 1 formalizer (immutable) + SECTION 2 executor run-start git/S0 measurement",3E789A39E2AA4557A6EAAC5760A9F7E497F4F84F3DB4B6A1E8FFBA5A4F7B21CD,8694
01_RAW/END_TO_END_VALUE_FLOW_RAW.txt,"PHASE E: per-component formulas; S={0,0,0} never-written proof (channels enumerated per QC P1-1); fallback dataflow; UNKNOWNs",A8077F4910BBF96026B6DAAADEB6A381C15A11778EFCB9132A20DF31555904C4,14061
01_RAW/FALLBACK_PRIMARY_COMPARISON.txt,"Five contract questions: fallback vs primary",E8F06D5CD8CAA6780FDC619EB4B22CDCA314330229272B93F603E25C3D70783A,5010
01_RAW/FUN_00437F70_DISASM.txt,"PHASE C: helper1 = origin-singleton getter; SEH (amended per QC P3-3); IAT callee IDs; 10 questions",AE041E5A05D2040552ABE21C9BCC780C7B86B9FBE3657F90DE4101E4B7AE7656,11050
01_RAW/FUN_0050A050_DOWNSTREAM_DISASM.txt,"PHASE A: 36/36 pin MATCH (count amended per QC P2-2); extent; stack/arg mapping for both helpers; def-use answer; pseudo-C",A27FD8B72B996B59D4C87FCF4CFBA279376140BF0C4C238999942403A7CB2589,14610
01_RAW/FUN_0082B5A0_DISASM.txt,"PHASE D: helper2 = scaled-subtract converter; bit-exact constants; exact x87 trace; 7 questions",7E5C7E44BDCB61CA205AFEB62EFB4BA93EEA4C77C09376223985A4D68599A471,9311
01_RAW/HELPER437F70_CALLER_CENSUS.csv,"99 E8 callers of 0x437F70 classified (pair membership + next-instruction shape)",4ED9AF9B6677133D9A85519E9EB0B5B8886B404F458F0DAD3B73ECE79A7CAD59,7845
01_RAW/HELPER82B5A0_CALLER_CENSUS.csv,"36 E8 callers of 0x82B5A0 with pair membership (non-pair rows amended per QC P2-4)",A847CA2C8010C84FEE60EDCD87DA5ED2C0477FC10869D5FA4DAFE02D80C1B9EF,1631
01_RAW/HELPER82B5A0_CALLER_CENSUS.txt,"Human-readable 0x82B5A0 census companion (prose amended per QC P2-4)",A533B5364BF58E4F7AF498C1AABF6ADB6A0874FD03C25EF0CEA7F15C9A68C073,4173
01_RAW/NEGATIVE_CONTROL_RAW.txt,"MANDATORY negative control: 4 executed controls; FAILURE_CASE_DETECTED=YES",FD056D54CB89573E4E673FC64FC95C680F56FEF4F17958EBC38EE24A066ECC9F,4959
01_RAW/ORIGIN_TRIPLE_WRITE_CENSUS_RAW.txt,"CORRECTION-PASS CENSUS (P1-1): exhaustive write census of the origin triple + P2/P3 fact-verification annex",FEF5DC1C9E4B4C212D4D80E78DAED0574EFA0CD79ACBC22823E7D9D6C401FF87,77113
01_RAW/SOURCE_VECTOR_LAYOUT_RAW.txt,"PHASE B: +0x90 world translate proof; world-vs-local; vtable matrix; SF ctor anchors; [B.2] excerpt extended per QC P3-1",868E9A867B2FC00B153C80DF130FDBA34E43F9C3C339D8F4C49AB62C1A6EDC1E,13905
02_ANALYSIS/HELPER_OPERATIONS.md,"PHASE C/D analysis + H2/H3 verdicts (never-written claim re-measured per QC P1-1)",BB719FD00B13D1C692A33AC182C78DF0831EAA7834D53A33C6D3AC87ADCFFF83,4118
02_ANALYSIS/OUTPUT_VALUE_RELATION.md,"G6/G7 analysis",319EE31B6AAB353F3804747CF711EA727378DBA4BA2250DB2C94B546179A20C1,2095
02_ANALYSIS/POSITION_SEMANTICS.md,"PHASE F analysis + G9/G11-G14 + H4/H5 verdicts",6DD0D42126A57CE99E33321B3014FC6A227F266C92B5E30471DCEB93CAA023CC,4541
02_ANALYSIS/SCIENCE_STATUS_DELTA.csv,"All 11 status-algebra dimensions (K hex amended per QC P3-2)",243CD870965FD60EEB13D6B32541880E8D48494E623CFDCE037DB3DD79F6F6CF,2531
02_ANALYSIS/SOURCE_VECTOR_LAYOUT.md,"PHASE B analysis + H1 verdict",DB52F4A3BC298F16F4457E80FAE397D42484A1AA86EE47C9BEFD75F0D36C43DD,2454
03_EVIDENCE/README.md,"This evidence directory guide",B5FEAEBAA822572A99B16109889DB7714EE9E889AD90A944FD1E4272545863F3,1756
06_REPORT/HANDOFF.md,"Executor handoff (schema-conformant return; QC P2-2/P2-3 corrections applied)",DE504596F26A46BA7358F1FF343FE07E536C84E4536BAA18FC87B33E76265243,6334
06_REPORT/PE_MASTER_REVIEW.md,"package file",A21FE2BEEE05D1635362E824296D44440DD94CBF13B826B609F93122B212D9A7,14097
06_REPORT/QC_AUDIT.md,"package file",6AFD70DA88977D76086E9B1737FCCEC9D7669AE02FE917C0AF83F73DDF046EF0,37701
06_REPORT/QC_AUDIT_R2.md,"package file",F6513825AFC1A190F3C9EB53E8038A559C621C6A43E27AEC5F1C454FB64A829C,30313
06_REPORT/REPORT.md,"Final report (primary question answer; findings; boundaries; QC P1/P2 corrections applied)",C17A5691F161111403C5E427B24ABF7B279EB001942CC4528AE6E706DD701043,10897
06_REPORT/STAGE_ACCEPTANCE_GATES.csv,"G0..G17 honest statuses (G2/G6 rows amended per QC P2-2/P1-1)",D69F7220D9C2CF38958BAD0B888662ECCC29D0DE56B7E73D7EBE0719ACDBA461,6507
