file,text,value_u32_hex,value_f32,zero,family,subtype,ext_len
485782.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
485782.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
581467.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
581467.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
581470.nif,morph: left,3d088889,0.03333333507180214,0,MORPH_LR,,95
581470.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,95
581470.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,95
462356.nif,morph:left,00000000,0.0,1,MORPH_LR,,64
462356.nif,morph:right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,64
462359.nif,morph:left,00000000,0.0,1,MORPH_LR,,64
462359.nif,morph:right,3f000000,0.5,0,MORPH_LR,,64
354966.nif,sound:hit_01,3eeeeeef,0.46666666865348816,0,SOUND_HIT,,67
354966.nif,sound:hit_02,3faeeeef,1.3666666746139526,0,SOUND_HIT,,67
354967.nif,sound:hit_01,3fc00000,1.5,0,SOUND_HIT,,67
354967.nif,sound:hit_02,3f2aaaab,0.6666666865348816,0,SOUND_HIT,,67
354968.nif,sound:hit_01,3fcccccd,1.600000023841858,0,SOUND_HIT,,67
354968.nif,sound:hit_02,3fa22222,1.2666666507720947,0,SOUND_HIT,,67
354969.nif,sound:hit_02,3ecccccd,0.4000000059604645,0,SOUND_HIT,,67
354969.nif,sound:hit_03,3fcccccd,1.600000023841858,0,SOUND_HIT,,67
354970.nif,sound:hit_01,3f4ccccd,0.800000011920929,0,SOUND_HIT,,67
354970.nif,sound:hit_03,3f777778,0.9666666984558105,0,SOUND_HIT,,67
15552.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
486512.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
486512.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
16014.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
486514.nif,morph: left,3d088889,0.03333333507180214,0,MORPH_LR,,95
486514.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,95
486514.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,95
486513.nif,morph: left,00000000,0.0,1,MORPH_LR,,95
486513.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,95
486513.nif,start_usetool: effect_01,3d888889,0.06666667014360428,0,START_USETOOL,single_effect,95
486511.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
486511.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
250893.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
43785.nif,start_usetool: effect_01,3f2aaaab,0.6666666865348816,0,START_USETOOL,single_effect,62
65084.nif,start_usetool: effect_01,3eaaaaab,0.3333333432674408,0,START_USETOOL,single_effect,62
394810.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
394810.nif,morph: right,3e99999a,0.30000001192092896,0,MORPH_LR,,66
394811.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
394811.nif,morph: right,3e99999a,0.30000001192092896,0,MORPH_LR,,66
18110.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
18110.nif,morph: right,3e99999a,0.30000001192092896,0,MORPH_LR,,66
485783.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
485783.nif,morph: right,3e8a3d71,0.27000001072883606,0,MORPH_LR,,66
18136.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
18136.nif,morph: right,3e800000,0.25,0,MORPH_LR,,66
18223.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
18223.nif,morph: right,3e777778,0.24166667461395264,0,MORPH_LR,,66
18545.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
18545.nif,morph: right,3eddddde,0.4333333373069763,0,MORPH_LR,,66
485784.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
485784.nif,morph: right,3eddddde,0.4333333373069763,0,MORPH_LR,,66
495004.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
495004.nif,morph: right,3e99999a,0.30000001192092896,0,MORPH_LR,,66
14792.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
14792.nif,morph: right,3fc00000,1.5,0,MORPH_LR,,66
432262.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
432262.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
208352.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
208352.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
208365.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
208365.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
208356.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
208356.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
208354.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
208354.nif,morph: right,3f000000,0.5,0,MORPH_LR,,66
208355.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
208355.nif,morph: right,3f000000,0.5,0,MORPH_LR,,66
188.nif,morph: left,3e088889,0.13333334028720856,0,MORPH_LR,,66
188.nif,morph: right,3f19999a,0.6000000238418579,0,MORPH_LR,,66
189.nif,morph: left,3dcccccd,0.10000000149011612,0,MORPH_LR,,66
189.nif,morph: right,3ee66667,0.45000001788139343,0,MORPH_LR,,66
450.nif,morph: left,3e6369d1,0.22208334505558014,0,MORPH_LR,,66
450.nif,morph: right,3f9c6d3a,1.222083330154419,0,MORPH_LR,,66
705.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
705.nif,morph: right,3ed55556,0.4166666865348816,0,MORPH_LR,,66
38404.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
38404.nif,morph: right,3f088889,0.5333333611488342,0,MORPH_LR,,66
30991.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
30991.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
500078.nif,end,41aa2222,21.266666412353516,0,END_MORPH1,,392
500078.nif,morph: 1,40877778,4.233333587646484,0,END_MORPH1,,392
500078.nif,start -name DUNGMASTER_Run -loop ,3fd55556,1.6666667461395264,0,ANIMCMD_500078,,392
500078.nif,start -name DUNGMASTER_Walk -loop ,40555556,3.3333334922790527,0,ANIMCMD_500078,,392
500078.nif,start -name Dungmaster_Trott -loop ,00000000,0.0,1,ANIMCMD_500078,,392
500078.nif,start -name Idle_02 ,4122aaab,10.166666984558105,0,ANIMCMD_500078,,392
500078.nif,start -name attack_01 -loop ,41a00000,20.0,0,ANIMCMD_500078,,392
500078.nif,start -name die ,4172aaab,15.166666984558105,0,ANIMCMD_500078,,392
500078.nif,start -name fighting -loop ,4155ddde,13.366666793823242,0,ANIMCMD_500078,,392
500078.nif,start -name gethit ,4192aaab,18.33333396911621,0,ANIMCMD_500078,,392
500078.nif,start -name idle_01 ,40daaaab,6.833333492279053,0,ANIMCMD_500078,,392
500078.nif,start -name stand -loop ,40a55556,5.1666669845581055,0,ANIMCMD_500078,,392
500078.nif,start -name staydead -loop ,41855556,16.666667938232422,0,ANIMCMD_500078,,392
500080.nif,morph:right,3d888889,0.06666667014360428,0,MORPH_LR,,49
500075.nif,morph:left,3f555556,0.8333333730697632,0,MORPH_LR,,64
500075.nif,morph:right,00000000,0.0,1,MORPH_LR,,64
535782.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535782.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535783.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535783.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535784.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535784.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535794.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535794.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535785.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535785.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535786.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535786.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535787.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535787.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535788.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535788.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535789.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535789.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535792.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535792.nif,morph: right,3f088889,0.5333333611488342,0,MORPH_LR,,66
535790.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535790.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535793.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535793.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
535791.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
535791.nif,morph: right,3faaaaab,1.3333333730697632,0,MORPH_LR,,66
31219.nif,"morph: left
",00000000,0.0,1,MORPH_LR,,70
31219.nif,"morph: right
",3ecccccd,0.4000000059604645,0,MORPH_LR,,70
31224.nif,"morph: left
",00000000,0.0,1,MORPH_LR,,70
31224.nif,"morph: right
",3f800000,1.0,0,MORPH_LR,,70
31218.nif,"morph: left
",00000000,0.0,1,MORPH_LR,,70
31218.nif,"morph: right
",3f888889,1.0666667222976685,0,MORPH_LR,,70
400592.nif,morph: rifgt,3e6eeeef,0.23333333432674408,0,MORPH_LR,,50
524938.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524938.nif,morph: right,3e851eb9,0.2600000202655792,0,MORPH_LR,,66
524944.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524944.nif,morph: right,3e851eb9,0.2600000202655792,0,MORPH_LR,,66
524943.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524943.nif,morph: right,3f5dddde,0.8666666746139526,0,MORPH_LR,,66
524947.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524947.nif,morph: right,3f5dddde,0.8666666746139526,0,MORPH_LR,,66
524942.nif,"morph: left
",00000000,0.0,1,MORPH_LR,,70
524942.nif,"morph: right
",3f000000,0.5,0,MORPH_LR,,70
524937.nif,"morph: left
",00000000,0.0,1,MORPH_LR,,70
524937.nif,"morph: right
",3f800000,1.0,0,MORPH_LR,,70
298838.nif,morph:left,3e833333,0.2562499940395355,0,MORPH_LR,,64
298838.nif,morph:right,3f191eb9,0.5981250405311584,0,MORPH_LR,,64
748.nif,morph:left,3e833333,0.2562499940395355,0,MORPH_LR,,64
748.nif,morph:right,3f191eb9,0.5981250405311584,0,MORPH_LR,,64
205645.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
205645.nif,morph: right,3dcccccd,0.10000000149011612,0,MORPH_LR,,66
524058.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524058.nif,morph: right,3dcccccd,0.10000000149011612,0,MORPH_LR,,66
205665.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
205665.nif,morph: right,3f000000,0.5,0,MORPH_LR,,66
524059.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
524059.nif,morph: right,3dcccccd,0.10000000149011612,0,MORPH_LR,,66
31123.nif,"start_usetool: effect_01
start_usetool: sound_01",3eaaaaab,0.3333333432674408,0,START_USETOOL,multi_combined,87
31130.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
31130.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
31132.nif,morph left,00000000,0.0,1,MORPH_LR,,48
31138.nif,"start_usetool: effect_01
start_usetool: sound_01",3eddddde,0.4333333373069763,0,START_USETOOL,multi_combined,87
472775.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416993.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416994.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416995.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416996.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416997.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416998.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
416999.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
417000.nif,Morph: left,00000000,0.0,1,MORPH_LR,,49
91773.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91773.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
92842.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
92842.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
92843.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
92843.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
91779.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91779.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
585350.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
585350.nif,morph: right,40200000,2.5,0,MORPH_LR,,66
92838.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
92838.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
92839.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
92839.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
91787.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91787.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
92841.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
92841.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
91791.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91791.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
91793.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91793.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
91795.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91795.nif,morph: right,3ebbbbbc,0.36666667461395264,0,MORPH_LR,,66
91798.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
91798.nif,morph: right,3f2aaaab,0.6666666865348816,0,MORPH_LR,,66
592042.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
592042.nif,morph: right,3f111111,0.5666666626930237,0,MORPH_LR,,66
592040.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
592040.nif,morph: right,3f19999a,0.6000000238418579,0,MORPH_LR,,66
464246.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464246.nif,Morph: Right,3f0a2fca,0.5397917032241821,0,MORPH_LR,,66
464247.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464247.nif,Morph: Right,3f0a2fca,0.5397917032241821,0,MORPH_LR,,66
464248.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464248.nif,Morph: Right,3f56fc97,0.8397917151451111,0,MORPH_LR,,66
464253.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464253.nif,Morph: Right,3f56fc97,0.8397917151451111,0,MORPH_LR,,66
464254.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464254.nif,Morph: Right,3f56fc97,0.8397917151451111,0,MORPH_LR,,66
464255.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464255.nif,Morph: Right,3f56fc97,0.8397917151451111,0,MORPH_LR,,66
464256.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464256.nif,Morph: Right,3f9992c6,1.199791669845581,0,MORPH_LR,,66
464257.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464257.nif,Morph: Right,3f9992c6,1.199791669845581,0,MORPH_LR,,66
464258.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464258.nif,Morph: Right,3f40f5c3,0.7537500262260437,0,MORPH_LR,,66
464251.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464251.nif,Morph: Right,3f9992c6,1.199791669845581,0,MORPH_LR,,66
464250.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464250.nif,Morph: Right,3f56fc97,0.8397917151451111,0,MORPH_LR,,66
464252.nif,Morph: Left,00000000,0.0,1,MORPH_LR,,66
464252.nif,Morph: Right,3f9992c6,1.199791669845581,0,MORPH_LR,,66
417141.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
417141.nif,morph: right,40555556,3.3333334922790527,0,MORPH_LR,,66
417134.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
417134.nif,morph: right,40555556,3.3333334922790527,0,MORPH_LR,,66
417138.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
417138.nif,morph: right,3f000000,0.5,0,MORPH_LR,,66
417143.nif,morph: right,40555556,3.3333334922790527,0,MORPH_LR,,50
546622.nif,morph: left,00000000,0.0,1,MORPH_LR,,49
546621.nif,morph: left,00000000,0.0,1,MORPH_LR,,49
