file,klass,entry_count,num_tex,field2_raw,has_anim,anim_count,has_base,has_dark,has_detail,has_gloss,has_glow,has_bump,has_decal0,has_environment,tex_effect,mesh,blocks,mirror
505751.nif,1|0,14,3,3584,0,0,1,0,0,1,1,0,0,1,1,1,36,1
507032.nif,1|0,23,3,5888,0,0,1,1,0,1,0,0,0,1,1,1,88,1
507084.nif,1|0,34,3,8704,0,0,1,1,0,1,0,0,0,1,1,1,131,1
507124.nif,1|0,10,3,2560,0,0,1,0,0,1,0,0,0,1,1,1,55,1
507119.nif,1|0,17,3,4352,0,0,1,1,0,1,0,0,0,1,1,1,68,1
507067.nif,1|0,16,3,4096,0,0,1,1,0,1,0,0,0,1,1,1,56,1
507299.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,11,1
505844.nif,1|0,29,3,7424,0,0,1,1,0,1,1,0,0,1,1,1,174,1
507222.nif,1|0,9,3,2304,0,0,1,0,0,1,0,0,0,1,1,1,30,1
353595.nif,1|0,48,3,12288,0,0,1,1,0,1,1,0,0,1,1,1,181,1
519569.nif,1|0,9,3,2304,0,0,1,0,0,1,0,0,0,1,1,1,22,1
512460.nif,1|0,3,3,768,0,0,1,0,0,1,1,0,0,0,0,1,35,1
512403.nif,1|0,27,3,6912,0,0,1,0,0,1,1,0,0,1,1,1,77,1
511575.nif,1|0,166,3,42496,0,0,1,0,0,1,1,0,0,1,1,1,526,1
511767.nif,1|0,176,3,45056,0,0,1,0,0,1,1,0,0,1,1,1,589,1
511945.nif,1|0,167,3,42752,0,0,1,0,0,1,1,0,0,1,1,1,505,1
512126.nif,1|0,271,3,69376,0,0,1,0,0,1,1,0,0,1,1,1,888,1
508326.nif,1|0,27,3,6912,0,0,1,0,0,1,0,0,0,1,1,1,186,1
591185.nif,1|0,152,3,38912,1,8,1,1,0,1,1,1,1,1,1,1,426,0
549120.nif,1|0,80,3,20480,0,0,1,1,0,1,1,1,0,1,1,1,203,1
549100.nif,1|0,33,3,8448,0,0,1,1,0,1,1,0,0,1,1,1,51,1
549102.nif,1|0,75,3,19200,0,0,1,1,0,1,1,0,0,1,1,1,125,1
549108.nif,1|0,29,3,7424,0,0,1,1,0,1,1,0,0,1,1,1,47,1
549112.nif,1|0,37,3,9472,0,0,1,1,0,1,1,0,0,1,1,1,58,1
549114.nif,1|0,29,3,7424,0,0,1,1,0,1,1,0,0,1,1,1,46,1
549118.nif,1|0,68,3,17408,1,15,1,1,0,1,1,0,0,1,1,1,119,1
554074.nif,1|0,24,3,6144,0,0,1,1,0,1,0,1,0,1,1,1,74,1
554075.nif,1|0,20,3,5120,0,0,1,1,0,1,0,0,0,1,1,1,30,1
554076.nif,1|0,84,3,21504,0,0,1,1,0,1,0,0,0,1,1,1,134,1
554106.nif,1|0,16,3,4096,0,0,1,1,0,1,0,0,0,1,1,1,30,1
554178.nif,1|0,108,3,27648,1,60,1,1,0,1,0,0,0,1,1,1,90,1
554110.nif,1|0,48,3,12288,0,0,1,1,0,1,0,0,0,1,1,1,67,1
565687.nif,1|0,26,3,6656,0,0,1,0,0,1,1,1,0,1,1,1,74,1
565152.nif,1|0,25,3,6400,0,0,1,1,0,1,1,0,0,1,1,1,39,1
565155.nif,1|0,79,3,20224,0,0,1,1,0,1,1,0,0,1,1,1,113,1
565158.nif,1|0,38,3,9728,0,0,1,1,0,1,1,0,0,1,1,1,54,1
565161.nif,1|0,47,3,12032,0,0,1,1,0,1,1,0,0,1,1,1,57,1
565189.nif,1|0,39,3,9984,0,0,1,1,0,1,1,0,0,1,1,1,53,1
565167.nif,1|0,44,3,11264,1,15,1,1,0,1,1,0,0,1,1,1,48,1
576789.nif,1|0,36,3,9216,0,0,1,1,0,1,0,1,0,1,1,1,83,1
576791.nif,1|0,16,3,4096,0,0,1,1,0,1,0,0,0,1,1,1,28,1
576795.nif,1|0,104,3,26624,0,0,1,1,0,1,0,0,0,1,1,1,154,1
576799.nif,1|0,32,3,8192,0,0,1,1,0,1,0,0,0,1,1,1,46,1
576803.nif,1|0,40,3,10240,0,0,1,1,0,1,0,0,0,1,1,1,55,1
576807.nif,1|0,32,3,8192,0,0,1,1,0,1,0,0,0,1,1,1,47,1
512833.nif,1|0,3,3,768,0,0,1,0,0,0,0,0,0,0,0,1,37,1
581495.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,11,1
517137.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,24,1
517152.nif,1|0,2,3,512,0,0,1,1,0,0,0,0,0,0,0,1,14,1
524750.nif,1|0,11,3,2816,0,0,1,0,0,0,1,0,0,0,0,1,59,1
524770.nif,1|0,11,3,2816,0,0,1,0,0,0,1,0,0,0,0,1,59,1
517322.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,39,1
517332.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,39,1
512848.nif,1|0,22,3,5632,0,0,1,0,1,1,1,0,0,1,1,1,79,1
516623.nif,1|0,10,3,2560,0,0,1,0,0,1,0,0,0,1,1,1,42,1
512852.nif,1|0,23,3,5888,0,0,1,1,1,1,1,0,0,1,1,1,40,1
513823.nif,1|0,23,3,5888,0,0,1,1,0,1,1,0,0,1,1,1,40,1
513998.nif,1|0,47,3,12032,0,0,1,0,1,1,0,0,0,1,1,1,102,1
512856.nif,1|0,31,3,7936,0,0,1,0,1,1,1,0,0,1,1,1,132,1
512860.nif,1|0,19,3,4864,0,0,1,0,1,1,1,0,0,1,1,1,38,1
512887.nif,1|0,19,3,4864,0,0,1,0,1,1,1,0,0,1,1,1,38,1
512863.nif,1|0,22,3,5632,0,0,1,0,0,1,0,0,0,1,1,1,61,1
513835.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,39,1
512871.nif,1|0,17,3,4352,0,0,1,0,1,1,1,0,0,1,1,1,64,1
512875.nif,1|0,21,3,5376,0,0,1,0,1,1,1,0,0,1,1,1,40,1
512879.nif,1|0,22,3,5632,0,0,1,1,1,1,1,0,0,1,1,1,40,1
512883.nif,1|0,21,3,5376,0,0,1,0,1,1,1,0,0,1,1,1,64,1
515286.nif,1|0,9,3,2304,0,0,1,0,0,1,0,0,0,1,1,1,25,1
515301.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,13,1
519308.nif,1|0,10,3,2560,0,0,1,1,1,0,0,0,0,0,0,1,32,1
519316.nif,1|0,6,3,1536,0,0,1,1,1,0,0,0,0,0,0,1,22,1
512745.nif,1|0,28,3,7168,0,0,1,1,0,1,0,0,0,1,1,1,66,1
512781.nif,1|0,105,3,26880,0,0,1,0,0,1,1,0,0,1,1,1,325,1
512785.nif,1|0,4,3,1024,0,0,1,0,0,0,0,0,0,0,0,1,23,1
512829.nif,1|0,19,3,4864,0,0,1,1,1,1,0,0,0,1,1,1,43,1
512768.nif,1|0,19,3,4864,0,0,1,1,0,1,0,0,0,1,1,1,43,1
512762.nif,1|0,27,3,6912,0,0,1,1,0,1,0,0,0,1,1,1,48,1
512749.nif,1|0,11,3,2816,0,0,1,0,0,1,0,0,0,1,1,1,30,1
512753.nif,1|0,20,3,5120,0,0,1,0,0,1,0,0,0,1,1,1,46,1
512757.nif,1|0,21,3,5376,0,0,1,0,0,1,0,0,0,1,1,1,66,1
512777.nif,1|0,41,3,10496,0,0,1,1,0,1,0,0,0,1,1,1,77,1
512772.nif,1|0,35,3,8960,0,0,1,0,0,1,0,0,0,1,1,1,150,1
519123.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,0,0,1,30,1
514326.nif,1|0,47,3,12032,0,0,1,0,1,1,0,0,0,1,1,1,87,1
517100.nif,1|0,25,3,6400,0,0,1,0,1,1,0,0,0,1,1,1,48,1
517159.nif,1|0,35,3,8960,0,0,1,0,1,1,0,0,0,1,1,1,68,1
527569.nif,1|0,31,3,7936,1,22,1,0,0,0,1,0,0,0,0,1,77,1
527865.nif,1|0,48,3,12288,1,33,1,0,0,0,1,0,0,0,0,1,125,1
526959.nif,1|0,3,3,768,0,0,1,0,0,0,1,0,0,0,0,1,37,1
526963.nif,1|0,3,3,768,0,0,1,0,0,0,1,0,0,0,0,1,37,1
526967.nif,1|0,3,3,768,0,0,1,0,0,0,1,0,0,0,0,1,37,1
526971.nif,1|0,3,3,768,0,0,1,0,0,0,1,0,0,0,0,1,32,1
526975.nif,1|0,3,3,768,0,0,1,0,0,0,1,0,0,0,0,1,32,1
517207.nif,1|0,70,3,17920,0,0,1,1,0,1,1,0,0,1,1,1,234,1
517249.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,29,1
519989.nif,1|0,40,3,10240,0,0,1,1,0,0,1,0,0,0,0,1,166,1
520144.nif,1|0,8,3,2048,0,0,1,1,0,0,0,0,0,0,0,1,25,1
518858.nif,1|0,3,3,768,0,0,1,0,0,0,0,0,0,0,0,1,22,1
518866.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,18,1
518870.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,15,1
462104.nif,1|0,26,3,6656,1,12,1,0,0,0,0,0,0,0,0,1,85,1
471602.nif,1|0,22,3,5632,1,12,1,0,0,0,0,0,0,0,0,1,60,1
591386.nif,1|0,8,3,2048,0,0,1,0,0,0,0,1,0,0,0,1,39,0
591432.nif,1|0,2,3,512,0,0,1,0,0,0,0,1,0,0,0,1,14,0
584707.nif,1|0,48,3,12288,0,0,1,1,0,1,0,0,0,1,1,1,73,1
584595.nif,1|0,6,3,1536,0,0,1,0,0,1,0,0,0,1,1,1,21,1
584607.nif,1|0,40,3,10240,0,0,1,1,0,1,1,0,0,1,1,1,85,1
584668.nif,1|0,18,3,4608,0,0,1,0,0,1,0,0,0,1,1,1,40,1
584676.nif,1|0,21,3,5376,0,0,1,0,0,1,0,0,0,1,1,1,47,1
584689.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,38,1
584692.nif,1|0,9,3,2304,0,0,1,0,0,1,0,0,0,1,1,1,29,1
584695.nif,1|0,42,3,10752,0,0,1,1,0,1,0,0,0,1,1,1,81,1
584696.nif,1|0,33,3,8448,0,0,1,0,0,1,1,0,0,1,1,1,66,1
584697.nif,1|0,20,3,5120,0,0,1,0,0,1,0,0,0,1,1,1,50,1
584698.nif,1|0,20,3,5120,0,0,1,0,0,1,0,0,0,1,1,1,50,1
584699.nif,1|0,26,3,6656,0,0,1,0,0,1,0,0,0,1,1,1,52,1
584700.nif,1|0,21,3,5376,0,0,1,0,0,1,0,0,0,1,1,1,42,1
584701.nif,1|0,15,3,3840,0,0,1,0,0,1,0,0,0,1,1,1,30,1
584702.nif,1|0,20,3,5120,0,0,1,0,0,1,0,0,0,1,1,1,43,1
584703.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,34,1
584704.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,34,1
584705.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,30,1
584706.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,30,1
587246.nif,1|0,9,3,2304,0,0,1,1,0,1,0,0,0,1,1,1,30,1
510375.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,17,1
510356.nif,1|0,3,3,768,0,0,1,0,0,0,0,0,0,0,0,1,22,1
510365.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,35,1
545614.nif,1|0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1
330780.nif,1|0,11,3,2816,1,5,1,1,0,0,1,0,0,0,0,1,56,1
322612.nif,1|0,75,3,19200,0,0,1,1,0,1,1,0,0,1,1,1,320,1
591182.nif,1|0,25,3,6400,0,0,1,1,0,1,1,0,0,1,1,1,64,0
515234.nif,1|0,6,3,1536,0,0,1,0,0,0,1,0,0,0,0,1,28,1
225492.nif,1|0,79,3,20224,0,0,1,1,0,1,1,0,0,1,1,1,236,1
321603.nif,1|0,10,3,2560,0,0,1,0,0,1,1,0,0,1,1,1,25,1
344999.nif,1|0,55,3,14080,0,0,1,0,0,1,1,0,0,1,1,1,206,1
191417.nif,1|0,4,3,1024,0,0,1,0,0,0,0,0,0,0,0,1,30,1
308902.nif,1|0,9,3,2304,0,0,1,0,0,0,0,0,0,0,0,1,56,1
335472.nif,1|0,43,3,11008,1,2,1,1,0,1,1,0,0,1,1,1,165,1
255896.nif,1|0,18,3,4608,0,0,1,1,0,0,1,0,0,0,0,1,65,1
300297.nif,1|0,52,3,13312,0,0,1,1,0,1,1,0,0,1,1,1,150,1
212124.nif,1|0,54,3,13824,1,2,1,1,0,1,1,0,0,1,1,1,162,1
173288.nif,1|0,57,3,14592,0,0,1,1,0,1,1,0,0,1,1,1,219,1
300341.nif,1|0,14,3,3584,0,0,1,0,0,0,0,0,0,0,0,1,77,1
136182.nif,1|0,6,3,1536,0,0,1,0,0,0,1,0,0,0,0,1,23,1
358253.nif,1|0,8,3,2048,0,0,1,0,0,0,1,0,0,0,0,1,29,1
136191.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,18,1
507163.nif,1|0,24,3,6144,0,0,1,0,0,1,1,0,0,1,1,1,66,1
507329.nif,1|0,9,3,2304,0,0,1,0,0,1,1,0,0,1,1,1,25,1
507897.nif,1|0,131,3,33536,0,0,1,0,0,1,1,0,0,1,1,1,474,1
505947.nif,1|0,64,3,16384,0,0,1,0,0,1,1,0,0,1,1,1,179,1
506236.nif,1|0,27,3,6912,0,0,1,0,0,0,1,0,0,0,0,1,233,1
45570.nif,1|0,4,3,1024,0,0,1,0,0,0,1,0,0,0,0,1,23,1
584333.nif,1|0,6,3,1536,0,0,1,0,0,1,0,0,0,1,1,1,21,1
584123.nif,1|0,15,3,3840,0,0,1,1,0,1,1,0,0,1,1,1,51,1
583872.nif,1|0,132,3,33792,0,0,1,1,0,1,1,0,0,1,1,1,377,1
584046.nif,1|0,85,3,21760,0,0,1,0,0,1,1,0,0,1,1,1,214,1
584212.nif,1|0,22,3,5632,0,0,1,0,0,1,1,0,0,1,1,1,83,1
584237.nif,1|0,41,3,10496,0,0,1,0,0,1,1,0,0,1,1,1,112,1
584141.nif,1|0,33,3,8448,0,0,1,0,0,1,1,0,0,1,1,1,91,1
584177.nif,1|0,32,3,8192,0,0,1,0,0,1,1,0,0,1,1,1,88,1
526644.nif,1|0,35,3,8960,1,23,1,0,0,0,1,0,0,0,0,1,96,1
528310.nif,1|0,21,3,5376,1,11,1,1,0,0,1,0,0,0,0,1,69,1
533370.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,11,1
533407.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
524725.nif,1|0,2,3,512,0,0,1,1,0,0,0,0,0,0,0,1,23,1
337425.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,1,1,1,27,1
185254.nif,1|0,4,3,1024,0,0,1,0,0,0,1,0,0,0,0,1,21,1
14135.nif,1|0,73,3,18688,0,0,1,1,0,1,0,0,0,1,1,1,268,1
219618.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
219623.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
219626.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
219629.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
146571.nif,1|0,38,3,9728,0,0,1,0,0,0,1,0,0,0,0,1,143,1
146634.nif,1|0,30,3,7680,0,0,1,0,0,1,1,0,0,1,1,1,124,1
49463.nif,1|0,113,3,28928,1,32,1,0,0,1,1,0,0,1,1,1,361,1
173464.nif,1|0,81,3,20736,1,16,1,0,0,1,1,0,0,1,1,1,304,1
43828.nif,1|0,54,3,13824,0,0,1,1,0,0,1,0,0,0,0,1,161,1
43738.nif,1|0,60,3,15360,0,0,1,0,0,1,1,0,0,1,1,1,286,1
172562.nif,1|0,25,3,6400,0,0,1,0,0,1,1,0,0,1,1,1,111,1
179708.nif,1|0,25,3,6400,0,0,1,0,0,1,1,0,0,1,1,1,111,1
142575.nif,1|0,32,3,8192,0,0,1,0,0,1,0,0,0,1,1,1,131,1
33251.nif,1|0,77,3,19712,0,0,1,0,0,1,1,0,0,1,1,1,329,1
407416.nif,1|0,4,3,1024,0,0,1,0,0,0,1,0,0,0,0,1,16,1
582812.nif,1|0,2,3,512,0,0,1,0,0,0,1,0,0,0,0,1,38,1
497610.nif,1|0,66,3,16896,0,0,1,1,0,1,1,0,0,1,1,1,124,1
533021.nif,1|0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
528341.nif,1|0,12,3,3072,0,0,1,1,0,0,0,0,0,0,0,1,42,1
528358.nif,1|0,12,3,3072,0,0,1,1,0,0,0,0,0,0,0,1,35,1
528447.nif,1|0,8,3,2048,0,0,1,1,0,0,0,0,0,0,0,1,23,1
526135.nif,1|0,35,3,8960,0,0,1,0,0,0,0,0,0,0,0,1,195,1
540780.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,16,1
540787.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,17,1
540443.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,31,1
540454.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,27,1
540462.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,31,1
540470.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,24,1
540477.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,24,1
540484.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,24,1
540491.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,24,1
540499.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,24,1
540511.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,27,1
540517.nif,1|0,4,3,1024,0,0,1,0,0,0,0,0,0,0,0,1,21,1
540527.nif,1|0,4,3,1024,0,0,1,0,0,0,0,0,0,0,0,1,21,1
540533.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,28,1
540768.nif,1|0,4,3,1024,0,0,1,0,0,0,0,0,0,0,0,1,21,1
540760.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,27,1
540794.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,27,1
541087.nif,1|0,12,3,3072,0,0,1,0,0,0,0,0,0,0,0,1,51,1
540320.nif,1|0,8,3,2048,0,0,1,0,0,1,1,0,0,1,1,1,32,1
540336.nif,1|0,9,3,2304,0,0,1,0,0,1,1,0,0,1,1,1,33,1
540348.nif,1|0,9,3,2304,0,0,1,0,0,1,1,0,0,1,1,1,35,1
540359.nif,1|0,8,3,2048,0,0,1,0,0,1,1,0,0,1,1,1,30,1
540369.nif,1|0,8,3,2048,0,0,1,0,0,1,1,0,0,1,1,1,30,1
540380.nif,1|0,8,3,2048,0,0,1,0,0,1,1,0,0,1,1,1,30,1
540390.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,41,1
540401.nif,1|0,9,3,2304,0,0,1,0,0,1,0,0,0,1,1,1,26,1
540413.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,35,1
540423.nif,1|0,18,3,4608,0,0,1,0,0,1,0,0,0,1,1,1,60,1
540655.nif,1|0,10,3,2560,0,0,1,0,0,1,1,0,0,1,1,1,38,1
540667.nif,1|0,5,3,1280,0,0,1,0,0,0,1,0,0,0,0,1,68,1
540687.nif,1|0,39,3,9984,0,0,1,1,0,1,1,0,0,1,1,1,214,1
541107.nif,1|0,30,3,7680,0,0,1,0,0,0,0,0,0,0,0,1,151,1
540542.nif,1|0,9,3,2304,0,0,1,0,0,0,0,0,0,0,0,1,45,1
540540.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,15,1
540828.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,11,1
541076.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
540553.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,15,1
540806.nif,1|0,10,3,2560,0,0,1,0,0,1,0,0,0,0,0,1,43,1
386950.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,19,1
386951.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,19,1
504453.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
396484.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,25,1
395447.nif,1|0,29,3,7424,0,0,1,1,0,1,0,0,0,1,1,1,56,1
395635.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,18,1
395640.nif,1|0,21,3,5376,0,0,1,1,0,1,1,0,0,1,1,1,43,1
395651.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,18,1
396274.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,18,1
396282.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,18,1
396756.nif,1|0,6,3,1536,0,0,1,1,0,0,0,0,0,0,0,1,18,1
395493.nif,1|0,9,3,2304,0,0,1,0,0,0,1,0,0,0,0,1,36,1
395523.nif,1|0,7,3,1792,0,0,1,0,0,0,1,0,0,0,0,1,40,1
395542.nif,1|0,7,3,1792,0,0,1,0,0,0,1,0,0,0,0,1,42,1
397710.nif,1|0,6,3,1536,0,0,1,0,0,0,1,0,0,0,0,1,32,1
397723.nif,1|0,10,3,2560,0,0,1,1,0,0,1,0,0,0,0,1,32,1
398007.nif,1|0,10,3,2560,0,0,1,1,0,0,0,0,0,0,0,1,25,1
532690.nif,1|0,12,3,3072,0,0,1,1,0,0,0,0,0,0,0,1,46,1
531244.nif,1|0,11,3,2816,0,0,1,1,0,0,0,0,0,0,0,1,34,1
529989.nif,1|0,16,3,4096,0,0,1,1,0,0,0,0,0,0,0,1,50,1
530007.nif,1|0,15,3,3840,0,0,1,1,0,0,0,0,0,0,0,1,50,1
530022.nif,1|0,14,3,3584,0,0,1,1,0,0,0,0,0,0,0,1,38,1
530034.nif,1|0,10,3,2560,0,0,1,1,0,0,0,0,0,0,0,1,33,1
530047.nif,1|0,16,3,4096,0,0,1,1,0,0,0,0,0,0,0,1,40,1
530064.nif,1|0,13,3,3328,0,0,1,1,0,0,0,0,0,0,0,1,46,1
530079.nif,1|0,13,3,3328,0,0,1,1,0,0,0,0,0,0,0,1,49,1
530093.nif,1|0,12,3,3072,0,0,1,1,0,0,0,0,0,0,0,1,33,1
530109.nif,1|0,18,3,4608,0,0,1,1,0,0,0,0,0,0,0,1,53,1
530514.nif,1|0,19,3,4864,0,0,1,1,0,1,0,0,0,1,1,1,65,1
532322.nif,1|0,8,3,2048,0,0,1,1,0,0,0,0,0,0,0,1,26,1
386629.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,19,1
385806.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,53,1
389626.nif,1|0,2,3,512,0,0,1,0,0,1,0,0,0,0,0,1,18,1
389632.nif,1|0,3,3,768,0,0,1,0,0,1,0,0,0,1,1,1,20,1
488525.nif,1|0,23,3,5888,0,0,1,0,0,1,0,0,0,1,1,1,66,1
488579.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,22,1
488540.nif,1|0,6,3,1536,0,0,1,0,0,0,0,0,0,0,0,1,32,1
489328.nif,1|0,5,3,1280,0,0,1,0,0,0,0,0,0,0,0,1,27,1
493502.nif,1|0,13,3,3328,0,0,1,0,0,1,0,0,0,1,1,1,32,1
492792.nif,1|0,35,3,8960,0,0,1,0,0,1,0,0,0,1,1,1,158,1
492890.nif,1|0,18,3,4608,0,0,1,0,0,1,0,0,0,1,1,1,78,1
492914.nif,1|0,19,3,4864,0,0,1,0,0,1,0,0,0,1,1,1,54,1
492935.nif,1|0,20,3,5120,0,0,1,0,0,1,0,0,0,1,1,1,54,1
493552.nif,1|0,12,3,3072,0,0,1,0,0,1,0,0,0,1,1,1,41,1
492870.nif,1|0,11,3,2816,0,0,1,0,0,1,0,0,0,1,1,1,43,1
492793.nif,1|0,37,3,9472,0,0,1,0,0,1,0,0,0,1,1,1,137,1
492969.nif,1|0,16,3,4096,0,0,1,0,0,1,0,0,0,1,1,1,54,1
492988.nif,1|0,13,3,3328,0,0,1,0,0,1,0,0,0,1,1,1,47,1
493004.nif,1|0,21,3,5376,0,0,1,0,0,1,0,0,0,1,1,1,66,1
493785.nif,1|0,2,3,512,0,0,1,0,0,0,0,0,0,0,0,1,22,1
488560.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,39,1
488570.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,39,1
385021.nif,1|0,10,3,2560,0,0,1,1,0,0,0,0,0,0,0,1,31,1
385072.nif,1|0,10,3,2560,0,0,1,1,0,0,0,0,0,0,0,1,27,1
385788.nif,1|0,10,3,2560,0,0,1,1,0,1,0,0,0,1,1,1,28,1
470082.nif,1|0,7,3,1792,0,0,1,1,0,0,0,0,0,0,0,1,32,1
386590.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,18,1
