source_path_full,role,sha256,size_bytes,snapshot_time_scope,publication_scope,claims_supported
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G5_APPEND_PROOFS.json,G5 raw: prefix proofs + historical byte-identity + package re-hash,7564f8e6aa4bd6945c4bd3d6171a377ae0984117237e2b056c617485567c5a0f,7553,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G6_PRECOMMIT.json,G6 raw: pre-commit staged-index inspection + the explicit add paths (written between the gates and index phases; the post-commit record G6_POSTCOMMIT.json is local-only by the self-reference limit),b6378ea7f0c844ea6127bbeb1170393bc8f6a2be47651ca047d4435b885c67a6,1330,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\SHA_REGISTRY_BEFORE.json,before-state hash registry,c85df6a226d75caf263cc834bd8500c9d377bc2a5b0f6b3d8f7db9762edff7cc,6088,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\SHA_REGISTRY_AFTER.json,after-state hash registry,7de681b9aa07361c9c62ea4c8f413e1ae91b52792a00fec3f421e7d03181f76c,6088,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\EDIT_LOG.json,edit log (mirror of APPLY_LOG.json),d67fc49d31d7d217630e76f5e04186bedb6af2b450d07ced5946fce4c63ce0d2,5105,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\PRE_EDIT_COPIES\09-semantics.md.pre_edit,pre-edit copy of REPLACE target 1 (before/after SHA registry proof),bb22d51823e10c92e132db6f4c388b50c6dd10b0de9accccd3b973b561a83606,13326,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\PRE_EDIT_COPIES\10-containers-corpus.md.pre_edit,pre-edit copy of REPLACE target 2,0b197ed46a5461ab4224b521f7c8351f0350ceb7ecc4c5fca657aa76ab5da094,7779,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\G5_PRE_PROOFS\CORRECTION_LEDGER.md.pre,G5 .pre byte-prefix proof (ledger header state before append),416295d888b39c280b829645f79feacd2ed87c3e2f8763da3d6d958232d2b148,1187,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\G5_PRE_PROOFS\STANDING_RULES.md.pre,G5 .pre byte-prefix proof (rules header state before append),bee4892102753d10d5a4072f232194673855ebd21f23af447be96e10b1ba7a31,826,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\05_ANALYSIS\G5_PRE_PROOFS\STANDING_POLICIES.md.pre,G5 .pre byte-prefix proof (policies header state before append),3698fe9d14b0779012d9dc506037e6d46cc3e3d1bd20df1718ac941206ee6821,1009,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\06_REPORT\00_FINAL_REPORT.md,final report,7cb967fe06f108deaaa37998f90eab82a1d997ef23b9984ca8872559b8e311d0,9283,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\REPORT.md,run report pointer,d4a33bdaeadbccaf9c26024dac7873b0520afb368ae8752ed0abe246c8b9c631,1309,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\HANDOFF.md,handoff,d850399751541ba945573b051016180afdd6b5b17fdfa01309d948d0e40029a9,3166,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\STAGE_ACCEPTANCE_GATES.csv,gate ledger,4a4d8e310bf63aa3f5aed34f9586e12cca8cebaeff9e2903592ac21ce5bb8ab2,3198,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
