"source_path_full","role","sha256","snapshot_time_scope","claims_supported"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/02_LOGS/LOGS.md","R2 run artifact (02_LOGS/LOGS.md)","369ef94669bac3b664ecbe64c3999e581dd7d9c02547ec30cc7c6cc7d8e53107","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-D-04a; C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/03_STATIC/SOURCE_QUOTES.md","R2 run artifact (03_STATIC/SOURCE_QUOTES.md)","707a15f21bca2b5ce6c84774625d4e3c704175652311d1cc4655c315e2b5cc8e","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","all (quote evidence)"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/04_RUNTIME/NOT_RUN.md","R2 run artifact (04_RUNTIME/NOT_RUN.md)","cf85e7a6572b32e0876d5c93adc82af0ae475b49e1ab028da7547bc2dd558501","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/CLAIM_MATRIX.csv","R2 run artifact (05_ANALYSIS/CLAIM_MATRIX.csv)","6d1e09a38ad20ac57f8baec3aff8977837955ada66221e7867e55ecde9e9617d","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","all 24 claims"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/FINDING_DISPOSITIONS.csv","R2 run artifact (05_ANALYSIS/FINDING_DISPOSITIONS.csv)","cb99fb9798fc1f6dc3b7122255c606f151192e45dcab91d7ed41880af758e27e","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","F1-F5, F-PUB, R2-NEW-1"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/SUPERSESSION_MAP.csv","R2 run artifact (05_ANALYSIS/SUPERSESSION_MAP.csv)","f6dacb9f038dd62a3bf6ed4dd11eed010afda54a6abb6f94969513497903a07a","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","all supersessions"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/06_REPORT/00_FINAL_REPORT.md","R2 run artifact (06_REPORT/00_FINAL_REPORT.md)","2aee83b9858a5dffaef864324ec15d3b027433b12c64bc76390bcf159297effd","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","all"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/06_REPORT/PROPOSED_DOC_CORRECTIONS_R2.md","R2 run artifact (06_REPORT/PROPOSED_DOC_CORRECTIONS_R2.md)","90bd092140676519ff125521a952ca10e5338276546c44e7097d203de348902b","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-D-01..05; P1R2..P8R2"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/REPORT.md","R2 run artifact (REPORT.md)","45050120b742f188da0ddb454119ce4f6fc7fa5b40b91df6d378811d68adc97c","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/HANDOFF.md","R2 run artifact (HANDOFF.md)","29f09c97e2be40028c2939ff3aca7ef078d91f1c06c5c542da40a6970bdb7559","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_CROSS_ERA_R35_20260904_170224.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","4af82a9c0a4b924723d6a431254702a66374e66951fde591ea06f0fc9861465a","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_FIELD_D_R36_20260904_171903.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","e96b03328e5e362780675b9390c4e8b7f57d2ac1879be0df975c5069361a21ab","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_G3B_VARIABLE_R30_20260904_152304.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","f0c82c970ea825d99ef2d87104b39da604a40d53efbaa673a35080e85a1af14a","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_G3D_CLASS_ROLE_R37_20260904_173625.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","a206cd2934e766389bc7f23fcc23f2b98ddf46def94bdd08dbb8aa0a18a13302","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_IMPORTER_HEADER_R29_20260904_150900.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","33be95add2c1a0c980d4d504eb3fa15a2e539de0216050394912a30a585f0a9d","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_MATERIAL_CENSUS_R32_20260904_160538.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","f71914c05506972cf966e649d6fe5cb91aaf62eb840f0c9cdd18ea0efe853793","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_MORPH_IDS_R33_20260904_162507.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","f49dce76dcf0be6761a62dde34c0aad0909ec49a3bdd8067d068aeeac0b7a0b5","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_MORPH_QUANT_R34_20260904_164538.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","6c8aab40ae7312c1f34e4dbbcd8b2856e54ae9ad39fb93e3b130235d2311322e","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_RARE_VARIANTS_R31_20260904_154509.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","3e2cd1296c31f98c3e8ecaaa365bcfc3e1c35842b4e9606d41bd872c44fcb425","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","d0d0d28c2854870d1e6884975cf1db2d13c14eb357ce97eed7b1221c31e81fa9","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_TEXT_MODES_R38_20260904_175053.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","a442d6abf3094b80d20e3991c12ae3b17236eec256e42e93498c886a94f0c8ed","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_WIKI_AUDIT_R39_20260904_180213.artifact_index.lossless.csv","lossless sidecar (RAW_BYTES_CONTRACT v1: base64 raw row bytes + row SHA256 + terminators + strict-only field mapping) of the named historical manifest; originals immutable","5fd260b0c0e9a68b264824e757524b93b39c9213e6feb032a551d45f98600ed5","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01..04"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/artifact_index.csv (THIS FILE)","this manifest itself — SELF_EXCLUDED_BY_CONSTRUCTION (R1 precedent: a file cannot contain its own SHA-256; all other rows carry real in-run hashes)","","this run",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/02_LOGS/TEST_RESULTS.json","FINAL_GATE_OUTPUT — written by the final run_gates.py pass that verifies this manifest; a manifest cannot contain the hash of the checker output written after it; byte identity pinned by the Git publication","","this run","C2-E-01; C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/STAGE_ACCEPTANCE_GATES.csv","FINAL_GATE_LEDGER — generated from TEST_RESULTS.json after the final gate pass (no hand-written results); hash not embeddable upstream; byte identity pinned by the Git publication","","this run","C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_LOCK_POST_AUDIT_20260905_020054/00_CONTROL/OPENCODE_R2_PROMPT.md","execution prompt (SHA verified pre-execution: 46A2A99A...)","46a2a99a9f1d03b4fe33f2fbfca89d2440fd702188a3d020e9bf29a7a370e5ed","historical run (immutable)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_LOCK_POST_AUDIT_20260905_020054/06_REPORT/00_FINAL_REPORT.md","independent post-audit report (input, read-only; findings re-derived, not copied)","f277afb5865aee61efe92b97c5a58a3a49a765f6edd48a060d5c2236989e7611","historical run (immutable)","F1-F5 dispositions"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_LOCK_POST_AUDIT_20260905_020054/01_RAW/verification.json","auditor verification output (input, read-only)","db8540de644d46919ef5e0e52de146fbb0e3e3ea85e13398213b58359c5981d1","historical run (immutable)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_LOCK_POST_AUDIT_20260905_020054/00_CONTROL/verify.py","auditor method (input, read-only; probe SHA 6ff50e0b...)","6ff50e0b583ef450143a20d61c3c4f14572aa24b2e65f59a74510e142873dc22","historical run (immutable)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/01_RAW/CONTROL_R1_RESULTS.json","R1 raw control output (input, read-only; fixture reference for the counter defects)","8970548b93d0adfb93665c035d9b87f76fc062c3fb5ae73e2fc1975db0f96098","historical run (immutable)","C2-A-04; C2-D-05a"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/05_ANALYSIS/CLAIM_MATRIX.csv","R1 claim matrix (input, read-only; C-R35-04/C-R36-05 defect sites)","b6648cab04766b4d53d3dcb8d48651444e1f5f2b5f5157e5589a5c8f0771d183","historical run (immutable)","C2-A-05; C2-B-03"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/STAGE_ACCEPTANCE_GATES.csv","R1 gate ledger (input, read-only; G7/G8 defect sites)","960bf69b552f630857616923cf71ff424299114bc5d128d15d9c6a81b1525b57","historical run (immutable)","C2-B-03; C2-E-01"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/06_REPORT/00_FINAL_REPORT.md","R1 final report (input, read-only; Control 3 defect site)","0051ec30b1448df0aa213ed78a21821a369eea40e2607a18929811d9d2d5411c","historical run (immutable)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/06_REPORT/PROPOSED_DOC_CORRECTIONS.md","R1 proposals (input, read-only; P1-5/P4-3/P6 defect sites)","5e8a44c4ce3bab23dbaea9328414e82b0589219ca22cf4b91e0b44d68924ae87","historical run (immutable)","C2-D-01..03; C2-C-03"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/05_ANALYSIS/DENOMINATORS.json","R1 denominator inventory (input, read-only; family-witness defect site)","68bc7cf859790091647ec31138d5e77dcb151c27d9cf7923f31ab8c974328880","historical run (immutable)","C2-A-06"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/05_ANALYSIS/COUNTEREXAMPLES.json","R1 counterexamples (input, read-only; CE-5(c)/CE-6 defect sites)","65217d21990e766674903f7dabc64b40439ff708fe2dd87051ae877986c9525a","historical run (immutable)","C2-B-03"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/00_CONTROL/generate_gates.cjs","R1 gate emitter (input, read-only; fixed-array evidence, quote S11)","14e29e023763b635f132b2cf41157fb0c608c628a0529840d213f0c98ee34b2a","historical run (immutable)","C2-E-01"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/00_CONTROL/SHA256_CONTROL.txt","R1 execution hash record (input, read-only; TWO recorded executions)","71d1f5659058ab212041e6cdb70b9e2a23e3e0cbdc393e2350dd67ea21810c46","historical run (immutable)","C2-D-04a"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/02_LOGS/LOGS.md","R1 logs (input, read-only; control exec-1/exec-2 + generator iterations)","316e6687d1a05bb25fb030bf1073f04cff329a2b5f63874a0ec8d658fc5a095e","historical run (immutable)","C2-D-04a"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119/05_ANALYSIS/NORMALIZED_MANIFESTS/PE_NIF_WIKI_AUDIT_R39_20260904_180213.artifact_index.normalized.csv","R1 R39 sidecar (input, read-only; lossy role fixture ""per-file gaps [priorities]"")","1a1a32224cab26841d95f971ed954d837f1d0be706c1bcd11ddd6e8e917b6373","historical run (immutable)","C2-C-02; C2-C-03"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/02_results/FIELD_D_TESTS.json","R36 raw evidence (T4 candidate counts; historical agreement)","2af4cd39d36db96a2013a6de75983469aa6e2e7856a40061de6c86c6d54ee043","historical run (immutable)","C2-B-01..03"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/01_source/field_d_r36.py","R36 driver source (candidate definitions; read-only)","3f74804ab264949bd473c6dc33057c68c510f420265c5c71502ea9faf9f8a8a6","historical run (immutable)","C2-B-01"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CROSS_ERA_R35_20260904_170224/02_results/GRAMMAR_VALIDATION.json","R35 raw evidence (corpus-level validator aggregates; no per-file join)","2f15df0d14dd03e1ee49d6f3d69cc4f7249ed7067800ffccc5174b8bdfa62d80","historical run (immutable)","C2-A-05; C2-A-06"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_WIKI_AUDIT_R39_20260904_180213/artifact_index.csv","R39 original manifest (immutable; BOM + GAP row source bytes; SHA 6a007dbb...)","6a007dbb7d489a702258807babd3c758ecddbf87fe659160fd17579f0030ffa6","historical run (immutable)","C2-C-02"
"D:/Eudoria_Reconstruction/pcg_install/Data/Models/Models.bnt","PCG 9.3.5 ORIGINAL container (read-only; direct re-parse this run)","c950a8c26f2063f4dd748d88c95bd769aac77a2f5f76face7e969be0b3d3bee0","pcg_install corpus (read-only)","C2-A-01..06; C2-B-01..05"
"D:/Eudoria_Reconstruction/01_Original_Files/BNT_Models/Models.bnt","2003-era ORIGINAL container (read-only; separately hash-pinned comparison corpus; direct re-parse this run)","1322adf2919b1b24a8b4fda9618347e00c5a2b35dbb54516e353f1cefd3524a6","original game file (immutable)","C2-A-01..06; C2-B-01..05"
